label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	rms	U	0	174.517	966	1.62173e+07	1.72432	1.01075	0.554212	2.20049	0.110024	2.25883	0.125041	0	0.625952	1.73135
all	rms	U	1	367.449	968	1.62418e+07	1.81949	1.19554	0.804183	2.53924	0.126962	2.52793	0.125041	0	0.59938	1.82665
all	rms	U	2	561.309	970	1.6226e+07	1.88509	1.33267	0.993933	2.78291	0.139145	2.76547	0.125041	0	0.576885	1.893
all	rms	U	3	756.433	983	1.62279e+07	1.94993	1.45397	1.15383	3.03198	0.151599	3.01952	0.125041	0	0.559771	1.95742
all	rms	U	4	953.674	987	1.623e+07	2.00822	1.56713	1.29556	3.26295	0.163147	3.25549	0.125041	0	0.542449	2.01543
all	rms	U	5	1151.96	996	1.62451e+07	2.09092	1.67374	1.42389	3.6022	0.18011	3.598	0.125041	0	0.526341	2.09903
all	share	U	0	174.517	966	1.62173e+07	1.72432	1.01075	0.554212	1.96742	0.0983708	2.25883	0.125041	0	0.625952	1.73135
all	share	U	1	367.449	968	1.62418e+07	1.81949	1.19554	0.804183	2.31035	0.115517	2.52793	0.125041	0	0.59938	1.82665
all	share	U	2	561.309	970	1.6226e+07	1.88509	1.33267	0.993933	2.63673	0.131836	2.76547	0.125041	0	0.576885	1.893
all	share	U	3	756.433	983	1.62279e+07	1.94993	1.45397	1.15383	2.91075	0.145538	3.01952	0.125041	0	0.559771	1.95742
all	share	U	4	953.674	987	1.623e+07	2.00822	1.56713	1.29556	3.21399	0.1607	3.25549	0.125041	0	0.542449	2.01543
all	share	U	5	1151.96	996	1.62451e+07	2.09092	1.67374	1.42389	3.52239	0.176119	3.598	0.125041	0	0.526341	2.09903
all	truth	U	0	174.517	966	1.62173e+07	1.72432	1.01075	0.554212	2.2249	0.111245	2.25883	0.125041	0	0.625952	1.73135
all	truth	U	1	367.449	968	1.62418e+07	1.81949	1.19554	0.804183	2.56543	0.128271	2.52793	0.125041	0	0.59938	1.82665
all	truth	U	2	561.309	970	1.6226e+07	1.88509	1.33267	0.993933	2.81283	0.140642	2.76547	0.125041	0	0.576885	1.893
all	truth	U	3	756.433	983	1.62279e+07	1.94993	1.45397	1.15383	3.06131	0.153066	3.01952	0.125041	0	0.559771	1.95742
all	truth	U	4	953.674	987	1.623e+07	2.00822	1.56713	1.29556	3.292	0.1646	3.25549	0.125041	0	0.542449	2.01543
all	truth	U	5	1151.96	996	1.62451e+07	2.09092	1.67374	1.42389	3.63617	0.181809	3.598	0.125041	0	0.526341	2.09903
all	rms	V	0	173.631	966	1.62068e+07	1.65462	1.00964	0.552803	1.9633	0.0981648	2.02399	0.125041	0	0.621882	1.6758
all	rms	V	1	367.889	968	1.62142e+07	1.74959	1.19589	0.804664	2.28874	0.114437	2.27841	0.125041	0	0.601638	1.76565
all	rms	V	2	561.92	976	1.62043e+07	1.79803	1.33307	0.994475	2.46132	0.123066	2.44481	0.125041	0	0.586965	1.81568
all	rms	V	3	757.982	982	1.62133e+07	1.90805	1.45489	1.15501	2.87017	0.143508	2.85801	0.125041	0	0.562023	1.92499
all	rms	V	4	954.996	990	1.62085e+07	1.97228	1.56787	1.29645	3.11974	0.155987	3.11246	0.125041	0	0.546782	1.98913
all	rms	V	5	1152.92	988	1.62185e+07	2.037	1.67424	1.42448	3.37949	0.168974	3.37543	0.125041	0	0.531495	2.0556
all	share	V	0	173.631	966	1.62068e+07	1.65462	1.00964	0.552803	2.01725	0.100862	2.02399	0.125041	0	0.621882	1.6758
all	share	V	1	367.889	968	1.62142e+07	1.74959	1.19589	0.804664	2.27951	0.113976	2.27841	0.125041	0	0.601638	1.76565
all	share	V	2	561.92	976	1.62043e+07	1.79803	1.33307	0.994475	2.48603	0.124301	2.44481	0.125041	0	0.586965	1.81568
all	share	V	3	757.982	982	1.62133e+07	1.90805	1.45489	1.15501	2.87332	0.143666	2.85801	0.125041	0	0.562023	1.92499
all	share	V	4	954.996	990	1.62085e+07	1.97228	1.56787	1.29645	3.13552	0.156776	3.11246	0.125041	0	0.546782	1.98913
all	share	V	5	1152.92	988	1.62185e+07	2.037	1.67424	1.42448	3.42073	0.171036	3.37543	0.125041	0	0.531495	2.0556
all	truth	V	0	173.631	966	1.62068e+07	1.65462	1.00964	0.552803	2.03434	0.101717	2.02399	0.125041	0	0.621882	1.6758
