label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	2.51596	1.96185	3.32788	0.0734026	11.0748	0.488549	0.184093	4	8.2017	0	2.51596e-07	3.32788
all	share	U	4.80772	1.88678	3.17635	0.0722521	10.0892	0.458995	0.254686	4	8.2017	0	4.80772e-07	3.17635
all	truth	U	6.64966	2.3644	3.52608	0.0810606	12.4332	0.571652	0.198804	4	8.2017	0	6.64966e-07	3.52608
all	rms	V	6.33539	0.356183	0.871513	0.0356821	0.759534	0.0621948	3.991	4	8.2017	0	6.33539e-07	0.871513
all	share	V	5.68813	0.218895	0.377652	0.0385084	0.142621	0.0290856	15.3736	4	8.2017	0	5.68813e-07	0.377652
all	truth	V	7.30451	1.1398	1.57116	0.0777515	2.46854	0.24432	6.24279	4	8.2017	0	7.30451e-07	1.57116
all	rms	W	-50.4645	7.0856	5.96484	0.131285	35.5793	1.56619	14.3631	4	8.2017	0	-5.04645e-06	5.96484
all	share	W	-60.6845	9.20285	5.87509	0.195074	34.5167	2.29215	8.71427	4	8.2017	0	-6.06845e-06	5.87509
all	truth	W	-5.07123	9.09851	7.10621	0.136087	50.4982	1.93413	6.42325	4	8.2017	0	-5.07123e-07	7.10621
all	rms	U(joint)	6.0752	0.348669	3.20937	0.0388163	10.3	0.249151	86.036	14	8.2017	0	6.0752e-07	3.20937
all	rms	V(joint)	6.0752	0.348669	0.892415	0.0343636	0.796405	0.0613333	86.036	14	8.2017	0	6.0752e-07	0.892415
all	rms	W(joint)	6.0752	0.348669	4.97108	0.000249453	24.7116	0.0024801	86.036	14	8.2017	0	6.0752e-07	4.97108
all	share	U(joint)	5.63941	0.2171	3.14854	0.0367799	9.91333	0.231606	76.5256	14	8.2017	0	5.63941e-07	3.14854
all	share	V(joint)	5.63941	0.2171	0.384354	0.0376441	0.147728	0.0289373	76.5256	14	8.2017	0	5.63941e-07	0.384354
all	share	W(joint)	5.63941	0.2171	4.42333	6.63243e-05	19.5658	0.000586748	76.5256	14	8.2017	0	5.63941e-07	4.42333
all	truth	U(joint)	7.02697	1.02025	3.51482	0.0504808	12.3539	0.354862	14.7177	14	8.2017	0	7.02697e-07	3.51482
all	truth	V(joint)	7.02697	1.02025	1.58831	0.0702853	2.52273	0.22327	14.7177	14	8.2017	0	7.02697e-07	1.58831
all	truth	W(joint)	7.02697	1.02025	6.95218	0.0761869	48.3328	1.05933	14.7177	14	8.2017	0	7.02697e-07	6.95218
