plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1	truth_centre	truth_pm1	truth_pm2	truth_beyond
U	1.3776	0.577269	0.176594	0.0614897	0.552093	0.161976	0.142524	0.143408	0.277035	0.435464	0.211288	0.0762133	0.86346	0.13654	0	0	0.554661	0.42498	0.020274	8.5205e-05	0.684504	0.531146	0.622735	-0.00156947	-0.00360414	0.557402	0.15488	0.142747	0.144972
V	1.35674	0.589294	0.177001	0.0614897	0.549001	0.174543	0.139763	0.136693	0.28092	0.438582	0.208496	0.0720018	0.863296	0.136704	0	0	0.54745	0.429963	0.0224733	0.000114209	0.665545	0.51084	0.628588	-0.00404241	-0.00921699	0.564534	0.15439	0.139479	0.141597
W	0.137257	0.102916	0.263237	0.184469	0.895804	0.100536	0.00245491	0.00120558	0.871061	0.128939	1.72279e-13	0	0.779108	0.220892	0	0	0.895809	0.104191	0	0	0.0568062	0.00732098	0.240713	0.00366049	0.0283893	0.895214	0.101042	0.00257482	0.00116841
