arm	status	n_ref	n_arm	flips_in	flips_out
d44sig	0	585	592	98	91
d44sig	2	123	115	3	11
d44sig	3	662	703	149	108
d44sig	4	25	21	2	6
d44sig	5	68	57	21	32
d44sig	7	338	313	38	63
d44sigb	0	585	600	126	109
d44sigb	2	123	114	9	17
d44sigb	3	662	716	187	134
d44sigb	4	25	22	4	7
d44sigb	5	68	48	19	39
d44sigb	7	338	299	40	79
d44sign6	0	585	562	112	134
d44sign6	2	123	112	8	20
d44sign6	3	662	797	239	105
d44sign6	4	25	25	8	8
d44sign6	5	68	34	12	46
d44sign6	7	338	274	31	97
