root	plane	slice	t_ns	adv	thresh	q-3	q-2	q-1	q+0	q+1	q+2	q+3
work/039252_16_d42fit/tracking-stm.root	0	1070	1.43371e+06	0.208998	291.27	0	0	1990	1561	615	0	0
work/039252_16_d42fit/tracking-stm.root	0	1072	1.43792e+06	0.041639	306.726	0	0	0	5010	6403	1366	0
work/039252_16_d42fit/tracking-stm.root	0	1073	1.43983e+06	0.0945604	291.27	0	0	4386	6759	1029	0	0
work/039252_16_d42fit/tracking-stm.root	0	1075	1.44448e+06	0.0981496	291.27	0	0	0	595	1435	0	0
work/039252_16_d42fit/tracking-stm.root	0	1076	1.44448e+06	0.0981496	291.27	0	0	0	3117	1151	0	0
work/039252_16_d42fit/tracking-stm.root	0	1077	1.44712e+06	0.14909	291.27	0	0	0	4749	131	0	0
work/039252_16_d42fit/tracking-stm.root	0	1078	1.44891e+06	0.0998422	291.27	0	0	0	3781	34	0	0
work/039252_16_d42fit/tracking-stm.root	0	1080	1.4534e+06	0.0563883	291.27	0	0	2021	9937	368	0	0
work/039252_16_d42fit/tracking-stm.root	0	1082	1.45756e+06	0.0584624	291.27	0	0	0	6925	201	0	0
work/039252_16_d42fit/tracking-stm.root	0	1083	1.46043e+06	0.0506725	291.27	0	0	0	12169	107	0	0
work/039252_16_d42fit/tracking-stm.root	0	1084	1.46043e+06	0.0506725	291.27	0	0	0	20772	512	0	0
work/039252_16_d42fit/tracking-stm.root	0	1085	1.4633e+06	0.0382523	291.27	0	0	0	16659	87	0	0
work/039252_16_d42fit/tracking-stm.root	0	1087	1.46677e+06	0.0279756	291.27	0	0	12	9146	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1088	1.47024e+06	0.0484169	291.27	0	0	0	8214	248	0	0
work/039252_16_d42fit/tracking-stm.root	0	1090	1.47471e+06	0.00145603	291.27	0	0	0	8817	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1091	1.47471e+06	0.00145603	291.27	0	0	20	9018	744	0	0
work/039252_16_d42fit/tracking-stm.root	0	1092	1.47818e+06	0.00979464	291.27	0	0	87	9923	611	0	0
work/039252_16_d42fit/tracking-stm.root	0	1094	1.48228e+06	0.02179	291.27	0	0	0	19879	1206	0	0
work/039252_16_d42fit/tracking-stm.root	0	1096	1.48544e+06	0.0725777	291.27	0	0	0	27908	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1097	1.48823e+06	0.126689	291.27	0	0	17	29108	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1101	1.49516e+06	0.0153131	306.726	0	0	0	4396	22240	25	0
work/039252_16_d42fit/tracking-stm.root	0	1104	1.50214e+06	0.17598	254.904	11974	16354	14027	2624	0	0	0
work/039252_16_d42fit/tracking-stm.root	0	1105	1.50419e+06	0.0222947	291.27	0	16927	8524	13055	5299	0	0
work/039252_16_d42fit/tracking-stm.root	0	1107	1.50721e+06	0.0642912	291.27	0	1413	0	15394	7581	0	0
work/039252_16_d42fit/tracking-stm.root	0	1108	1.50949e+06	0.0605283	291.27	0	3	0	14545	8095	0	0
work/039252_16_d42fit/tracking-stm.root	0	1109	1.51177e+06	0.136895	291.27	0	0	0	10941	7901	75	0
work/039252_16_d42fit/tracking-stm.root	0	1110	1.51405e+06	0.0724248	291.27	0	0	0	8861	8944	0	0
