plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1
U	0.877571	0.809733	0.727813	1.45519e-11	0.435983	0.466167	0.0830703	0.0147797	0.40921	0.484595	0.0992549	0.00694011	0.472861	0.47047	0.0554285	0.00124075	0.436118	0.481204	0.0789898	0.00368804	0.0692259	0.0303442	0.0823615	-0.00834495	-0.0172205
V	0.80878	0.710791	0.633101	1.45519e-11	0.480534	0.439243	0.0680971	0.0121259	0.436517	0.481123	0.0787074	0.0036519	0.521728	0.446512	0.0316854	7.52705e-05	0.481028	0.467068	0.0508031	0.00110163	0.104982	0.0566366	0.0969248	-0.0021362	-0.00444002
W	0.673615	0.415779	0.385409	1.45519e-11	0.622274	0.302644	0.0581609	0.0169209	0.499832	0.458342	0.0412067	0.000619792	0.684339	0.315211	0.000450885	0	0.661621	0.335851	0.00252721	1.54618e-07	0.311396	0.145109	0.149262	0.0332553	0.0725556
