det	est	plane	window	inversion	tbin	t_us	extent	sig_true_mm	sig_old_mm	sig_corr_mm	c_pred_mm	DT_pred_cm2s	c_input_mm	DT_input_cm2s	sig_true_lo_pitch	sig_true_hi_pitch
sbnd	share	U	full	bin	0	173.592	0.125041	1.44666	1.42689	1.44666	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	bin	1	364.76	0.125041	1.55072	1.5326	1.55072	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	bin	2	557.973	0.125041	1.64925	1.63247	1.64925	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	bin	3	753.559	0.125041	1.74332	1.72766	1.74332	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	bin	4	952.944	0.125041	1.83425	1.81956	1.83425	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	bin	5	1150.08	0.125041	1.91994	1.90605	1.91994	nan	nan	nan	nan	nan	nan
sbnd	share	U	full	old	-1	nan	nan	nan	nan	nan	1.32371	8.17786	1.3452	8.15848	0.482219	0.639978
sbnd	share	U	full	corrected	-1	nan	nan	nan	nan	nan	1.3452	8.15848	1.3452	8.15848	0.482219	0.639978
sbnd	share	U	q1	bin	0	173.592	0.125041	1.44666	1.68697	1.44666	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	bin	1	364.76	0.125041	1.55072	1.77069	1.55072	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	bin	2	557.973	0.125041	1.64925	1.85236	1.64925	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	bin	3	753.559	0.125041	1.74332	1.93227	1.74332	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	bin	4	952.944	0.125041	1.83425	2.01107	1.83425	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	bin	5	1150.08	0.125041	1.91994	2.08655	1.91994	nan	nan	nan	nan	nan	nan
sbnd	share	U	q1	old	-1	nan	nan	nan	nan	nan	1.60474	7.7068	1.3452	8.15848	0.482219	0.639978
