plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1
U	0.393904	0.328035	0.163087	0.328406	0.721456	0.264793	0.0117846	0.00196678	0.674192	0.323905	0.00190208	6.4909e-08	0.867537	0.132463	0	0	0.722519	0.277119	0.00036213	2.49729e-10	0.118225	0.0267785	0.292162	0.0118492	0.0365824
V	0.387957	0.326466	0.171315	0.383202	0.720246	0.267402	0.0108137	0.00153899	0.675804	0.322365	0.00183101	5.53434e-08	0.852263	0.147737	0	0	0.720408	0.279193	0.000398565	3.11184e-10	0.109926	0.0239082	0.264034	0.0105216	0.0326388
W	0.422826	0.299266	0.243465	0.0461571	0.749432	0.229528	0.0188676	0.00217245	0.657579	0.339596	0.00282437	2.23199e-07	0.796717	0.203283	0	0	0.74986	0.250061	7.90236e-05	1.41416e-12	0.220136	0.0419221	0.0945718	0.0182155	0.0536387
