label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	6.42103	3.20704	1.57057	0.148704	2.4667	0.467099	1.85855	4	8.8	0.48359	6.42103e-07	1.57057
all	share	U	8.83345	1.68095	1.22373	0.0871722	1.49752	0.213351	3.66551	4	8.8	0.48359	8.83345e-07	1.22373
all	rms	V	8.74508	2.54412	1.24501	0.111361	1.55005	0.27729	4.10159	4	8.8	0.80599	8.74508e-07	1.24501
all	share	V	8.69006	2.38638	1.24231	0.109772	1.54334	0.272744	0.916805	4	8.8	0.80599	8.69006e-07	1.24231
all	rms	W	-0.758568	5.34789	1.14508	0.306499	1.3112	0.701928	2.82567	4	8.8	0.09403	-7.58568e-08	1.14508
all	share	W	3.18906	1.80672	0.764303	0.150423	0.584159	0.229937	1.24592	4	8.8	0.09403	3.18906e-07	0.764303
all	rms	U(joint)	6.79784	1.86764	1.55394	0.0959687	2.41474	0.29826	11.3819	14	8.8	0.48359	6.79784e-07	1.55394
all	rms	V(joint)	6.79784	1.86764	1.31679	0.0851384	1.73394	0.224219	11.3819	14	8.8	0.80599	6.79784e-07	1.31679
all	rms	W(joint)	6.79784	1.86764	0.568317	0.221206	0.322984	0.25143	11.3819	14	8.8	0.09403	6.79784e-07	0.568317
all	share	U(joint)	6.73461	1.09379	1.31642	0.0600777	1.73295	0.158174	11.9098	14	8.8	0.48359	6.73461e-07	1.31642
all	share	V(joint)	6.73461	1.09379	1.32133	0.0611541	1.74591	0.161609	11.9098	14	8.8	0.80599	6.73461e-07	1.32133
all	share	W(joint)	6.73461	1.09379	0.37792	0.190953	0.142824	0.14433	11.9098	14	8.8	0.09403	6.73461e-07	0.37792
phase:full	rms	U	6.27847	3.10595	1.57867	0.143509	2.4922	0.453105	1.78145	4	8.8	0.48359	6.27847e-07	1.57867
phase:full	share	U	9.45002	2.44593	1.202	0.14316	1.4448	0.344157	4.59688	4	8.8	0.48359	9.45002e-07	1.202
phase:full	rms	V	10.1344	2.69629	1.17266	0.13094	1.37514	0.307098	2.95879	4	8.8	0.80599	1.01344e-06	1.17266
phase:full	share	V	8.3712	2.72575	1.26433	0.129921	1.59853	0.328527	0.561106	4	8.8	0.80599	8.3712e-07	1.26433
phase:full	rms	W	-0.538559	6.45223	1.13259	0.374461	1.28276	0.84822	3.06999	4	8.8	0.09403	-5.38559e-08	1.13259
phase:full	share	W	2.94821	2.02098	0.796605	0.161903	0.63458	0.257945	1.72204	4	8.8	0.09403	2.94821e-07	0.796605
phase:full	rms	U(joint)	7.66082	1.94172	1.51722	0.101046	2.30197	0.306617	10.4648	14	8.8	0.48359	7.66082e-07	1.51722
phase:full	rms	V(joint)	7.66082	1.94172	1.27498	0.0947988	1.62558	0.241734	10.4648	14	8.8	0.80599	7.66082e-07	1.27498
phase:full	rms	W(joint)	7.66082	1.94172	0.455561	0.287068	0.207536	0.261554	10.4648	14	8.8	0.09403	7.66082e-07	0.455561
phase:full	share	U(joint)	6.27195	1.35261	1.3669	0.0773031	1.86841	0.211331	11.8662	14	8.8	0.48359	6.27195e-07	1.3669
phase:full	share	V(joint)	6.27195	1.35261	1.35445	0.0711581	1.83453	0.19276	11.8662	14	8.8	0.80599	6.27195e-07	1.35445
phase:full	share	W(joint)	6.27195	1.35261	0.466959	0.188902	0.21805	0.176419	11.8662	14	8.8	0.09403	6.27195e-07	0.466959
phase:q1	rms	U	1.81982	2.75978	1.32775	0.143574	1.76293	0.381262	4.53792	4	8.8	0.48359	1.81982e-07	1.32775
phase:q1	share	U	2.24146	1.80883	1.03698	0.124463	1.07532	0.25813	5.33063	4	8.8	0.48359	2.24146e-07	1.03698
phase:q1	rms	V	4.5823	2.74188	1.57557	0.182033	2.48243	0.573614	0.377592	4	8.8	0.80599	4.5823e-07	1.57557
phase:q1	share	V	7.10585	1.66539	0.943441	0.183272	0.89008	0.345812	4.46293	4	8.8	0.80599	7.10585e-07	0.943441
phase:q1	rms	W	4.80213	0.748829	0.776531	0.046201	0.603001	0.071753	72.524	4	8.8	0.09403	4.80213e-07	0.776531
phase:q1	share	W	9.19977	0.989235	0.664684	0.0648012	0.441805	0.0861446	10.018	4	8.8	0.09403	9.19977e-07	0.664684
phase:q1	rms	U(joint)	4.59663	0.69883	1.17813	0.0526738	1.38799	0.124113	78.5272	14	8.8	0.48359	4.59663e-07	1.17813
phase:q1	rms	V(joint)	4.59663	0.69883	1.57465	0.064617	2.47954	0.203499	78.5272	14	8.8	0.80599	4.59663e-07	1.57465
phase:q1	rms	W(joint)	4.59663	0.69883	0.787981	0.0430293	0.620914	0.0678125	78.5272	14	8.8	0.09403	4.59663e-07	0.787981
phase:q1	share	U(joint)	7.49269	0.76967	0.591328	0.105152	0.349668	0.124359	31.2715	14	8.8	0.48359	7.49269e-07	0.591328
phase:q1	share	V(joint)	7.49269	0.76967	0.902085	0.103219	0.813758	0.186226	31.2715	14	8.8	0.80599	7.49269e-07	0.902085
phase:q1	share	W(joint)	7.49269	0.76967	0.760162	0.0463622	0.577846	0.0704856	31.2715	14	8.8	0.09403	7.49269e-07	0.760162
phase:q2	rms	U	0.783135	2.71241	1.66339	0.108289	2.76687	0.360254	8.72012	4	8.8	0.48359	7.83135e-08	1.66339
phase:q2	share	U	16.5243	1.25495	1.08106	0.0379588	1.16868	0.0820712	7.64679	4	8.8	0.48359	1.65243e-06	1.08106
phase:q2	rms	V	13.219	1.57231	0.995746	0.125417	0.99151	0.249767	19.597	4	8.8	0.80599	1.3219e-06	0.995746
phase:q2	share	V	11.0043	1.31741	1.22886	0.0856665	1.51011	0.210545	12.8906	4	8.8	0.80599	1.10043e-06	1.22886
phase:q2	rms	W	6.45716	1.95818	0.586182	0.155309	0.343609	0.182078	0.6862	4	8.8	0.09403	6.45716e-07	0.586182
phase:q2	share	W	6.71545	2.22998	0.651968	0.15135	0.425062	0.197351	0.544857	4	8.8	0.09403	6.71545e-07	0.651968
phase:q2	rms	U(joint)	8.90838	1.11718	1.32379	0.0702107	1.75242	0.185888	47.0599	14	8.8	0.48359	8.90838e-07	1.32379
phase:q2	rms	V(joint)	8.90838	1.11718	1.25896	0.0786148	1.58497	0.197945	47.0599	14	8.8	0.80599	8.90838e-07	1.25896
phase:q2	rms	W(joint)	8.90838	1.11718	0.358371	0.160427	0.128429	0.114985	47.0599	14	8.8	0.09403	8.90838e-07	0.358371
phase:q2	share	U(joint)	12.8755	0.841483	1.14945	0.0314301	1.32123	0.0722545	39.1841	14	8.8	0.48359	1.28755e-06	1.14945
phase:q2	share	V(joint)	12.8755	0.841483	1.12287	0.0719322	1.26084	0.161541	39.1841	14	8.8	0.80599	1.28755e-06	1.12287
