label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	rms	U	0	443.954	1162	1.90217e+07	2.14308	2.04927	0.83824	0.873621	0.0436811	1.09591	0.06149	0	0.88893	2.8421
all	rms	U	1	806.601	1163	1.90374e+07	2.17046	2.3215	1.12987	0.928596	0.0464298	0.598144	0.06149	0	0.886104	2.50694
all	rms	U	2	1101.89	1162	1.90204e+07	2.31228	2.48369	1.32059	1.25306	0.0626531	0.921875	0.06149	0	0.870732	2.52987
all	rms	U	3	1392.52	1163	1.90364e+07	2.47251	2.61538	1.48457	1.70838	0.0854189	1.47704	0.06149	0	0.8524	2.62244
all	rms	U	4	1683.27	1163	1.90357e+07	2.60619	2.72905	1.63221	2.16932	0.108466	2.00862	0.06149	0	0.835937	2.71092
all	rms	U	5	1974.02	1163	1.90352e+07	2.72104	2.83011	1.76756	2.62971	0.131486	2.51882	0.06149	0	0.821164	2.79453
all	share	U	0	443.954	1162	1.90217e+07	2.14308	2.04927	0.83824	0.831091	0.0415546	1.09591	0.06149	0	0.88893	2.8421
all	share	U	1	806.601	1163	1.90374e+07	2.17046	2.3215	1.12987	0.882101	0.044105	0.598144	0.06149	0	0.886104	2.50694
all	share	U	2	1101.89	1162	1.90204e+07	2.31228	2.48369	1.32059	1.18768	0.0593842	0.921875	0.06149	0	0.870732	2.52987
all	share	U	3	1392.52	1163	1.90364e+07	2.47251	2.61538	1.48457	1.61433	0.0807165	1.47704	0.06149	0	0.8524	2.62244
all	share	U	4	1683.27	1163	1.90357e+07	2.60619	2.72905	1.63221	2.05534	0.102767	2.00862	0.06149	0	0.835937	2.71092
all	share	U	5	1974.02	1163	1.90352e+07	2.72104	2.83011	1.76756	2.49774	0.124887	2.51882	0.06149	0	0.821164	2.79453
all	truth	U	0	443.954	1162	1.90217e+07	2.14308	2.04927	0.83824	2.84322	0.142161	1.09591	0.06149	0	0.88893	2.8421
all	truth	U	1	806.601	1163	1.90374e+07	2.17046	2.3215	1.12987	0.967614	0.0660965	0.598144	0.06149	0	0.886104	2.50694
all	truth	U	2	1101.89	1162	1.90204e+07	2.31228	2.48369	1.32059	1.08797	0.0543986	0.921875	0.06149	0	0.870732	2.52987
all	truth	U	3	1392.52	1163	1.90364e+07	2.47251	2.61538	1.48457	1.58617	0.0793085	1.47704	0.06149	0	0.8524	2.62244
all	truth	U	4	1683.27	1163	1.90357e+07	2.60619	2.72905	1.63221	2.08003	0.104002	2.00862	0.06149	0	0.835937	2.71092
all	truth	U	5	1974.02	1163	1.90352e+07	2.72104	2.83011	1.76756	2.56223	0.128111	2.51882	0.06149	0	0.821164	2.79453
all	rms	V	0	442.839	1161	1.90054e+07	2.14276	2.04822	0.837187	0.873008	0.0436504	1.0971	0.06149	0	0.888863	2.84264
all	rms	V	1	808.005	1162	1.9021e+07	2.17853	2.32237	1.13085	0.945248	0.0472624	0.631441	0.06149	0	0.885263	2.51642
all	rms	V	2	1102.65	1162	1.90204e+07	2.31977	2.48406	1.32104	1.27217	0.0636086	0.955945	0.06149	0	0.869888	2.53614
all	rms	V	3	1393.15	1162	1.902e+07	2.4754	2.61564	1.4849	1.71752	0.0858758	1.49094	0.06149	0	0.851664	2.62467
all	rms	V	4	1683.64	1162	1.90193e+07	2.60878	2.72919	1.63239	2.17905	0.108953	2.02199	0.06149	0	0.83539	2.71313
all	rms	V	5	1974.14	1162	1.90188e+07	2.7212	2.83015	1.76762	2.63041	0.131521	2.51967	0.06149	0	0.821302	2.79485
all	share	V	0	442.839	1161	1.90054e+07	2.14276	2.04822	0.837187	0.832297	0.0416148	1.0971	0.06149	0	0.888863	2.84264
all	share	V	1	808.005	1162	1.9021e+07	2.17853	2.32237	1.13085	0.897593	0.0448797	0.631441	0.06149	0	0.885263	2.51642
all	share	V	2	1102.65	1162	1.90204e+07	2.31977	2.48406	1.32104	1.20585	0.0602923	0.955945	0.06149	0	0.869888	2.53614
all	share	V	3	1393.15	1162	1.902e+07	2.4754	2.61564	1.4849	1.63289	0.0816445	1.49094	0.06149	0	0.851664	2.62467
all	share	V	4	1683.64	1162	1.90193e+07	2.60878	2.72919	1.63239	2.07094	0.103547	2.02199	0.06149	0	0.83539	2.71313
all	share	V	5	1974.14	1162	1.90188e+07	2.7212	2.83015	1.76762	2.49341	0.124671	2.51967	0.06149	0	0.821302	2.79485
all	truth	V	0	442.839	1161	1.90054e+07	2.14276	2.04822	0.837187	2.84645	0.142323	1.0971	0.06149	0	0.888863	2.84264
all	truth	V	1	808.005	1162	1.9021e+07	2.17853	2.32237	1.13085	1.01724	0.063839	0.631441	0.06149	0	0.885263	2.51642
all	truth	V	2	1102.65	1162	1.90204e+07	2.31977	2.48406	1.32104	1.12113	0.0560567	0.955945	0.06149	0	0.869888	2.53614
all	truth	V	3	1393.15	1162	1.902e+07	2.4754	2.61564	1.4849	1.59841	0.0799203	1.49094	0.06149	0	0.851664	2.62467
