plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1	truth_centre	truth_pm1	truth_pm2	truth_beyond
U	0.920647	0.556321	0.360066	0.125037	0.567296	0.340057	0.0349451	0.0577017	0.39379	0.484644	0.111845	0.00972045	0.704649	0.295351	0	0	0.567418	0.415747	0.0167854	4.98113e-05	0.442974	0.151623	0.274705	-0.0289186	-0.0596698	0.567741	0.339442	0.034838	0.0579785
V	0.816001	0.514378	0.36051	0.125037	0.592757	0.340998	0.0171484	0.0490965	0.433803	0.481632	0.0806547	0.00391016	0.704294	0.295706	0	0	0.594284	0.394892	0.0108105	1.38033e-05	0.408281	0.110841	0.223074	-0.01832	-0.0380373	0.596591	0.336479	0.0154183	0.0515116
W	0.219832	0.195976	0.359912	0.250069	0.824976	0.172258	0.00168897	0.00107722	0.807335	0.192664	7.95991e-07	0	0.702898	0.297017	8.46214e-05	0	0.825022	0.174978	6.42682e-08	0	0.0408132	0.00553224	0.249518	0.00276539	0.0143534	0.82307	0.173721	0.00218517	0.00102401
