arm	plane	metric	median	q25	q75	n
sbnd-ref	U	B_foot	-0.074	-0.1157	-0.0416	45
sbnd-d44	U	B_foot	-0.0818	-0.1204	-0.0613	45
sbnd-ref	U	U_foot	0.2324	0.1881	0.289	45
sbnd-d44	U	U_foot	0.2115	0.193	0.2614	45
sbnd-ref	U	chi2N_foot	6.802	3.525	10.986	45
sbnd-d44	U	chi2N_foot	6.429	3.816	9.6	45
sbnd-ref	U	pull_rms	1.856	1.187	2.613	45
sbnd-d44	U	pull_rms	1.729	1.183	2.172	45
sbnd-ref	U	pull_tail3	0.1753	0.0878	0.2825	45
sbnd-d44	U	pull_tail3	0.1709	0.0961	0.2455	45
sbnd-ref	U	uncov_foot	0	0	0	45
sbnd-d44	U	uncov_foot	0	0	0	45
sbnd-ref	U	f_off	0.0595	0.0373	0.0867	45
sbnd-d44	U	f_off	0.061	0.0373	0.087	45
sbnd-ref	U	f_off_far	0.0006	0	0.0066	45
sbnd-d44	U	f_off_far	0.0006	0	0.0066	45
sbnd-ref	U	B_foot_pooled	-0.086277	nan	nan	45
sbnd-ref	U	U_foot_pooled	0.241417	nan	nan	45
sbnd-ref	U	B_cheb2	-0.1028	nan	nan	0
sbnd-ref	U	U_cheb2	0.2605	nan	nan	0
sbnd-d44	U	B_foot_pooled	-0.0983623	nan	nan	45
sbnd-d44	U	U_foot_pooled	0.240854	nan	nan	45
sbnd-d44	U	B_cheb2	-0.1152	nan	nan	0
sbnd-d44	U	U_cheb2	0.2615	nan	nan	0
sbnd-ref	V	B_foot	-0.0727	-0.1074	-0.0375	45
sbnd-d44	V	B_foot	-0.0943	-0.1233	-0.0691	45
sbnd-ref	V	U_foot	0.2698	0.2023	0.3196	45
sbnd-d44	V	U_foot	0.2695	0.2062	0.335	45
sbnd-ref	V	chi2N_foot	6.555	3.561	10.357	45
sbnd-d44	V	chi2N_foot	6.552	3.519	10.269	45
sbnd-ref	V	pull_rms	1.684	1.3	2.456	45
sbnd-d44	V	pull_rms	1.697	1.348	2.294	45
sbnd-ref	V	pull_tail3	0.1513	0.0836	0.2598	45
sbnd-d44	V	pull_tail3	0.1505	0.0854	0.2627	45
sbnd-ref	V	uncov_foot	0	0	0	45
sbnd-d44	V	uncov_foot	0	0	0	45
sbnd-ref	V	f_off	0.0584	0.0246	0.0992	45
sbnd-d44	V	f_off	0.0584	0.0246	0.0992	45
sbnd-ref	V	f_off_far	0	0	0.0042	45
sbnd-d44	V	f_off_far	0	0	0.0042	45
sbnd-ref	V	B_foot_pooled	-0.0758436	nan	nan	45
sbnd-ref	V	U_foot_pooled	0.296633	nan	nan	45
sbnd-ref	V	B_cheb2	-0.0943	nan	nan	0
sbnd-ref	V	U_cheb2	0.315	nan	nan	0
sbnd-d44	V	B_foot_pooled	-0.0893468	nan	nan	45
sbnd-d44	V	U_foot_pooled	0.294859	nan	nan	45
sbnd-d44	V	B_cheb2	-0.1063	nan	nan	0
sbnd-d44	V	U_cheb2	0.3132	nan	nan	0
sbnd-ref	W	B_foot	-0.0913	-0.1059	-0.0545	45
sbnd-d44	W	B_foot	-0.0789	-0.1037	-0.053	45
sbnd-ref	W	U_foot	0.1864	0.1426	0.2207	45
sbnd-d44	W	U_foot	0.1852	0.1322	0.2163	45
sbnd-ref	W	chi2N_foot	11.034	8.003	20.458	45
sbnd-d44	W	chi2N_foot	10.953	7.442	18.864	45
sbnd-ref	W	pull_rms	2.415	2.078	2.68	45
sbnd-d44	W	pull_rms	2.303	1.973	2.626	45
sbnd-ref	W	pull_tail3	0.2543	0.1882	0.3201	45
sbnd-d44	W	pull_tail3	0.227	0.1863	0.2833	45
sbnd-ref	W	uncov_foot	0	0	0	45
sbnd-d44	W	uncov_foot	0	0	0	45
sbnd-ref	W	f_off	0.0457	0.0351	0.0621	45
sbnd-d44	W	f_off	0.0451	0.0351	0.0577	45
sbnd-ref	W	f_off_far	0.0012	0	0.0059	45
sbnd-d44	W	f_off_far	0.0012	0	0.0059	45
