plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1	truth_centre	truth_pm1	truth_pm2	truth_beyond
U	0.283716	0.250125	0.174948	0.0614922	0.787808	0.205385	0.00620845	0.000599166	0.762049	0.237914	3.69093e-05	1.00062e-13	0.867993	0.132007	0	0	0.787751	0.212244	4.64972e-06	6.07979e-17	0.0650582	0.0137193	0.160371	0.00677071	0.0284587	0.784247	0.208301	0.0067167	0.000735144
V	0.361972	0.322135	0.176685	0.0614922	0.728179	0.262233	0.00948946	9.81967e-05	0.702687	0.2966	0.000712155	2.56741e-09	0.863423	0.136577	0	0	0.732773	0.267027	0.000199654	3.52806e-11	0.0687351	0.018776	0.270488	0.0088755	0.0299241	0.685636	0.289515	0.0230451	0.00180416
W	0.272565	0.256881	0.262891	0.184477	0.786227	0.210121	0.00365229	0	0.769202	0.230772	2.55827e-05	2.78518e-14	0.779345	0.220655	0	0	0.781099	0.218891	1.0204e-05	1.01665e-15	0.0413028	0.0175407	0.0210678	0.00362671	0.0157155	0.786	0.210341	0.003659	0
