case	det	event	cluster	click	R	class	nrows	length_cm	max_d_ridge	max_d_img	seed_vertices
pdvd_GAP-dead_1	pdvd	039252_8	92	201.0,151.9,149.1	12.4	GAP-dead	22	13.12	4.05	4.55	1dead:i/1dead:i/1dead:i/1dead:i/1dead:i/1dead:i/1dead:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/1dead:i/1dead:i/1dead:i/1dead:t/1dead:i/2blank+:i/2blank+:i/1dead:i
pdvd_GAP-dead_2	pdvd	039349_33	11	-331.8,-59.1,174.3	12.0	GAP-dead	15	9.54	4.32	4.66	2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/1dead:t
pdvd_GAP-dead_3	pdvd	039253_6	97	180.7,-302.2,156.0	17.4	GAP-dead	4	22.30	1.32	1.77	3live:t/3live:t/1dead:i/1dead:t
pdvd_GAP-short_1	pdvd	039349_2	39	332.7,-192.0,69.8	14.9	GAP-short	30	19.91	2.52	4.92	1blank:i/1blank:i/1dead:t/1dead:i
pdvd_GAP-short_2	pdvd	039349_0	58	279.5,119.3,112.0	12.0	GAP-short	28	17.05	2.55	3.83	1blank:t/1dead:i/1blank:i/3live:i
pdvd_GAP-short_3	pdvd	039349_48	30	-309.4,17.4,260.8	15.2	GAP-short	33	20.65	2.50	2.17	2blank+:i/3live:i/2blank+:i/3live:i/3live:i/3live:i/3live:i/3live:i/1blank:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:t/3live:i
pdvd_GAP-live_1	pdvd	039252_16	111	313.6,186.9,45.9	53.9	GAP-live	181	132.59	2.83	27.59	1blank:i/2blank+:i/3live:e/1blank:t/1blank:i/3live:i/1blank:i/3live:t/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/3live:i/3live:t
pdvd_GAP-live_2	pdvd	039252_2	86	198.9,53.6,128.5	55.7	GAP-live	57	106.95	0.75	21.04	1blank:i/1blank:t/3live:t/3live:t
pdvd_GAP-live_3	pdvd	039349_60	54	146.7,229.3,90.4	46.0	GAP-live	129	82.68	3.63	22.98	3live:i/3live:t/3live:i/3live:t/3live:i/3live:i
pdvd_XID_1	pdvd	039253_9	97	314.4,70.3,31.5	12.0	XID	7	4.20	nan	2.29	1blank:i/3live:i
pdvd_XID_2	pdvd	039253_11	103	57.5,52.2,42.1	12.0	XID	7	4.56	4.40	0.87	3live:i/3live:i/3live:i/3live:i/3live:i
pdvd_XID_3	pdvd	039349_28	46	222.1,-178.5,289.5	12.0	XID	4	2.82	nan	1.32	1blank:t/1blank:t/1blank:i/1blank:i
pdvd_D-crawl_1	pdvd	039252_5	83	332.6,-177.5,178.6	14.3	D-crawl	39	23.93	3.47	3.72	1blank:i/1blank:i/1blank:i/1blank:t/1blank:t/1blank:t/1blank:i/3live:i/1blank:t/2blank+:i/1blank:i/1blank:i/2blank+:i/3live:t/2blank+:i/2blank+:i/1blank:i/2blank+:i/3live:i/3live:i/3live:i
pdvd_D-crawl_2	pdvd	039349_36	54	152.6,-53.6,286.3	12.0	D-crawl	10	6.43	3.23	3.94	2blank+:i/1blank:t/2blank+:i/2blank+:i/3live:t/2blank+:i/3live:i
pdvd_D-crawl_3	pdvd	039349_64	56	221.4,-287.8,279.2	12.0	D-crawl	12	7.11	3.66	2.99	1blank:t/2blank+:i/2blank+:i/2blank+:i/2blank+:i/3live:t/2blank+:i/1blank:i
pdvd_D-bridge_1	pdvd	039252_13	71	292.3,-33.3,150.6	12.0	D-bridge	8	4.26	2.06	1.64	1blank:i/1blank:i
pdvd_D-blank-term_1	pdvd	039349_32	48	165.3,-146.8,85.0	12.0	D-blank-term	16	10.98	2.16	2.01	1blank:i/1blank:t/1blank:i/2blank+:i/1blank:i/1blank:i/1blank:i/1blank:i/2blank+:i/2blank+:i/1blank:i/2blank+:i/1blank:i/1blank:i/1blank:i/1blank:i
pdvd_D-blank-term_2	pdvd	039349_7	21	-92.7,-212.7,104.6	12.0	D-blank-term	6	4.29	3.14	2.58	2blank+:i/2blank+:i/1blank:i/1blank:i/1blank:t
pdvd_D-blank-term_3	pdvd	039252_3	103	312.6,-294.4,266.9	12.0	D-blank-term	8	5.53	2.00	1.90	2blank+:i/1blank:t/1blank:i/1blank:i
pdvd_D-blank-int_1	pdvd	039349_31	68	15.6,-214.3,202.3	12.0	D-blank-int	9	5.30	3.15	2.27	3live:i/1blank:i
pdvd_D-blank-int_2	pdvd	039252_14	78	144.9,71.6,149.0	12.0	D-blank-int	10	6.00	1.98	1.83	1dead:i/1dead:t/1dead:i/2blank+:i/2blank+:i/2blank+:i/1dead:i/1dead:i
pdvd_D-blank-int_3	pdvd	039252_9	77	275.0,-291.8,184.9	12.0	D-blank-int	10	5.83	1.46	1.79	1blank:i/3live:t/1blank:i
