key	in_A0	in_A1	A0_is_stm	A0_michel	A1_is_stm	A1_michel
028084_1/31	1	1	0	1	0	1
028084_12/1	1	1	0	0	0	0
028084_17/122	1	1	1	1	1	1
028084_17/26	1	1	0	0	0	0
028084_21/20	1	1	0	0	0	0
028084_24/66	1	1	0	0	0	0
028084_25/98	1	1	0	0	0	0
028084_3/49	1	1	0	0	0	0
028084_30/107	1	1	0	0	0	0
028084_5/136	1	1	1	1	1	1
028084_7/109	1	1	0	1	0	1
028084_7/21	1	1	0	0	0	0
028084_7/8	1	1	0	0	0	0
028084_8/109	1	1	0	0	0	0
028084_8/39	1	1	0	0	0	0
028084_9/120	1	1	0	0	0	0
029107_0/17	1	1	0	0	0	0
029107_12/19	1	1	0	0	0	0
029107_13/32	1	1	0	0	0	0
029107_15/120	1	1	0	1	0	1
029107_16/1	1	1	0	0	0	0
029107_16/15	1	1	0	0	0	0
029107_16/32	1	1	0	0	0	0
029107_18/138	1	1	0	1	0	1
029107_18/68	1	1	0	1	0	1
029107_2/11	1	1	0	0	0	0
029107_2/117	1	1	0	0	0	0
029107_23/101	1	1	0	0	0	0
029107_25/23	1	1	0	0	0	0
029107_28/42	1	1	1	1	1	1
029107_3/26	1	1	0	1	0	1
029107_5/107	1	1	0	0	0	0
029107_7/28	1	1	1	0	1	0
029107_8/52	1	1	0	0	0	0
