det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdhd	028084_18	50	0	3159	3168	10	6.32	5.34	-306.4	459.5	199.4	1.19	2.23	3	FIT	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.80	3live:i/3live:i/3live:i/3live:i/3live:t/3live:i	0			
pdhd	029107_16	34	0	80	89	10	6.05	1.74	-1.4	494.3	46.9	1.86	2.26	2	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.70	1.00	3live:i/3live:e/3live:i	0			
pdhd	029107_24	22	0	481	490	10	6.04	5.84	-218.1	552.2	260.3	1.09	2.24	1	FIT	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.90	3live:i/3live:i/3live:i/3live:i/3live:i/3live:t	0			
pdhd	029107_20	31	0	495	501	7	3.98	4.10	-246.7	305.2	40.8	0.99	1.74	2	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:t/3live:t/3live:i/3live:i/3live:i/3live:t	0			
pdhd	028084_8	120	0	5704	5710	7	4.21	4.81	-89.6	388.1	281.5	1.06	1.49	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:t	0			
pdhd	028084_15	50	0	1795	1799	5	3.51	4.02	-77.7	385.8	385.6	0.79	1.72	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:i	0			
pdhd	028084_7	33	0	322	327	6	3.85	4.15	-14.5	412.7	26.0	0.98	1.54	2	FIT	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.83	3live:i/3live:i/3live:i/3live:t/3live:i	0			
pdhd	029107_26	57	0	2160	2164	5	3.06	3.66	-54.0	557.6	21.7	1.97	1.90	3	FIT	0	0.57	0.00	0.57	0.00	0.20	0.00	0.00	0.80	3live:e/3live:e	0			
pdhd	028084_24	136	0	7875	7878	4	2.63	2.71	12.6	33.7	304.0	0.80	1.56	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:i/3live:t	0			
pdhd	029107_12	20	0	188	191	4	2.76	2.76	-8.3	104.6	225.1	0.84	1.39	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:i	0			
pdhd	028084_4	114	0	6019	6021	3	2.16	2.74	245.8	378.2	429.3	0.91	1.77	1	FIT	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00	3live:i/3live:i	0			
