det	est	plane	window	inversion	tbin	t_us	extent	sig_true_mm	sig_old_mm	sig_corr_mm	c_pred_mm	DT_pred_cm2s	c_input_mm	DT_input_cm2s	sig_true_lo_pitch	sig_true_hi_pitch
pdhd	share	U	full	bin	0	212.68	0.164444	2.74006	2.71993	2.74006	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	bin	1	498.325	0.164444	2.80976	2.79026	2.80976	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	bin	2	810.629	0.164444	2.88404	2.86517	2.88404	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	bin	3	1149.99	0.164444	2.96264	2.9444	2.96264	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	bin	4	1534.85	0.164444	3.04933	3.03174	3.04933	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	bin	5	1954.03	0.164444	3.14104	3.12408	3.14104	nan	nan	nan	nan	nan	nan
pdhd	share	U	full	old	-1	nan	nan	nan	nan	nan	2.6664	6.78154	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	full	corrected	-1	nan	nan	nan	nan	nan	2.68699	6.77114	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	q1	bin	0	212.68	0.164444	2.74006	3.03368	2.74006	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	bin	1	498.325	0.164444	2.80976	3.09397	2.80976	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	bin	2	810.629	0.164444	2.88404	3.15879	2.88404	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	bin	3	1149.99	0.164444	2.96264	3.22799	2.96264	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	bin	4	1534.85	0.164444	3.04933	3.30497	3.04933	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	bin	5	1954.03	0.164444	3.14104	3.3871	3.14104	nan	nan	nan	nan	nan	nan
pdhd	share	U	q1	old	-1	nan	nan	nan	nan	nan	2.98717	6.51703	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	q1	corrected	-1	nan	nan	nan	nan	nan	2.68699	6.77114	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	q2	bin	0	212.68	0.164444	2.74006	2.43388	2.74006	nan	nan	nan	nan	nan	nan
pdhd	share	U	q2	bin	1	498.325	0.164444	2.80976	2.51312	2.80976	nan	nan	nan	nan	nan	nan
pdhd	share	U	q2	bin	2	810.629	0.164444	2.88404	2.59692	2.88404	nan	nan	nan	nan	nan	nan
pdhd	share	U	q2	bin	3	1149.99	0.164444	2.96264	2.68494	2.96264	nan	nan	nan	nan	nan	nan
pdhd	share	U	q2	bin	4	1534.85	0.164444	3.04933	2.7813	3.04933	nan	nan	nan	nan	nan	nan
pdhd	share	U	q2	bin	5	1954.03	0.164444	3.14104	2.8825	3.14104	nan	nan	nan	nan	nan	nan
pdhd	share	U	q2	old	-1	nan	nan	nan	nan	nan	2.37345	6.84788	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	q2	corrected	-1	nan	nan	nan	nan	nan	2.68699	6.77114	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	q3	bin	0	212.68	0.164444	2.74006	2.43388	2.74006	nan	nan	nan	nan	nan	nan
pdhd	share	U	q3	bin	1	498.325	0.164444	2.80976	2.51312	2.80976	nan	nan	nan	nan	nan	nan
pdhd	share	U	q3	bin	2	810.629	0.164444	2.88404	2.59692	2.88404	nan	nan	nan	nan	nan	nan
pdhd	share	U	q3	bin	3	1149.99	0.164444	2.96264	2.68494	2.96264	nan	nan	nan	nan	nan	nan
pdhd	share	U	q3	bin	4	1534.85	0.164444	3.04933	2.7813	3.04933	nan	nan	nan	nan	nan	nan
pdhd	share	U	q3	bin	5	1954.03	0.164444	3.14104	2.8825	3.14104	nan	nan	nan	nan	nan	nan
pdhd	share	U	q3	old	-1	nan	nan	nan	nan	nan	2.37345	6.84788	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	q3	corrected	-1	nan	nan	nan	nan	nan	2.68699	6.77114	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	q4	bin	0	212.68	0.164444	2.74006	3.03368	2.74006	nan	nan	nan	nan	nan	nan
pdhd	share	U	q4	bin	1	498.325	0.164444	2.80976	3.09397	2.80976	nan	nan	nan	nan	nan	nan
pdhd	share	U	q4	bin	2	810.629	0.164444	2.88404	3.15879	2.88404	nan	nan	nan	nan	nan	nan
pdhd	share	U	q4	bin	3	1149.99	0.164444	2.96264	3.22799	2.96264	nan	nan	nan	nan	nan	nan
pdhd	share	U	q4	bin	4	1534.85	0.164444	3.04933	3.30497	3.04933	nan	nan	nan	nan	nan	nan
pdhd	share	U	q4	bin	5	1954.03	0.164444	3.14104	3.3871	3.14104	nan	nan	nan	nan	nan	nan
pdhd	share	U	q4	old	-1	nan	nan	nan	nan	nan	2.98717	6.51703	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	q4	corrected	-1	nan	nan	nan	nan	nan	2.68699	6.77114	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	centre	bin	0	212.68	0.164444	2.74006	2.43388	2.74006	nan	nan	nan	nan	nan	nan
pdhd	share	U	centre	bin	1	498.325	0.164444	2.80976	2.51312	2.80976	nan	nan	nan	nan	nan	nan
pdhd	share	U	centre	bin	2	810.629	0.164444	2.88404	2.59692	2.88404	nan	nan	nan	nan	nan	nan
pdhd	share	U	centre	bin	3	1149.99	0.164444	2.96264	2.68494	2.96264	nan	nan	nan	nan	nan	nan
pdhd	share	U	centre	bin	4	1534.85	0.164444	3.04933	2.7813	3.04933	nan	nan	nan	nan	nan	nan
pdhd	share	U	centre	bin	5	1954.03	0.164444	3.14104	2.8825	3.14104	nan	nan	nan	nan	nan	nan
pdhd	share	U	centre	old	-1	nan	nan	nan	nan	nan	2.37345	6.84788	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	centre	corrected	-1	nan	nan	nan	nan	nan	2.68699	6.77114	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	edge	bin	0	212.68	0.164444	2.74006	3.03368	2.74006	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	bin	1	498.325	0.164444	2.80976	3.09397	2.80976	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	bin	2	810.629	0.164444	2.88404	3.15879	2.88404	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	bin	3	1149.99	0.164444	2.96264	3.22799	2.96264	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	bin	4	1534.85	0.164444	3.04933	3.30497	3.04933	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	bin	5	1954.03	0.164444	3.14104	3.3871	3.14104	nan	nan	nan	nan	nan	nan
pdhd	share	U	edge	old	-1	nan	nan	nan	nan	nan	2.98717	6.51703	2.68699	6.77114	0.586824	0.672699
pdhd	share	U	edge	corrected	-1	nan	nan	nan	nan	nan	2.68699	6.77114	2.68699	6.77114	0.586824	0.672699
pdhd	share	V	full	bin	0	215.202	0.164444	2.84123	2.82201	2.84123	nan	nan	nan	nan	nan	nan
pdhd	share	V	full	bin	1	508.256	0.164444	2.91024	2.89158	2.91024	nan	nan	nan	nan	nan	nan
pdhd	share	V	full	bin	2	806.927	0.164444	2.97892	2.9608	2.97892	nan	nan	nan	nan	nan	nan
pdhd	share	V	full	bin	3	1147.69	0.164445	3.05539	3.03784	3.05539	nan	nan	nan	nan	nan	nan
pdhd	share	V	full	bin	4	1530.2	0.164444	3.13902	3.12204	3.13902	nan	nan	nan	nan	nan	nan
