wall,vol,x_cm,n_points,n_tracks,d_eq_cm,d_eq_err_cm,d50_cm,d50_err_cm,rho_per_cm,d_2nd_cm,n_ends_through,end_mode_cm,end_mode_err_cm,n_ends_all,end_mode_all_cm,n_lines_pred0to10,n_lines_survive,line_resid_cm,line_resid_err_cm
y+,bot,11.500,9269,109,-22.589,18.321,-0.508,0.873,110.405,-0.123,34,14.500,12.909,44,15.500,1,1,nan,nan
y+,bot,30.000,15476,106,-3.517,8.096,1.006,0.996,245.905,0.044,16,0.500,14.810,19,0.500,0,0,nan,nan
y+,bot,50.000,10790,91,-0.472,9.036,-0.033,1.291,185.905,-0.053,9,0.500,14.560,11,0.500,0,0,nan,nan
y+,bot,70.000,10563,93,-0.901,9.305,0.442,1.192,175.945,-0.053,16,0.500,2.976,20,0.500,0,0,nan,nan
y+,bot,90.000,10818,91,-5.110,12.254,-0.083,1.181,165.835,0.044,6,0.500,7.070,8,0.500,1,1,nan,nan
y+,bot,110.000,10175,88,-14.041,13.270,0.225,0.984,140.300,0.044,8,0.500,16.137,9,0.500,1,1,nan,nan
y+,bot,130.000,9542,82,-11.779,12.933,-0.751,0.537,131.195,-0.123,9,0.500,6.937,14,0.500,1,1,nan,nan
y+,bot,150.000,9902,92,4.950,8.085,0.103,0.486,174.482,-0.123,7,-0.500,13.569,9,-0.500,1,1,nan,nan
y+,bot,170.000,11528,82,4.148,7.315,0.146,0.946,206.779,-0.053,7,0.500,13.634,8,0.500,2,2,nan,nan
y+,bot,190.000,13652,93,-10.531,13.371,0.214,0.788,190.528,-0.123,12,0.500,8.726,16,0.500,1,1,nan,nan
y+,bot,210.000,13789,98,-13.212,15.392,-0.454,0.654,184.779,-0.123,8,0.500,12.380,11,0.500,0,0,nan,nan
y+,bot,230.000,13417,92,-5.123,7.417,-0.071,0.938,207.415,-0.123,10,-0.500,6.073,15,0.500,0,0,nan,nan
y+,bot,250.000,12496,103,7.133,5.514,0.129,0.604,239.492,-0.123,19,0.500,2.475,21,0.500,0,0,nan,nan
y+,bot,270.000,11428,97,9.439,5.782,0.859,4.851,230.747,-0.123,13,0.500,2.922,15,0.500,0,0,nan,nan
y+,bot,290.000,8454,74,1.720,11.570,1.084,2.663,134.573,-0.053,7,0.500,11.299,8,0.500,0,0,nan,nan
y+,bot,310.000,5460,51,-11.205,15.836,1.124,1.444,77.381,-0.053,3,nan,nan,5,0.500,0,0,nan,nan
y+,bot,330.000,4780,59,-4.156,16.237,0.837,2.789,74.653,-0.053,5,0.500,20.947,11,0.500,0,0,nan,nan
y+,top,11.500,12835,115,-1.701,8.227,1.930,2.661,204.045,-0.081,33,4.500,15.298,40,4.500,0,0,nan,nan
y+,top,30.000,15332,123,0.068,7.708,2.447,1.219,264.007,0.044,19,4.500,7.567,26,4.500,0,0,nan,nan
y+,top,50.000,14221,107,4.905,6.408,3.007,1.757,265.190,0.044,11,2.500,13.480,14,3.500,0,0,nan,nan
y+,top,70.000,11594,100,-8.674,10.756,0.871,0.728,168.756,0.486,9,1.500,7.818,11,1.500,0,0,nan,nan
y+,top,90.000,15296,122,-4.121,9.212,0.475,1.924,232.949,-0.081,14,0.500,11.614,21,0.500,0,0,nan,nan
y+,top,110.000,17560,119,4.205,6.189,0.581,0.805,306.849,-0.081,12,0.500,9.194,13,0.500,0,0,nan,nan
y+,top,130.000,17635,123,-8.949,9.918,-0.676,0.503,256.923,-0.094,13,0.500,3.908,18,0.500,0,0,nan,nan
y+,top,150.000,18784,117,-1.889,7.465,0.128,1.148,303.348,-0.094,14,0.500,5.444,23,0.500,0,0,nan,nan
