label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	share	W	1	376.92	971	1.56071e+07	1.14987	1.21792	0.814481	0.516305	0.0258152	0.502253	0.250078	0	0.792641	1.16449
all	share	W	2	571.118	971	1.56068e+07	1.30339	1.35288	1.00258	0.868311	0.0434156	0.873718	0.250078	0	0.739193	1.30622
all	share	W	3	765.317	971	1.56065e+07	1.43402	1.4726	1.16058	1.23129	0.0615645	1.23479	0.250078	0	0.694823	1.4346
all	share	W	4	959.515	971	1.56062e+07	1.55019	1.58328	1.29952	1.57471	0.0787355	1.58505	0.250078	0	0.659367	1.55032
all	share	W	5	1153.81	972	1.5622e+07	1.65926	1.68712	1.42503	1.93741	0.0968704	1.9375	0.250078	0	0.627048	1.65929
all	truth	W	0	182.254	971	1.56074e+07	0.93214	1.04123	0.566363	0.196312	0.00981558	0.105483	0.250078	0	0.862859	1.02273
all	truth	W	1	376.92	971	1.56071e+07	1.14987	1.21792	0.814481	0.512865	0.0256433	0.502253	0.250078	0	0.792641	1.16449
all	truth	W	2	571.118	971	1.56068e+07	1.30339	1.35288	1.00258	0.873567	0.0436784	0.873718	0.250078	0	0.739193	1.30622
all	truth	W	3	765.317	971	1.56065e+07	1.43402	1.4726	1.16058	1.2336	0.0616801	1.23479	0.250078	0	0.694823	1.4346
all	truth	W	4	959.515	971	1.56062e+07	1.55019	1.58328	1.29952	1.58414	0.0792069	1.58505	0.250078	0	0.659367	1.55032
all	truth	W	5	1153.81	972	1.5622e+07	1.65926	1.68712	1.42503	1.93696	0.0968482	1.9375	0.250078	0	0.627048	1.65929
