label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	share	W	1	368.586	975	1.59684e+07	1.25988	1.21155	0.805427	0.734461	0.0367231	0.768155	0.250076	0	0.757974	1.26563
all	share	W	2	563.977	979	1.5975e+07	1.38188	1.34825	0.996293	1.05156	0.052578	1.08442	0.250076	0	0.715749	1.38361
all	share	W	3	759.941	980	1.59699e+07	1.4935	1.46943	1.1565	1.3764	0.0688201	1.40883	0.250076	0	0.679182	1.49473
all	share	W	4	956.208	983	1.59636e+07	1.59447	1.58146	1.29728	1.7072	0.0853601	1.72425	0.250076	0	0.647017	1.59578
all	share	W	5	1153.05	986	1.59803e+07	1.69197	1.68672	1.42456	2.03987	0.101993	2.04711	0.250076	0	0.618711	1.6933
all	truth	W	0	174.279	967	1.59529e+07	1.12038	1.03196	0.553833	0.465496	0.0232748	0.497028	0.250076	0	0.807058	1.14457
all	truth	W	1	368.586	975	1.59684e+07	1.25988	1.21155	0.805427	0.766178	0.0383089	0.768155	0.250076	0	0.757974	1.26563
all	truth	W	2	563.977	979	1.5975e+07	1.38188	1.34825	0.996293	1.08695	0.0543473	1.08442	0.250076	0	0.715749	1.38361
all	truth	W	3	759.941	980	1.59699e+07	1.4935	1.46943	1.1565	1.41268	0.0706339	1.40883	0.250076	0	0.679182	1.49473
all	truth	W	4	956.208	983	1.59636e+07	1.59447	1.58146	1.29728	1.72864	0.086432	1.72425	0.250076	0	0.647017	1.59578
all	truth	W	5	1153.05	986	1.59803e+07	1.69197	1.68672	1.42456	2.05167	0.102583	2.04711	0.250076	0	0.618711	1.6933
