plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1
U	0.380438	0.326659	0.330312	1.45519e-11	0.728614	0.261809	0.00843522	0.00114222	0.687461	0.311354	0.00118553	1.33574e-08	0.725715	0.274285	0	0	0.727624	0.272128	0.000248097	6.99442e-11	0.0990894	0.0206377	0.0249527	0.0083919	0.0269529
V	0.374208	0.332417	0.330362	1.45519e-11	0.722401	0.269272	0.00728312	0.0010436	0.69207	0.306912	0.00101819	8.09858e-09	0.725678	0.274322	0	0	0.723291	0.276406	0.000302698	1.38082e-10	0.0752798	0.016048	0.0166534	0.00730852	0.0238131
W	0.409697	0.298843	0.311187	1.45519e-11	0.748493	0.233139	0.0164379	0.00192975	0.666026	0.33173	0.00224423	1.05789e-07	0.740735	0.259265	0	0	0.748616	0.251302	8.21721e-05	1.51543e-12	0.19718	0.036571	0.0522513	0.0161234	0.0486039
