plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1	truth_centre	truth_pm1	truth_pm2	truth_beyond
U	0.253062	0.230818	0.17489	0.0614922	0.802659	0.1922	0.00450102	0.000640413	0.785501	0.214493	5.74357e-06	1.28645e-16	0.868014	0.131986	0	0	0.802554	0.197445	9.61437e-07	0	0.0445873	0.0104905	0.13071	0.00513569	0.0239433	0.80232	0.192399	0.00452665	0.00075406
V	0.254054	0.228023	0.175701	0.0614922	0.805196	0.191064	0.00369965	4.07989e-05	0.784741	0.215253	6.1591e-06	1.65652e-16	0.863823	0.136177	0	0	0.804699	0.195301	7.42085e-07	0	0.0483778	0.0084735	0.117254	0.00373429	0.0173484	0.804364	0.191844	0.00373435	5.71199e-05
W	0.280886	0.257921	0.26275	0.184477	0.785759	0.20915	0.00509101	0	0.76289	0.237071	3.95146e-05	1.30832e-13	0.779442	0.220558	0	0	0.78031	0.21968	1.08942e-05	1.28786e-15	0.055841	0.0210588	0.022815	0.00505149	0.021308	0.785666	0.209163	0.00517099	0
