plane	u_centre	S
U	-3.45	0.0166589
U	-3.35	0.0172859
U	-3.25	0.016929
U	-3.15	0.0184742
U	-3.05	0.0191291
U	-2.95	0.0196108
U	-2.85	0.0185578
U	-2.75	0.0163007
U	-2.65	0.0147466
U	-2.55	0.0125322
U	-2.45	0.00962144
U	-2.35	0.0071036
U	-2.25	0.00413632
U	-2.15	0.00307968
U	-2.05	0.00491485
U	-1.95	0.0110647
U	-1.85	0.0251196
U	-1.75	0.0436487
U	-1.65	0.0607485
U	-1.55	0.0754115
U	-1.45	0.0873412
U	-1.35	0.0993196
U	-1.25	0.108106
U	-1.15	0.123319
U	-1.05	0.157633
U	-0.95	0.209854
U	-0.85	0.266679
U	-0.75	0.309698
U	-0.65	0.343149
U	-0.55	0.376498
U	-0.45	0.4027
U	-0.35	0.430672
U	-0.25	0.450479
U	-0.15	0.474705
U	-0.05	0.517568
U	0.05	0.55769
U	0.15	0.560323
U	0.25	0.510268
U	0.35	0.455304
U	0.45	0.417031
U	0.55	0.378595
U	0.65	0.345123
U	0.75	0.309077
U	0.85	0.277029
U	0.95	0.2513
U	1.05	0.222004
U	1.15	0.184042
U	1.25	0.139053
U	1.35	0.105791
U	1.45	0.0871795
U	1.55	0.0724054
U	1.65	0.0592923
U	1.75	0.0466053
U	1.85	0.0355543
U	1.95	0.0248332
U	2.05	0.0141438
U	2.15	0.00682667
U	2.25	0.00464543
U	2.35	0.00473252
U	2.45	0.00610807
U	2.55	0.00858111
U	2.65	0.0105288
U	2.75	0.0125564
U	2.85	0.0150133
U	2.95	0.0172578
U	3.05	0.0186602
U	3.15	0.0188066
U	3.25	0.0180296
U	3.35	0.0168035
U	3.45	0.0160125
V	-3.45	0.0342536
V	-3.35	0.036492
V	-3.25	0.0376876
V	-3.15	0.0364787
V	-3.05	0.0357877
V	-2.95	0.0334611
V	-2.85	0.0319559
V	-2.75	0.0291648
V	-2.65	0.0254778
V	-2.55	0.0237334
V	-2.45	0.0210315
V	-2.35	0.0190477
V	-2.25	0.0177096
V	-2.15	0.0148954
V	-2.05	0.0154241
V	-1.95	0.0218241
V	-1.85	0.0363114
V	-1.75	0.0502804
V	-1.65	0.0609791
V	-1.55	0.0710969
V	-1.45	0.0814628
V	-1.35	0.0955082
V	-1.25	0.109337
V	-1.15	0.120935
V	-1.05	0.147284
V	-0.95	0.199098
V	-0.85	0.261645
V	-0.75	0.302764
V	-0.65	0.335502
V	-0.55	0.361965
V	-0.45	0.38845
V	-0.35	0.429113
V	-0.25	0.452779
V	-0.15	0.466312
V	-0.05	0.481873
V	0.05	0.505175
V	0.15	0.511952
V	0.25	0.469716
V	0.35	0.435921
V	0.45	0.404252
V	0.55	0.376063
V	0.65	0.360241
V	0.75	0.32741
V	0.85	0.286515
V	0.95	0.240763
V	1.05	0.199731
V	1.15	0.157511
V	1.25	0.118083
V	1.35	0.0972801
V	1.45	0.0832593
V	1.55	0.0745271
V	1.65	0.0669161
V	1.75	0.0554211
V	1.85	0.0421676
V	1.95	0.0272079
V	2.05	0.0174055
V	2.15	0.00831746
V	2.25	0.00651335
V	2.35	0.00870336
V	2.45	0.00985051
V	2.55	0.0136973
V	2.65	0.0170133
V	2.75	0.019086
V	2.85	0.0213162
V	2.95	0.0224305
V	3.05	0.0248996
V	3.15	0.0263484
V	3.25	0.0259047
V	3.35	0.0261932
V	3.45	0.0250869
W	-3.45	0.000136464
W	-3.35	0.000316891
W	-3.25	0.000657697
W	-3.15	0.00124152
W	-3.05	0.00171601
W	-2.95	0.00182105
W	-2.85	0.00137238
W	-2.75	0.000647292
W	-2.65	7.22905e-05
W	-2.55	0
W	-2.45	2.35339e-05
W	-2.35	0.000880016
W	-2.25	0.00371809
W	-2.15	0.00749969
W	-2.05	0.00975067
W	-1.95	0.00906377
W	-1.85	0.00460927
W	-1.75	0.000810122
W	-1.65	0
W	-1.55	0
W	-1.45	0
W	-1.35	4.42895e-05
W	-1.25	0.00353739
W	-1.15	0.0146596
W	-1.05	0.0265831
W	-0.95	0.0301783
W	-0.85	0.0256806
W	-0.75	0.0272497
W	-0.65	0.0766795
W	-0.55	0.256602
W	-0.45	0.573764
W	-0.35	0.899984
W	-0.25	1.05184
W	-0.15	1.06553
W	-0.05	1.0303
W	0.05	1.02252
W	0.15	0.972569
W	0.25	0.905137
W	0.35	0.780326
W	0.45	0.612869
W	0.55	0.370988
W	0.65	0.15186
W	0.75	0.0268127
W	0.85	9.88207e-05
W	0.95	0
W	1.05	0
W	1.15	0
W	1.25	0.00109645
W	1.35	0.00621159
W	1.45	0.010117
W	1.55	0.0060438
W	1.65	0.00112527
W	1.75	2.3425e-06
W	1.85	0
W	1.95	2.72383e-07
W	2.05	7.4633e-06
W	2.15	8.49291e-05
W	2.25	0.000431836
W	2.35	0.000894561
W	2.45	0.00116357
W	2.55	0.000909052
W	2.65	0.000398824
W	2.75	8.50381e-05
W	2.85	2.38608e-05
W	2.95	1.01871e-05
W	3.05	2.97443e-05
W	3.15	0.000122518
W	3.25	0.000257075
W	3.35	0.000352954
W	3.45	0.00048408
