label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	10.8283	3.197	1.45646	0.154373	2.12126	0.449674	4.31045	4	8.8	0.48359	1.08283e-06	1.45646
all	share	U	9.24655	1.65228	1.20285	0.0868026	1.44685	0.208821	3.22937	4	8.8	0.48359	9.24655e-07	1.20285
all	rms	V	9.29245	2.51643	1.23312	0.118877	1.52058	0.29318	5.06617	4	8.8	0.80599	9.29245e-07	1.23312
all	share	V	8.79083	2.32668	1.23347	0.107235	1.52146	0.264544	1.05233	4	8.8	0.80599	8.79083e-07	1.23347
all	rms	W	-0.586734	5.65625	1.11011	0.328914	1.23234	0.730261	2.08438	4	8.8	0.09403	-5.86734e-08	1.11011
all	share	W	0.343996	4.00221	1.00723	0.255471	1.01452	0.514637	1.21064	4	8.8	0.09403	3.43996e-08	1.00723
all	rms	U(joint)	8.74011	1.86659	1.54783	0.0946174	2.39576	0.292902	14.6548	14	8.8	0.48359	8.74011e-07	1.54783
all	rms	V(joint)	8.74011	1.86659	1.25574	0.0945375	1.57687	0.237428	14.6548	14	8.8	0.80599	8.74011e-07	1.25574
all	rms	W(joint)	8.74011	1.86659	0.178369	0.692004	0.0318154	0.246864	14.6548	14	8.8	0.09403	8.74011e-07	0.178369
all	share	U(joint)	8.2033	1.27676	1.25015	0.069272	1.56289	0.173201	9.81106	14	8.8	0.48359	8.2033e-07	1.25015
all	share	V(joint)	8.2033	1.27676	1.25757	0.0694242	1.58148	0.174612	9.81106	14	8.8	0.80599	8.2033e-07	1.25757
all	share	W(joint)	8.2033	1.27676	0.0950832	0.901143	0.00904082	0.171367	9.81106	14	8.8	0.09403	8.2033e-07	0.0950832
