plane	u_centre	S
U	-3.45	0.000328778
U	-3.35	0.000246992
U	-3.25	0
U	-3.15	3.22252e-05
U	-3.05	0
U	-2.95	0.000176831
U	-2.85	0.00018968
U	-2.75	0.000812054
U	-2.65	0.000943708
U	-2.55	0.000284622
U	-2.45	0.000607383
U	-2.35	0.000773914
U	-2.25	0.000843565
U	-2.15	0.00140669
U	-2.05	0.00232276
U	-1.95	0.00407128
U	-1.85	0.00413981
U	-1.75	0.006665
U	-1.65	0.00814756
U	-1.55	0.00739955
U	-1.45	0.00731124
U	-1.35	0.00710993
U	-1.25	0.0100716
U	-1.15	0.0280734
U	-1.05	0.0534692
U	-0.95	0.0935142
U	-0.85	0.107539
U	-0.75	0.23228
U	-0.65	0.452236
U	-0.55	0.51344
U	-0.45	0.620659
U	-0.35	0.507119
U	-0.25	0.824469
U	-0.15	1.00056
U	-0.05	0.735338
U	0.05	0.742956
U	0.15	0.584439
U	0.25	0.820282
U	0.35	0.842892
U	0.45	0.55901
U	0.55	0.425425
U	0.65	0.241514
U	0.75	0.231864
U	0.85	0.151141
U	0.95	0.0643611
U	1.05	0.0295707
U	1.15	0.0157773
U	1.25	0.0105656
U	1.35	0.00945952
U	1.45	0.00735203
U	1.55	0.00618326
U	1.65	0.00514185
U	1.75	0.00660412
U	1.85	0.00581267
U	1.95	0.00206445
U	2.05	0.00103477
U	2.15	0.000823578
U	2.25	0.00100806
U	2.35	0.000840608
U	2.45	0.00049898
U	2.55	0.000403631
U	2.65	0.000287375
U	2.75	9.94289e-05
U	2.85	6.73057e-06
U	2.95	0
U	3.05	0
U	3.15	0
U	3.25	0
U	3.35	0
U	3.45	0
V	-3.45	0
V	-3.35	0
V	-3.25	1.30204e-05
V	-3.15	0
V	-3.05	0.000186743
V	-2.95	0.00055495
V	-2.85	0.000626503
V	-2.75	0.000261111
V	-2.65	5.58352e-05
V	-2.55	4.37532e-05
V	-2.45	3.37826e-05
V	-2.35	1.48972e-05
V	-2.25	0.000108738
V	-2.15	0.00031812
V	-2.05	0.00114966
V	-1.95	0.00210567
V	-1.85	0.00569917
V	-1.75	0.00697986
V	-1.65	0.00844917
V	-1.55	0.00785305
V	-1.45	0.00959896
V	-1.35	0.014838
V	-1.25	0.0230222
V	-1.15	0.039538
V	-1.05	0.0640479
V	-0.95	0.0948325
V	-0.85	0.203567
V	-0.75	0.290766
V	-0.65	0.449555
V	-0.55	0.48377
V	-0.45	0.528245
V	-0.35	0.822576
V	-0.25	0.765509
V	-0.15	0.783512
V	-0.05	0.612943
V	0.05	0.599432
V	0.15	0.86911
V	0.25	0.748369
V	0.35	0.744657
V	0.45	0.515362
V	0.55	0.40499
V	0.65	0.382294
V	0.75	0.210315
V	0.85	0.132244
V	0.95	0.0582414
V	1.05	0.0277713
V	1.15	0.0232545
V	1.25	0.0154496
V	1.35	0.0100474
V	1.45	0.00712555
V	1.55	0.00401391
V	1.65	0.00619137
V	1.75	0.00493625
V	1.85	0.00325779
V	1.95	0.0010272
V	2.05	0.000566797
V	2.15	0.000690667
V	2.25	0.000907321
V	2.35	0.00103401
V	2.45	0.000247622
V	2.55	0.000854067
V	2.65	0.000742631
V	2.75	0.000387796
V	2.85	0.000200584
V	2.95	0.000530669
V	3.05	0
V	3.15	0.00132655
V	3.25	0.00167963
V	3.35	0.00129101
V	3.45	0.000676473
W	-3.45	0
W	-3.35	0
W	-3.25	0
W	-3.15	0
W	-3.05	0
W	-2.95	0
W	-2.85	0
W	-2.75	0
W	-2.65	0
W	-2.55	0
W	-2.45	0
W	-2.35	4.63416e-05
W	-2.25	6.80512e-05
W	-2.15	0.000313328
W	-2.05	0.0025705
W	-1.95	0.000263646
W	-1.85	0.00327418
W	-1.75	0.00364157
W	-1.65	0.00237647
W	-1.55	0.0112234
W	-1.45	0.00124402
W	-1.35	0.0199553
W	-1.25	0.0260639
W	-1.15	0.0301956
W	-1.05	0.129127
W	-0.95	0.010808
W	-0.85	0.188518
W	-0.75	0.31422
W	-0.65	0.18838
W	-0.55	0.795204
W	-0.45	0.116616
W	-0.35	0.652172
W	-0.25	1.0671
W	-0.15	0.389449
W	-0.05	1.46138
W	0.05	0.214374
W	0.15	0.789137
W	0.25	1.12038
W	0.35	0.303073
W	0.45	0.929237
W	0.55	0.103956
W	0.65	0.343846
W	0.75	0.361465
W	0.85	0.0858256
W	0.95	0.200019
W	1.05	0.01222
W	1.15	0.0533503
W	1.25	0.035478
W	1.35	0.00721029
W	1.45	0.0117118
W	1.55	0.000275336
W	1.65	0.00364752
W	1.75	0.00412566
W	1.85	0.00151706
W	1.95	0.00392672
W	2.05	0.000224089
W	2.15	0.00059597
W	2.25	0.000195908
W	2.35	0
W	2.45	0
W	2.55	0
W	2.65	0
W	2.75	0
W	2.85	0
W	2.95	0
W	3.05	0
W	3.15	0
W	3.25	0
W	3.35	0
W	3.45	0
