# per tier: ntracks, npoints, k_pop, then per-bin median(dqdx/(k_pop*ref)) +- err (3%% floor), chi2/nbins, per-track k median/rms, contrast median
tier	ntracks	npoints	k_pop	chi2	nbins	k_med	k_rms	contrast_med	has_left_frac	r_0_1	r_1_2	r_2_3	r_3_5	r_5_7	r_7_10	r_10_15	r_15_20	r_20_30	r_30_40	r_40_60	e_0_1	e_1_2	e_2_3	e_3_5	e_5_7	e_7_10	e_10_15	e_15_20	e_20_30	e_30_40	e_40_60
all_status0	44	5186	0.9972	50.71	11	1.0656	0.4622	2.044	0.409	0.9329	1.0526	1.1293	1.1065	1.1474	1.0972	1.1490	1.1272	1.1158	1.0682	1.0089	0.0962	0.1082	0.1055	0.0517	0.0488	0.0481	0.0446	0.0440	0.0405	0.0376	0.0326
contrast_ge2	16	1750	1.0975	56.72	11	1.0751	0.4322	2.171	0.375	1.0887	1.5014	1.1699	1.2213	1.2433	1.0584	1.2040	1.1398	1.1131	1.0273	0.9793	0.0943	0.1047	0.1033	0.0976	0.0960	0.0736	0.0718	0.0657	0.0524	0.0420	0.0362
doc55_cuts	10	926	1.3789	88.16	11	1.4747	0.4339	2.171	0.400	0.9794	1.2113	0.8840	1.3202	0.9695	0.9433	1.2656	1.2712	1.2472	1.1186	1.1376	0.1109	0.0907	0.1411	0.0737	0.0959	0.0859	0.0639	0.0684	0.0575	0.0677	0.0483
doc55_muon	5	483	1.0087	10.03	11	1.0441	0.0106	2.246	0.800	0.9048	0.9536	1.1044	1.0524	1.0449	1.0017	1.0106	1.0616	0.9842	0.9943	0.9781	0.0777	0.0395	0.0724	0.0576	0.0472	0.0360	0.0364	0.0376	0.0351	0.0357	0.0371
