spot	cl	arm	window_cm	in_stm_fit_layer	zip_eq_root	stm_nearest_cm	n_win	bee_skipped_q_lt0	longest_hole_rows	longest_hole_cm	wiggle_max_cm	folds	steps_2plus_degenerate	ridge_med	ridge_max	steiner_med	reg_any	lattice_lock	dqdx_med_ke	max_step_cm	pr_nearest_cm	pr_rows_win	pr_segments_win	pr_q_lt0_win	angle_to_drift_deg	stm_onq_pu	stm_onq1_pu	pr_onq_pu	stm_onq_pv	stm_onq1_pv	pr_onq_pv	stm_onq_pw	stm_onq1_pw	pr_onq_pw	frame_from
h1	108	029107_16_d101hnew	12.0	1	343 rows, max|dq| 0.005, max|dx| 0.00048	0.91	37	2	2	0.5	0.89	0	0.0	0.33	1.57	0.51	0.0	0.0	53.2	0.94	1.45	42	1	1	79.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	image
h1	108	029107_16_d109hstm	12.0	1	348 rows, max|dq| 0.005, max|dx| 0.00047	2.31	37	10	7	3.92	0.47	0	0.03	0.75	2.14	0.36	0.3	0.03	25.4	0.95	0.77	42	2	0	79.1	1.0	1.0	1.0	0.95	0.97	1.0	0.81	0.92	1.0	image
h2	106	029107_16_d101hnew	24.0	1	552 rows, max|dq| 0.005, max|dx| 0.0005	1.04	75	0	0	0.0	0.45	0	0.0	0.33	1.14	0.52	0.05	0.05	52.5	0.95	0.7	223	9	120	63.8	0.95	0.97	0.69	1.0	1.0	0.65	1.0	1.0	0.9	image
h2	106	029107_16_d109hstm	24.0	1	547 rows, max|dq| 0.00499, max|dx| 0.0005	0.87	74	5	5	2.73	1.7	0	0.0	0.4	2.62	0.25	0.26	0.01	48.5	0.95	0.79	212	8	99	63.8	0.81	0.86	0.56	0.96	1.0	0.58	1.0	1.0	0.9	image
