det	arm	plane	n	slope	intercept	rms_off	centroid_phase_peak	bias_b0	bias_b1	bias_b2	bias_b3	bias_b4	bias_b5	bias_b6	bias_b7	cph_b0	cph_b1	cph_b2	cph_b3	cph_b4	cph_b5	cph_b6	cph_b7	cph_b8	cph_b9
pdhd	S0splat	U	10391	-0.170601	0.0305983	0.0897677	1.75973	0.0896022	0.11625	0.0902378	0.041817	-0.0103875	-0.0487976	-0.0484034	0.0135051	0.0692897	0.0738129	0.0811268	0.100086	0.174674	0.177273	0.098354	0.0824742	0.0728506	0.0700595
pdhd	S0splat	V	10387	-0.16925	0.030256	0.0893871	1.75945	0.0885515	0.115934	0.0892719	0.041899	-0.01036	-0.0490549	-0.0490615	0.0137587	0.0693164	0.0742263	0.082025	0.0984878	0.175223	0.176667	0.0988728	0.082313	0.0724936	0.0703751
pdhd	S0splat	W	10429	-0.178735	-1.12191e-05	0.0838386	1.7749	0.0401338	0.0853431	0.0733243	0.0272157	-0.0272245	-0.0733332	-0.0861037	-0.0397655	0.0677908	0.0739273	0.0817902	0.100296	0.176627	0.178353	0.0978997	0.0824612	0.071051	0.0698043
pdhd	S1	U	9731	0.017903	0.0423959	0.234269	0.888014	0.0276111	0.0285725	0.0438365	0.0507093	0.0552019	0.0500412	0.0460041	0.0340551	0.108612	0.101445	0.0980955	0.090516	0.0889429	0.08866	0.0969869	0.100678	0.113578	0.112486
pdhd	S1	V	10082	0.0457225	0.053837	0.212949	0.848058	0.0348181	0.0308714	0.0382411	0.0604741	0.0683199	0.0736481	0.0612127	0.0576341	0.113463	0.11016	0.101239	0.0900222	0.083568	0.0860437	0.0915131	0.098834	0.110625	0.114531
pdhd	S1	W	10601	-0.145932	-0.00194462	0.0739546	1.66339	0.0441092	0.0737844	0.0563509	0.0102593	-0.0392022	-0.0699017	-0.0633938	-0.0171919	0.0726759	0.0731665	0.0877726	0.111868	0.208514	0.124163	0.0927204	0.0829477	0.0739821	0.0721896
pdhd	S3	U	10620	-0.0401621	0.0277253	0.0957541	0.907027	0.0252914	0.00681878	0.0295203	0.0632881	0.0803714	0.0581179	0.00825157	-0.0431806	0.0835843	0.100488	0.0917193	0.0854601	0.0881218	0.0932835	0.0984193	0.131588	0.141832	0.0855042
pdhd	S3	V	10620	-0.135248	-0.0387743	0.228024	0.761783	0.0399344	-0.0148724	-0.0221547	0.00826653	0.0304739	0.00868401	-0.0355124	-0.102189	0.0580486	0.126157	0.106195	0.0883798	0.0755505	0.0768061	0.0945613	0.121592	0.145601	0.107109
pdhd	S3	W	10620	-0.528349	-0.00824908	0.176829	3.59301	0.192439	0.261841	0.153065	0.0124989	-0.108678	-0.206656	-0.228419	-0.0694298	0.0269614	0.0269747	0.0320992	0.0442347	0.620775	0.0978277	0.0516869	0.0394525	0.0314812	0.0285064
pdvd	S0splat	U	6976	-0.396174	0.000259036	0.149394	2.73654	0.10508	0.187383	0.146804	0.0551047	-0.0548462	-0.146707	-0.186902	-0.104274	0.0445809	0.0475914	0.0559056	0.0782678	0.273941	0.273368	0.0771212	0.056479	0.0478777	0.0448675
pdvd	S0splat	V	6971	-0.39552	0.000152006	0.149496	2.72918	0.104098	0.187272	0.147315	0.0547502	-0.054685	-0.146741	-0.186823	-0.104358	0.0440392	0.0494904	0.0563759	0.0773195	0.271987	0.27385	0.078467	0.0559456	0.0476254	0.0449002
pdvd	S0splat	W	7660	-0.219994	-2.46838e-05	0.0955623	1.97327	0.0501533	0.104839	0.0890719	0.0330117	-0.0332352	-0.0885659	-0.105581	-0.050058	0.0633147	0.067754	0.0761083	0.095952	0.197262	0.197392	0.0964742	0.0766309	0.0664485	0.0626625
pdvd	S1	U	7152	-0.217328	0.00183177	0.0956265	1.81695	0.0432099	0.108779	0.113016	0.0461186	-0.0402947	-0.0998814	-0.102347	-0.0440556	0.0663496	0.0685239	0.0785524	0.0962514	0.17925	0.184139	0.109586	0.0814561	0.0711367	0.0647548
pdvd	S1	V	7059	-0.219838	0.00498402	0.0977187	1.82116	0.0543546	0.114626	0.110187	0.0435007	-0.0419623	-0.103095	-0.1022	-0.0347854	0.0663577	0.0702696	0.078961	0.103183	0.186304	0.177928	0.102828	0.0780999	0.0676119	0.0684562
pdvd	S1	W	7774	-0.158483	-0.000519848	0.0750018	1.66439	0.0207842	0.0747929	0.0747639	0.0335245	-0.0192632	-0.0641433	-0.0776981	-0.0452842	0.0676449	0.0732715	0.0785828	0.0953287	0.151321	0.181557	0.116154	0.0863085	0.0781277	0.0717038
pdvd	S3	U	7856	-0.585285	-0.0222096	0.224122	2.09656	0.203636	0.177329	0.113776	0.0234275	-0.0583962	-0.144083	-0.220015	-0.260367	0.0171684	0.0442709	0.0905779	0.15028	0.212001	0.207311	0.151048	0.0799395	0.0347416	0.0126615
pdvd	S3	V	7856	-0.587582	-0.0764656	0.264563	1.83706	0.160669	0.131209	0.0558382	-0.0316318	-0.118793	-0.201874	-0.270799	-0.299841	0.0410275	0.0690762	0.124688	0.169987	0.205648	0.161764	0.108937	0.0553011	0.0334	0.0301718
pdvd	S3	W	7855	-0.481295	0.00433122	0.165536	3.30141	0.0886138	0.251674	0.187913	0.0626072	-0.0600848	-0.157042	-0.212555	-0.145997	0.0301572	0.0313268	0.0310595	0.0434814	0.210957	0.449326	0.0821346	0.0485591	0.0392195	0.0337789
sbnd	S0splat	U	5778	-0.127821	-0.00999663	0.0711037	1.48929	0.0230079	0.0508108	0.0378928	0.00452217	-0.0332683	-0.0651959	-0.071983	-0.0360114	0.0441323	0.0868809	0.09813	0.108861	0.158707	0.139151	0.095881	0.082554	0.0868801	0.0988228
sbnd	S0splat	V	5777	-0.128998	-0.0134454	0.0714321	1.56398	0.00871747	0.0467698	0.040145	0.00870743	-0.0292966	-0.0631413	-0.076594	-0.049718	0.091396	0.0643935	0.0948583	0.101609	0.146445	0.166351	0.0979745	0.0818763	0.0825681	0.0725281
sbnd	S0splat	W	5827	-0.113759	0.00268439	0.0638927	1.5763	0.00517095	0.0587785	0.0469965	0.0210195	-0.00432415	-0.0507969	-0.0481265	-0.0294809	0.0624675	0.032263	0.148102	0.0547462	0.20079	0.114469	0.118586	0.0890669	0.046852	0.132657
sbnd	S1	U	5870	0.00228692	-0.0238226	0.0944455	0.994817	-0.0226901	-0.0245521	-0.0263546	-0.0271855	-0.0266306	-0.0232649	-0.0198367	-0.0205312	0.100864	0.10071	0.0974519	0.102571	0.098422	0.100541	0.0979884	0.103121	0.0960982	0.102231
sbnd	S1	V	5870	0.0541329	-0.0401904	0.138192	0.812417	-0.0384422	-0.0595695	-0.0717487	-0.0657169	-0.0425282	-0.0175662	-0.0101077	-0.0184082	0.119021	0.114384	0.101261	0.0903063	0.0796292	0.0828541	0.0848806	0.0981454	0.109422	0.120097
sbnd	S1	W	5870	-0.0526407	-0.00201966	0.0401166	1.22959	0.000388764	0.03607	0.0302791	0.0151718	0.000658094	-0.0364441	-0.0299519	-0.0180132	0.137915	0.0581299	0.0742929	0.147794	0.0459874	0.199931	0.0763784	0.131213	0.0752277	0.0531299
sbnd	S3	U	5866	-0.168473	0.0135212	0.0905028	1.2567	0.0898026	0.07116	0.0452306	0.0196237	-0.0104885	-0.0230314	-0.0278431	-0.0524032	0.0489266	0.0861225	0.112661	0.118518	0.129244	0.122095	0.11594	0.111959	0.106537	0.0479973
sbnd	S3	V	5866	-0.125582	-0.167797	0.193051	0.789071	-0.0502299	-0.100754	-0.179169	-0.253361	-0.227858	-0.164206	-0.162217	-0.200492	0.199906	0.180625	0.0845905	0.0695834	0.0726765	0.0851378	0.113767	0.0875664	0.023899	0.0822482
