det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdhd	028084_0	28	0	664	665	2	1.41	2.02	-243.7	133.9	153.8	0.29	1.09	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:t/3live:i/3live:t	0			
pdhd	028084_0	28	0	811	816	6	3.83	3.60	-172.7	85.9	128.5	1.37	1.51	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:t/3live:i/3live:t/3live:i/3live:t	0			
pdhd	028084_0	91	0	3803	3811	9	5.84	6.24	5.3	21.1	428.7	2.00	2.16	3	D-blank-int	1	0.67	0.00	0.67	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/3live:i	0	9.32		
pdhd	028084_0	91	0	3829	3834	6	3.39	3.79	14.1	29.7	424.9	1.36	1.38	3	D-blank-term	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/3live:i/1blank:i/1blank:i/1blank:t/1blank:i	0	4.43	4.43	1.000
pdhd	028084_0	91	0	3894	3900	7	3.66	3.69	39.4	54.8	412.8	1.66	1.74	3	GAP-short	0	0.86	0.00	0.86	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_0	107	0	4108	4109	2	1.08	0.67	16.6	429.0	422.9	0.73	1.44	2	D-crawl	1	1.00	0.00	1.00	0.00	0.50	0.00	0.00	0.50	1blank:i/3live:i/3live:t/3live:i	0	0.58	0.58	1.000
pdhd	028084_1	28	0	102	103	2	1.26	1.85	-347.8	595.3	272.1	1.05	0.52	3	D-3live	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.50	3live:t/3live:i	0	4.98	4.98	1.000
pdhd	028084_1	33	0	407	758	352	219.22	210.94	-56.9	486.4	317.7	63.90	0.78	3	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1dead:t/1dead:i/1dead:i/1dead:t	0			
pdhd	028084_1	33	0	767	813	47	29.42	28.35	-55.9	387.9	388.3	14.62	0.72	3	GAP-live	0	0.05	0.00	0.05	0.34	0.00	0.00	0.00	0.00	1dead:t/1dead:i/1dead:i/1dead:i/1dead:i/1dead:i	0			
pdhd	028084_1	33	0	822	843	22	13.78	13.32	-56.0	368.3	402.7	7.06	0.79	3	GAP-live	0	0.15	0.00	0.15	0.36	0.00	0.00	0.00	0.00	1dead:t/1dead:i/1dead:i/1dead:i	0			
pdhd	028084_1	33	0	849	912	64	40.88	39.96	-55.9	344.5	419.6	20.34	3.06	3	GAP-live	0	0.04	0.00	0.04	0.39	0.00	0.00	0.62	0.00	1dead:i/1dead:i/1dead:t/1dead:i	0			
pdhd	028084_1	33	0	916	962	47	29.87	28.69	-56.0	315.4	440.5	13.60	3.03	3	GAP-live	0	0.11	0.00	0.11	0.38	0.00	0.00	0.60	0.04	1dead:t/1dead:i/1dead:i	0			
pdhd	028084_1	33	0	966	968	3	1.57	2.25	-56.0	302.2	450.5	0.69	1.37	2	FIT	1	1.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1dead:i/1dead:i	0			
pdhd	028084_1	33	0	971	973	3	2.19	2.66	-56.1	299.9	452.0	0.73	1.24	2	FIT	1	1.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1dead:i/1dead:i	0			
pdhd	028084_1	33	0	988	995	8	4.48	4.98	-56.0	289.6	458.9	0.94	1.39	2	FIT	0	1.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	1dead:i/1dead:i/1dead:t/1dead:i	1			
pdhd	028084_1	38	0	1118	1119	2	0.98	1.53	-177.8	528.8	109.5	1.36	0.82	1	D-blank-int	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/1blank:i/1blank:i	0	2.62	2.62	1.000
pdhd	028084_1	39	0	1752	1754	3	1.80	1.38	-38.9	87.9	245.9	1.45	1.59	3	D-3live	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.33	3live:i/3live:i/3live:i	0	3.64		
pdhd	028084_1	39	0	1764	1769	6	3.35	3.74	-40.5	90.6	240.1	1.76	2.83	2	GAP-short	0	0.86	0.00	0.86	0.00	1.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/2blank+:i/1blank:i/3live:i	0			
pdhd	028084_1	39	0	1790	1809	20	19.93	19.99	-43.6	106.8	232.2	9.10	1.18	3	GAP-live	0	0.05	0.00	0.05	0.00	0.70	0.00	0.00	0.00	3live:t/1blank:i/1blank:i/3live:i	0			
pdhd	028084_1	39	0	1913	1960	48	29.04	28.53	-58.2	179.4	191.3	14.62	3.71	2	GAP-live	0	0.05	0.00	0.05	0.00	0.00	0.02	0.00	0.00	2blank+:i/1blank:t/1blank:i/1blank:i	0			
pdhd	028084_1	50	0	2318	2323	6	4.97	5.61	-35.0	597.6	124.7	1.91	3.49	1	GAP-short	0	0.73	0.00	0.73	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_1	50	0	2338	2342	5	3.12	2.95	-45.5	590.8	123.6	1.26	1.06	1	GAP-short	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_1	50	0	2348	2350	3	1.83	2.44	-48.9	587.6	123.8	2.32	1.30	2	GAP-live	0	0.40	0.00	0.40	0.00	0.00	0.00	0.00	0.00	1blank:i/3live:i	0			
pdhd	028084_1	50	0	2352	2369	18	11.79	12.23	-54.9	584.0	122.4	7.54	3.91	2	GAP-live	0	0.08	0.00	0.08	0.00	0.00	0.06	0.00	0.00	1blank:t/1blank:i/1blank:i/3live:i	0			
pdhd	028084_1	51	0	2420	2459	40	83.20	77.93	-84.8	13.4	450.5	16.99	1.49	3	GAP-live	0	0.01	0.01	0.03	0.00	0.00	0.00	0.00	0.03	3live:t/3live:i/3live:i/3live:t	0			
pdhd	028084_1	51	0	2468	2471	4	4.31	4.92	-36.8	11.4	453.0	1.79	1.95	3	GAP-live	0	0.20	0.20	0.40	0.00	0.00	0.00	0.00	0.00	1blank:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdhd	028084_1	51	1	2478	2480	3	4.18	4.78	-36.3	11.5	452.9	1.70	1.51	3	GAP-live	0	0.20	0.20	0.40	0.00	0.00	0.00	0.00	0.00	1blank:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdhd	028084_1	51	1	2489	2540	52	95.14	86.94	-87.8	13.5	450.3	16.97	1.92	3	GAP-live	0	0.02	0.01	0.02	0.00	0.00	0.00	0.00	0.02	3live:t/3live:i/3live:i/3live:t	0			
pdhd	028084_1	53	0	2649	2668	20	12.91	12.97	-91.2	63.3	266.1	7.01	3.95	2	GAP-live	0	0.08	0.00	0.08	0.10	0.00	0.35	0.20	0.30	3live:t/1blank:i/3live:i/3live:i/1blank:i/3live:t	0			
pdhd	028084_1	53	0	2680	2695	16	10.43	11.09	-91.4	76.0	258.2	6.16	3.38	2	GAP-live	0	0.14	0.00	0.14	0.00	0.00	0.12	0.50	0.00	3live:i/1blank:i/1blank:i/3live:t	0			
pdhd	028084_1	53	0	2706	2764	59	41.96	37.12	-92.3	67.4	237.7	19.18	3.20	3	GAP-live	0	0.03	0.00	0.03	0.00	0.00	0.03	0.00	0.00	3live:i/1blank:i/1blank:i/3live:i	0			
pdhd	028084_1	53	0	2768	2769	2	1.14	1.84	-94.4	54.6	222.1	0.87	1.48	1	D-blank-int	1	1.00	0.00	1.00	0.00	0.00	0.00	0.50	0.50	3live:t/3live:i/1blank:i	0	5.05		
pdhd	028084_1	53	0	2785	2786	2	1.29	1.81	-95.0	58.2	215.0	1.47	1.74	1	D-crawl	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	3live:i/3live:t	0	17.01		
pdhd	028084_1	53	0	2789	2791	3	2.02	2.52	-95.0	60.8	213.8	2.04	2.85	2	GAP-live	0	0.40	0.00	0.40	0.00	0.00	0.00	0.00	0.00	3live:i/3live:t	0			
pdhd	028084_1	128	0	5138	5139	2	1.09	1.80	25.8	260.1	187.4	1.06	1.22	1	GAP-short	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:t/3live:i	0			
pdhd	028084_1	156	0	5988	5991	4	2.94	3.55	0.4	162.7	127.8	1.54	1.50	3	GAP-short	0	0.86	0.00	0.86	0.00	0.00	0.25	0.00	0.00	3live:i/3live:i/1blank:i	0			
pdhd	028084_1	156	0	6029	6049	21	13.49	13.98	-22.7	181.4	127.4	7.21	3.39	1	GAP-live	0	0.14	0.00	0.14	0.00	0.00	0.10	0.00	0.00	3live:t/3live:i/1blank:i/3live:i	0			
pdhd	028084_1	156	0	6060	6071	12	7.87	8.64	-36.6	192.0	126.5	3.55	3.70	1	GAP-live	0	0.41	0.00	0.41	0.00	0.00	0.00	0.00	0.08	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/3live:i/3live:i	0			
pdhd	028084_1	156	0	6083	6130	48	29.76	30.01	-56.7	206.9	125.2	14.86	3.59	2	GAP-live	0	0.08	0.00	0.08	0.00	0.00	0.02	0.00	0.04	3live:t/3live:i/3live:i/3live:i	0			
pdhd	028084_1	156	0	6152	6163	12	8.15	8.60	-81.9	225.8	122.4	4.21	3.21	1	GAP-live	0	0.35	0.00	0.35	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_1	156	0	6183	6196	14	9.31	9.71	-98.3	238.5	120.1	4.52	3.64	1	GAP-live	0	0.26	0.00	0.26	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_1	156	0	6230	6240	11	7.08	7.62	-120.0	255.4	116.9	4.06	3.07	1	GAP-live	0	0.13	0.00	0.13	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_1	156	0	6249	6294	46	29.37	29.18	-137.5	268.4	114.1	14.57	3.06	2	GAP-live	0	0.07	0.00	0.07	0.00	0.00	0.02	0.46	0.02	3live:i/3live:t/1blank:i/1blank:i/1blank:t/3live:i	0			
pdhd	028084_1	156	0	6311	6316	6	3.83	4.37	-158.7	283.9	110.3	2.62	3.56	2	GAP-live	0	0.44	0.00	0.44	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:t/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_1	156	0	6354	6355	2	1.49	1.12	-178.8	298.7	107.0	0.97	1.30	2	D-blank-int	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i	0	2.42	5.02	2.096
pdhd	028084_1	156	0	6420	6425	6	3.63	4.14	-210.9	322.4	101.9	1.86	2.80	3	GAP-short	0	0.75	0.00	0.75	0.00	0.00	0.00	0.00	0.33	3live:i/3live:t/3live:i/3live:t	0			
pdhd	028084_1	156	0	6451	6454	4	2.48	2.90	-224.4	332.2	99.8	1.62	1.92	1	GAP-short	0	0.83	0.00	0.83	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_1	156	0	6481	6495	15	9.58	10.08	-242.2	345.1	97.0	4.77	4.06	3	GAP-live	0	0.30	0.00	0.30	0.00	0.00	0.00	0.00	0.00	3live:t/1blank:t/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/2blank+:i/2blank+:i/2blank+:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_1	156	0	6505	6508	4	2.53	3.05	-251.9	352.1	95.6	2.32	0.61	2	GAP-live	0	0.33	0.00	0.33	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_10	31	0	62	65	4	2.23	2.22	-104.4	196.2	28.0	1.49	2.17	3	D-crawl	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1blank:i/3live:t/3live:t/3live:i	0	3.92		
pdhd	028084_10	31	0	132	134	3	1.95	2.42	-110.6	163.1	46.3	0.61	1.31	3	XID	1	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i	0			
pdhd	028084_10	31	0	142	156	15	10.01	10.14	-112.1	155.2	51.3	0.80	1.95	3	XID	1	0.45	1.00	1.00	0.00	0.00	0.00	0.00	0.13	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	31	0	226	228	3	1.83	2.56	-120.7	114.9	72.1	1.27	1.96	1	D-3live	1	1.00	0.00	1.00	0.00	0.00	0.00	0.33	0.00	3live:i/3live:i/3live:i/3live:t	0	7.38	7.51	1.008
pdhd	028084_10	35	0	1226	1239	14	8.29	7.84	-60.3	598.8	123.9	2.87	3.61	3	GAP-short	0	0.56	0.00	0.56	0.00	0.00	0.00	0.00	0.43	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:t/3live:i	0			
pdhd	028084_10	41	0	2678	2681	4	6.68	7.03	-299.5	129.9	233.0	2.73	3.35	3	GAP-short	0	0.57	0.00	0.57	0.00	1.00	0.00	0.00	0.00	1blank:t/1blank:i	0			
pdhd	028084_10	46	0	3013	3018	6	2.91	3.33	-264.3	467.4	291.4	2.17	3.46	3	FIT	0	0.71	0.00	0.71	0.00	0.00	0.00	1.00	1.00	3live:i/3live:e	1			
pdhd	028084_10	52	0	4429	4445	17	10.75	10.88	-52.0	593.0	407.3	3.41	1.62	3	GAP-short	0	0.55	0.00	0.55	0.00	0.00	0.00	0.00	0.06	1blank:t/3live:i/1blank:i/1blank:i/1blank:i/1blank:t/1blank:t/1blank:i/1blank:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4467	4469	3	2.57	2.34	-46.0	578.8	398.2	1.46	1.79	2	D-blank-term	1	1.00	0.00	1.00	0.00	0.00	0.00	0.33	0.67	3live:i/3live:t/1blank:t/3live:i	0	3.26	3.26	1.000
pdhd	028084_10	52	0	4476	4477	2	1.09	1.47	-44.2	577.2	395.4	1.26	0.33	3	GAP-short	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:t/3live:i	0			
pdhd	028084_10	52	0	4488	4497	10	6.31	5.92	-41.2	569.8	391.2	1.37	1.74	3	FIT	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.80	3live:i/3live:i/3live:t/3live:i/3live:t/3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4510	4527	18	11.72	11.68	-35.3	560.5	382.2	5.27	2.21	3	GAP-live	0	0.26	0.00	0.26	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:t	0			
pdhd	028084_10	52	0	4535	4541	7	3.72	4.22	-30.7	552.6	375.0	1.88	2.58	3	GAP-short	0	0.75	0.00	0.75	0.00	0.00	0.00	0.00	0.43	3live:i/3live:t/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4565	4569	5	2.84	2.84	-24.9	540.8	366.7	0.58	2.80	3	D-3live	1	0.50	1.00	1.00	0.00	0.20	0.00	0.00	0.20	3live:t/3live:i/3live:i/3live:i/3live:i	0	3.77		
pdhd	028084_10	52	0	4571	4574	4	2.68	2.61	-24.1	539.2	364.6	0.91	1.79	3	XID	1	0.40	1.00	1.00	0.00	1.00	0.00	0.00	0.00	3live:i/3live:i	0			
pdhd	028084_10	52	0	4577	4581	5	2.96	3.08	-23.1	536.1	363.4	0.65	1.49	3	D-crawl	1	1.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00	3live:i/3live:i/1blank:t/3live:i	0	5.51		
pdhd	028084_10	52	0	4588	4598	11	6.08	3.71	-20.4	533.8	359.9	3.09	3.01	3	GAP-short	0	0.57	0.00	0.57	0.00	1.00	0.00	0.00	0.00	3live:i/3live:i/1blank:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4601	4607	7	5.22	4.24	-19.3	535.8	355.7	2.54	3.57	2	GAP-short	0	0.62	0.00	0.62	0.00	1.00	0.00	0.00	0.00	1blank:i/3live:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_10	52	0	4620	4629	10	6.98	6.03	-18.6	546.3	355.2	0.82	2.84	2	XID	1	0.42	1.00	1.00	0.00	0.50	0.00	0.00	0.40	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4633	4644	12	7.27	7.10	-15.0	550.7	349.7	0.76	3.25	3	XID	1	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i/1blank:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4652	4653	2	1.47	1.95	-11.1	555.2	343.5	0.41	4.02	3	XID	1	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4664	4670	7	4.00	4.67	-6.9	560.2	336.0	0.74	2.35	3	D-3live	1	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.29	3live:i/3live:i/3live:i/3live:i/3live:i/3live:t/3live:i	0	6.54		
pdhd	028084_10	52	0	4679	4681	3	1.34	1.85	-3.5	564.1	331.0	0.49	2.18	3	FIT	0	1.00	1.00	1.00	0.00	0.33	0.00	1.00	1.00	3live:i/3live:t	1			
pdhd	028084_11	34	0	407	412	6	3.64	3.92	-191.3	254.9	4.2	0.72	2.88	2	XID	1	0.38	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/1blank:i/3live:i/3live:i	0			
pdhd	028084_11	34	0	415	417	3	1.86	2.36	-190.7	258.1	5.8	0.63	2.09	2	D-3live	1	0.80	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i	0	3.84		
pdhd	028084_11	34	0	430	431	2	1.42	1.91	-189.8	264.5	6.9	0.59	1.37	2	D-3live	1	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.50	3live:t/3live:i/3live:i	0	3.37		
