plane	n	rms_off_wire	med_abs_off	frac_centre	peakedness	n_ph0	q_ph0	n_ph1	q_ph1	n_ph2	q_ph2	n_ph3	q_ph3	n_ph4	q_ph4	n_ph5	q_ph5	n_ph6	q_ph6	n_ph7	q_ph7	n_ph8	q_ph8	n_ph9	q_ph9
U	410	0.243869	0.103046	0.519512	0.97561	0.0780488	0.0790621	0.102439	0.085858	0.12439	0.124046	0.119512	0.111123	0.0878049	0.102052	0.107317	0.0972771	0.1	0.109318	0.0780488	0.0805219	0.1	0.110182	0.102439	0.10056
V	397	0.300456	0.135765	0.513854	1.18388	0.0881612	0.0911633	0.0982368	0.0978522	0.0856423	0.0764227	0.0957179	0.0906813	0.115869	0.121956	0.120907	0.123775	0.0957179	0.100344	0.0957179	0.119276	0.108312	0.0870798	0.0957179	0.0914502
W	237	0.256512	0.0578378	0.729958	1.98312	0.0295359	0.0188437	0.0590717	0.0459799	0.0801688	0.0752542	0.156118	0.143855	0.181435	0.181278	0.21519	0.231802	0.0970464	0.0918442	0.0590717	0.0482815	0.0421941	0.0516641	0.0801688	0.111198
