label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	6.56236	3.61692	1.51393	0.115329	2.29198	0.3492	0.385697	4	8.8	0.48359	6.56236e-07	1.51393
all	share	U	7.43622	1.83378	1.29501	0.0655468	1.67705	0.169767	0.463823	4	8.8	0.48359	7.43622e-07	1.29501
all	rms	V	4.73689	1.95661	1.32225	0.0881147	1.74833	0.233018	2.30701	4	8.8	0.80599	4.73689e-07	1.32225
all	share	V	6.35779	1.63468	1.24975	0.0894001	1.56188	0.223456	1.5835	4	8.8	0.80599	6.35779e-07	1.24975
all	rms	W	3.50878	3.39087	0.894913	0.226699	0.80087	0.405753	1.53937	4	8.8	0.09403	3.50878e-07	0.894913
all	share	W	7.82721	1.58671	0.437357	0.172879	0.191281	0.15122	2.21782	4	8.8	0.09403	7.82721e-07	0.437357
all	rms	U(joint)	4.81397	1.53461	1.5587	0.0755998	2.42954	0.235674	4.61546	14	8.8	0.48359	4.81397e-07	1.5587
all	rms	V(joint)	4.81397	1.53461	1.31942	0.0761977	1.74086	0.201073	4.61546	14	8.8	0.80599	4.81397e-07	1.31942
all	rms	W(joint)	4.81397	1.53461	0.804348	0.120414	0.646976	0.19371	4.61546	14	8.8	0.09403	4.81397e-07	0.804348
all	share	U(joint)	7.20392	0.96728	1.30035	0.0546197	1.69091	0.14205	4.70342	14	8.8	0.48359	7.20392e-07	1.30035
all	share	V(joint)	7.20392	0.96728	1.20804	0.0646951	1.45935	0.156308	4.70342	14	8.8	0.80599	7.20392e-07	1.20804
all	share	W(joint)	7.20392	0.96728	0.49246	0.11204	0.242517	0.110351	4.70342	14	8.8	0.09403	7.20392e-07	0.49246
