label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
phase:full	rms	U	5	1055.12	58	3.10167e+06	2.17735	1.8142	1.44598	3.52553	1.46242	3.54037	0.739886	0	0.530994
phase:full	share	U	0	77.0933	88	3.0729e+06	1.88689	1.0294	0.607901	1.66511	0.410367	2.87024	0.293043	0	0.65157
phase:full	share	U	1	246.145	106	3.07056e+06	1.99562	1.31841	0.816747	2.3387	0.487747	2.91135	0.642654	0	0.577294
phase:full	share	U	2	450.686	58	3.07451e+06	2.26776	1.3575	1.01344	2.58355	1.11088	4.32698	0.306772	0	0.579296
phase:full	share	U	3	614.169	54	3.04025e+06	1.89144	1.4704	1.14665	2.32467	0.185935	2.73027	0.352757	0	0.595305
phase:full	share	U	4	818.324	46	3.11736e+06	2.08147	1.49641	1.29387	3.15442	0.157721	3.76738	1.45519e-11	0	0.549873
phase:full	share	U	5	1055.12	58	3.10167e+06	2.17735	1.8142	1.44598	3.02484	0.676947	3.54037	0.739886	0	0.530994
phase:full	rms	V	0	64.7396	74	2.82914e+06	1.73999	1.26409	0.87382	2.15689	0.771715	2.19322	0.358829	0	0.645438
phase:full	rms	V	1	205.628	101	2.89135e+06	1.95827	1.34503	1.00575	3.01167	0.921891	3.03724	0.27048	0	0.604072
phase:full	rms	V	2	335.83	77	2.75829e+06	1.64399	1.36315	1.11386	1.9528	0.196282	2.08522	1.45519e-11	0	0.620401
phase:full	rms	V	3	634.313	51	2.97117e+06	1.92883	1.69422	1.32891	2.60035	0.257977	2.61604	0.657063	0	0.555823
phase:full	rms	V	4	960.853	62	2.87271e+06	2.05465	1.74525	1.52994	3.47157	0.485147	3.51641	1.45519e-11	0	0.55441
phase:full	rms	V	5	1184.39	32	2.87914e+06	2.16757	1.82099	1.65353	3.94834	0.63884	4.11648	1.45519e-11	0	0.514159
phase:full	share	V	0	64.7396	74	2.82914e+06	1.73999	1.26409	0.87382	1.69667	11.108	2.19322	0.358829	0	0.645438
phase:full	share	V	1	205.628	101	2.89135e+06	1.95827	1.34503	1.00575	2.2489	0.590601	3.03724	0.27048	0	0.604072
phase:full	share	V	2	335.83	77	2.75829e+06	1.64399	1.36315	1.11386	2.11204	0.209613	2.08522	1.45519e-11	0	0.620401
phase:full	share	V	3	634.313	51	2.97117e+06	1.92883	1.69422	1.32891	2.67226	0.161961	2.61604	0.657063	0	0.555823
phase:full	share	V	4	960.853	62	2.87271e+06	2.05465	1.74525	1.52994	3.07563	0.424353	3.51641	1.45519e-11	0	0.55441
phase:full	share	V	5	1184.39	32	2.87914e+06	2.16757	1.82099	1.65353	3.84716	0.71783	4.11648	1.45519e-11	0	0.514159
phase:full	rms	W	0	133.08	46	1.16852e+06	1.58259	1.05871	0.493014	1.45545	0.775983	1.62677	0.584854	0	0.750306
phase:full	rms	W	1	317.632	52	1.21662e+06	2.62105	1.18098	0.753574	5.98377	4.22139	6.04307	0.381072	0	0.703225
phase:full	rms	W	2	393.236	21	1.20095e+06	1.42643	1.0902	0.837219	1.28632	1.24073	1.5471	1.45519e-11	0	0.74612
phase:full	rms	W	3	555.758	36	1.21296e+06	1.85243	1.24644	0.993467	2.6815	1.79001	2.86486	1.45519e-11	0	0.673456
phase:full	rms	W	4	658.486	37	1.18086e+06	1.43189	1.41208	1.08064	1.20409	0.0602045	1.22411	0.318315	0	0.719263
phase:full	rms	W	5	945.611	45	1.23587e+06	1.85794	1.71178	1.29349	2.17861	0.963728	2.19488	0.787558	0	0.663113
phase:full	share	W	0	133.08	46	1.16852e+06	1.58259	1.05871	0.493014	0.569675	0.236819	1.62677	0.584854	0	0.750306
phase:full	share	W	1	317.632	52	1.21662e+06	2.62105	1.18098	0.753574	1.11423	0.284311	6.04307	0.381072	0	0.703225
phase:full	share	W	2	393.236	21	1.20095e+06	1.42643	1.0902	0.837219	0.912348	1.33675	1.5471	1.45519e-11	0	0.74612
phase:full	share	W	3	555.758	36	1.21296e+06	1.85243	1.24644	0.993467	1.52661	1.08461	2.86486	1.45519e-11	0	0.673456
