sel	plane	n	q_tot	tail_t2p	frac_zero_t2p	frac_over10pct_t2p	top1_t2p	top5_t2p	top10_t2p	tail_t3	frac_zero_t3	frac_over10pct_t3	top1_t3	top5_t3	top10_t3	top1_q	top5_q	top10_q	r1_t2p	r5_t2p	r1_t3	r5_t3	dec0_q	dec0_t2p	dec1_q	dec1_t2p	dec2_q	dec2_t2p	dec3_q	dec3_t2p	dec4_q	dec4_t2p	dec5_q	dec5_t2p	dec6_q	dec6_t2p	dec7_q	dec7_t2p	dec8_q	dec8_t2p	dec9_q	dec9_t2p	slope_t2p	dec_lo_t2p	dec_mid_t2p	dec_hi_t2p	tail_from_hidec_t2p	tail_from_lodec_t2p	dec0_t3	dec1_t3	dec2_t3	dec3_t3	dec4_t3	dec5_t3	dec6_t3	dec7_t3	dec8_t3	dec9_t3	slope_t3	dec_lo_t3	dec_mid_t3	dec_hi_t3	tail_from_hidec_t3	tail_from_lodec_t3
S0v3_splat	U	10391	1.70953e+08	0.000240871	0.689828	0	0.217848	0.683254	0.910573	0	1	0	nan	nan	nan	0.01001	0.0500498	0.100003	21.763	13.6515	nan	nan	16449.3	0.000639797	16450.4	0.000551621	16451.1	0.000345175	16451.6	0.00027587	16452	0.000274962	16452.4	0.000126533	16452.8	9.71424e-05	16453.2	5.76252e-05	16453.6	2.81193e-05	16454.1	1.16589e-05	-13611.2	0.000639797	0.000200747	1.16589e-05	0.00484045	0.265801	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S0v3_splat	V	10387	1.70887e+08	0.000241021	0.689227	0	0.214615	0.68259	0.909637	0	1	0	nan	nan	nan	0.0100139	0.0499728	0.100041	21.4318	13.6592	nan	nan	16449.3	0.000696167	16450.4	0.00046671	16451.1	0.00036603	16451.6	0.000289752	16452	0.000241888	16452.4	0.000162106	16452.8	8.78857e-05	16453.2	5.32218e-05	16453.6	4.07429e-05	16454.1	5.29539e-06	-14557.5	0.000696167	0.000201997	5.29539e-06	0.00219586	0.288871	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S0v3_splat	W	10429	1.71578e+08	0.000205939	0.662288	0	0.227076	0.685111	0.903947	0	1	0	nan	nan	nan	0.00997355	0.0499633	0.100022	22.7679	13.7123	nan	nan	16449.3	0.000586248	16450.4	0.000405339	16451.1	0.000339647	16451.6	0.000233499	16452	0.000208668	16452.4	0.000127871	16452.8	7.68255e-05	16453.2	5.90426e-05	16453.6	1.7015e-05	16454.1	5.20555e-06	-15028.2	0.000586248	0.000168269	5.20555e-06	0.00252584	0.284646	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S1_gauss	U	9731	1.22542e+08	0.0326373	0.381975	0.0452163	0.0601674	0.230074	0.397321	0.00030702	0.986024	0.000205529	0.98477	1	1	0.016225	0.0767668	0.148716	3.70831	2.99705	60.6945	13.0265	2906.5	0.011063	6682	0.0162535	9447	0.0165225	11554	0.01689	13307	0.0221262	14552	0.0266641	15468	0.0315265	16316	0.0381336	17246	0.0448678	18529	0.0564367	0.783749	0.011063	0.0243951	0.0564367	0.257162	0.00749827	0.000446742	0.000115767	0.000170474	0.000278124	0.000123761	0.000119159	0.000337876	0.000410232	0.000338094	0.000572265	0.0684562	0.000446742	0.00012146	0.000572265	0.277197	0.0321878
S1_gauss	V	10082	1.388e+08	0.0365678	0.30371	0.0532632	0.0511933	0.203878	0.354665	0.000239172	0.98542	0.000495933	0.976956	1	1	0.0155127	0.0729072	0.141094	3.30008	2.7964	62.9776	13.7161	4090	0.0130634	8313	0.0131231	11461.5	0.016268	13558	0.0230181	14698	0.0286918	15517	0.0335505	16246.5	0.0380862	17016	0.0405937	17846.5	0.0501585	19228.5	0.0635256	1.00842	0.0130634	0.0311212	0.0635256	0.245108	0.00981916	0.000774555	0.000326735	0.000234669	0.00033526	0.000190745	0.000105785	0.000257735	0.000197482	6.2687e-05	0.000359738	-0.992479	0.000774555	0.000148265	0.000359738	0.212218	0.0890141
S1_gauss	W	10601	1.7884e+08	0.00318858	0.540892	0	0.104357	0.361083	0.56877	0	1	0	nan	nan	nan	0.0112212	0.0546066	0.107648	9.29995	6.61244	nan	nan	15817	0.00119314	16208.5	0.00193834	16426	0.00210344	16602	0.00268064	16760.5	0.0027892	16916	0.00303471	17075.5	0.00364348	17282	0.00439598	17548.5	0.00491591	18078.5	0.00474285	10.9255	0.00119314	0.00291196	0.00474285	0.16012	0.0348797	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S1n05_gauss	U	10616	1.79245e+08	0.0548889	0.0100791	0.0564243	0.0255114	0.108233	0.197789	0.000702043	0.874058	0	0.337958	0.820984	0.983455	0.0116695	0.0563885	0.110812	2.18615	1.91941	28.9607	14.5594	14991	0.0416624	15870	0.0446386	16279	0.0496063	16572	0.0514223	16832.5	0.0536296	17067	0.0573326	17321	0.0581793	17594	0.0594812	17970	0.0626001	18580	0.0657484	2.30962	0.0416624	0.0554811	0.0657484	0.132614	0.0658796	0.000516921	0.000637558	0.00056258	0.000551877	0.000548665	0.000680356	0.000855223	0.000589756	0.000948751	0.00104105	3.11426	0.000516921	0.000614511	0.00104105	0.164171	0.0639076
S1n05_gauss	V	10616	1.78787e+08	0.0533026	0.0122457	0.0503956	0.0270593	0.112202	0.203813	0.000843708	0.862943	0	0.31044	0.801523	0.972893	0.0115915	0.0562311	0.11064	2.3344	1.99538	26.7816	14.2541	15077	0.036359	15788	0.0424137	16177	0.0444665	16484	0.0484004	16753	0.0502143	17017	0.0552444	17288	0.0566598	17564	0.0589155	17917	0.062176	18505	0.0720908	3.27661	0.036359	0.0527294	0.0720908	0.149502	0.0599989	0.000439466	0.000629651	0.000565307	0.000714632	0.000608332	0.000793137	0.000693603	0.000790565	0.0011323	0.0018729	5.81631	0.000439466	0.000700735	0.0018729	0.245379	0.0458155
S1n05_gauss	W	10616	1.78648e+08	0.00162171	0.563301	0	0.109055	0.373771	0.582966	0	1	0	nan	nan	nan	0.0110543	0.0541662	0.106636	9.86544	6.90044	nan	nan	16060	0.000312275	16380	0.000742866	16518	0.00111902	16629	0.00107901	16725.5	0.00143979	16823	0.0016946	16935	0.00221277	17079	0.00276428	17295	0.0032125	17855	0.00147698	16.7245	0.000312275	0.0015672	0.00147698	0.0970298	0.0182524	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S1n2_gauss	U	1268	4.40554e+06	0.0144069	0.927445	0.035489	0.560816	0.978494	1	0.00142321	0.986593	0.00630915	0.986284	1	1	0.0336397	0.131594	0.236478	16.6713	7.43569	29.319	7.59912	336	0.00469742	857	0.00612721	1376	0.00408254	2089	0.019185	2886	0.0160995	3517	0.0135587	4197	0.0158982	5141	0.0115819	6132.5	0.00752383	7645	0.0220847	0.422898	0.00469742	0.0148291	0.0220847	0.360139	0.00308807	0.00103056	0.000337278	0.000924995	0.00114227	0.00143842	0.00292773	0.00530749	0.000319925	0	0.000803852	0.187287	0.00103056	0.00218308	0.000803852	0.132695	0.00685805
