label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	rms	U	0	177.073	222	733682	2.13003	1.31046	0.538943	2.60776	0.196905	3.11018	0.164446	0	0.682301	3.20661
all	rms	U	1	487.868	194	732182	2.7155	1.60614	0.894578	5.47694	0.868042	5.59452	0.164448	0	0.6404	3.70599
all	rms	U	2	748.637	191	734702	2.29419	1.76414	1.10816	3.34535	0.699599	3.3791	0.164447	0	0.686348	3.63774
all	rms	U	3	1125.53	213	731618	2.67662	1.94308	1.35877	5.2662	0.917286	5.23497	0.164446	0	0.657124	4.42939
all	rms	U	4	1565.26	213	736280	2.8238	2.1207	1.60236	6.07922	1.37252	6.04403	0.164448	0	0.631128	4.25997
all	rms	U	5	1998.99	235	737073	2.71119	2.27991	1.81081	5.45347	0.572983	5.4316	0.164447	0	0.594198	4.28576
all	share	U	0	177.073	222	733682	2.13003	1.31046	0.538943	3.29737	0.305067	3.11018	0.164446	0	0.682301	3.20661
all	share	U	1	487.868	194	732182	2.7155	1.60614	0.894578	4.35057	0.631292	5.59452	0.164448	0	0.6404	3.70599
all	share	U	2	748.637	191	734702	2.29419	1.76414	1.10816	3.20537	0.305055	3.3791	0.164447	0	0.686348	3.63774
all	share	U	3	1125.53	213	731618	2.67662	1.94308	1.35877	3.90705	0.880754	5.23497	0.164446	0	0.657124	4.42939
all	share	U	4	1565.26	213	736280	2.8238	2.1207	1.60236	4.61103	0.642844	6.04403	0.164448	0	0.631128	4.25997
all	share	U	5	1998.99	235	737073	2.71119	2.27991	1.81081	5.76624	0.392713	5.4316	0.164447	0	0.594198	4.28576
all	truth	U	0	177.073	222	733682	2.13003	1.31046	0.538943	8.39124	1.10785	3.11018	0.164446	0	0.682301	3.20661
all	truth	U	1	487.868	194	732182	2.7155	1.60614	0.894578	11.8439	2.03843	5.59452	0.164448	0	0.6404	3.70599
all	truth	U	2	748.637	191	734702	2.29419	1.76414	1.10816	11.3427	2.96516	3.3791	0.164447	0	0.686348	3.63774
all	truth	U	3	1125.53	213	731618	2.67662	1.94308	1.35877	17.7291	1.92222	5.23497	0.164446	0	0.657124	4.42939
all	truth	U	4	1565.26	213	736280	2.8238	2.1207	1.60236	16.2569	3.10413	6.04403	0.164448	0	0.631128	4.25997
all	truth	U	5	1998.99	235	737073	2.71119	2.27991	1.81081	16.4774	1.63941	5.4316	0.164447	0	0.594198	4.28576
all	rms	V	0	201.153	135	710565	2.59329	1.34236	0.57442	4.82422	1.6177	5.25318	0.164447	0	0.676474	3.77824
all	rms	V	1	342.554	160	718432	2.61794	1.49168	0.749603	4.9536	1.09209	5.19042	0.164448	0	0.64404	3.63951
all	rms	V	2	569.72	172	713492	2.18123	1.66063	0.966713	2.83172	0.386656	2.93461	0.164448	0	0.675087	3.18331
all	rms	V	3	908.947	159	712976	2.33479	1.84491	1.22106	3.53619	0.857534	3.53854	0.164448	0	0.688406	3.16329
all	rms	V	4	1401.51	223	717346	2.77696	2.057	1.51623	5.81599	0.978791	5.7792	0.164447	0	0.629053	4.1023
all	rms	V	5	1941.42	211	716878	2.52806	2.25944	1.78454	4.48736	0.613754	4.47063	0.164446	0	0.636647	3.82145
all	share	V	0	201.153	135	710565	2.59329	1.34236	0.57442	3.43267	0.390425	5.25318	0.164447	0	0.676474	3.77824
all	share	V	1	342.554	160	718432	2.61794	1.49168	0.749603	4.25121	0.804383	5.19042	0.164448	0	0.64404	3.63951
all	share	V	2	569.72	172	713492	2.18123	1.66063	0.966713	3.46538	0.347804	2.93461	0.164448	0	0.675087	3.18331
all	share	V	3	908.947	159	712976	2.33479	1.84491	1.22106	3.15916	0.848059	3.53854	0.164448	0	0.688406	3.16329
all	share	V	4	1401.51	223	717346	2.77696	2.057	1.51623	4.67082	0.541932	5.7792	0.164447	0	0.629053	4.1023
all	share	V	5	1941.42	211	716878	2.52806	2.25944	1.78454	4.45469	0.449193	4.47063	0.164446	0	0.636647	3.82145
all	truth	V	0	201.153	135	710565	2.59329	1.34236	0.57442	12.3846	4.16089	5.25318	0.164447	0	0.676474	3.77824
all	truth	V	1	342.554	160	718432	2.61794	1.49168	0.749603	11.3556	2.55595	5.19042	0.164448	0	0.64404	3.63951
all	truth	V	2	569.72	172	713492	2.18123	1.66063	0.966713	8.24228	1.50197	2.93461	0.164448	0	0.675087	3.18331
all	truth	V	3	908.947	159	712976	2.33479	1.84491	1.22106	8.11516	1.89108	3.53854	0.164448	0	0.688406	3.16329
all	truth	V	4	1401.51	223	717346	2.77696	2.057	1.51623	14.9384	1.99752	5.7792	0.164447	0	0.629053	4.1023
all	truth	V	5	1941.42	211	716878	2.52806	2.25944	1.78454	12.713	3.03117	4.47063	0.164446	0	0.636647	3.82145
all	rms	W	0	254.552	1731	2.98627e+07	1.66162	1.44415	0.646183	0.848736	0.0424368	1.09295	0.197344	0	0.853288	1.79899
all	rms	W	1	607.108	1750	2.98802e+07	1.84798	1.71849	0.99793	1.38727	0.0693634	1.45765	0.197344	0	0.811372	1.90369
all	rms	W	2	958.892	1760	2.98796e+07	1.99671	1.90205	1.25416	1.92566	0.0962828	1.94197	0.197344	0	0.778548	2.02304
all	rms	W	3	1312.13	1771	2.98863e+07	2.13492	2.05355	1.46708	2.49323	0.124662	2.49313	0.197344	0	0.745003	2.14865
all	rms	W	4	1666.85	1775	2.98735e+07	2.25011	2.19011	1.65354	3.00407	0.150203	3.00058	0.197344	0	0.716053	2.26018
all	rms	W	5	2022.17	1779	2.98925e+07	2.36473	2.31764	1.82128	3.54074	0.177037	3.53753	0.197344	0	0.689578	2.37381
all	share	W	0	254.552	1731	2.98627e+07	1.66162	1.44415	0.646183	0.582272	0.0291136	1.09295	0.197344	0	0.853288	1.79899
all	share	W	1	607.108	1750	2.98802e+07	1.84798	1.71849	0.99793	1.0665	0.0533248	1.45765	0.197344	0	0.811372	1.90369
all	share	W	2	958.892	1760	2.98796e+07	1.99671	1.90205	1.25416	1.54144	0.0770718	1.94197	0.197344	0	0.778548	2.02304
all	share	W	3	1312.13	1771	2.98863e+07	2.13492	2.05355	1.46708	2.11506	0.105753	2.49313	0.197344	0	0.745003	2.14865
all	share	W	4	1666.85	1775	2.98735e+07	2.25011	2.19011	1.65354	2.68469	0.134234	3.00058	0.197344	0	0.716053	2.26018
all	share	W	5	2022.17	1779	2.98925e+07	2.36473	2.31764	1.82128	3.27105	0.163553	3.53753	0.197344	0	0.689578	2.37381
all	truth	W	0	254.552	1731	2.98627e+07	1.66162	1.44415	0.646183	1.11237	0.0556186	1.09295	0.197344	0	0.853288	1.79899
all	truth	W	1	607.108	1750	2.98802e+07	1.84798	1.71849	0.99793	1.51408	0.0757039	1.45765	0.197344	0	0.811372	1.90369
