plane	u_centre	S
U	-3.45	0.0254354
U	-3.35	0.0240561
U	-3.25	0.0273946
U	-3.15	0.0380631
U	-3.05	0.0318793
U	-2.95	0.0245784
U	-2.85	0.0214734
U	-2.75	0.0216127
U	-2.65	0.0250587
U	-2.55	0.0202989
U	-2.45	0.0154037
U	-2.35	0.0108599
U	-2.25	0.0102249
U	-2.15	0.0067624
U	-2.05	0.000823743
U	-1.95	0.0050757
U	-1.85	0.0100317
U	-1.75	0.0179142
U	-1.65	0.0347784
U	-1.55	0.0426445
U	-1.45	0.0442431
U	-1.35	0.0438242
U	-1.25	0.0598619
U	-1.15	0.115161
U	-1.05	0.14441
U	-0.95	0.161063
U	-0.85	0.175787
U	-0.75	0.23601
U	-0.65	0.397759
U	-0.55	0.435684
U	-0.45	0.432275
U	-0.35	0.418669
U	-0.25	0.516774
U	-0.15	0.817015
U	-0.05	0.786606
U	0.05	0.620231
U	0.15	0.492541
U	0.25	0.505333
U	0.35	0.610358
U	0.45	0.477607
U	0.55	0.352625
U	0.65	0.263393
U	0.75	0.250819
U	0.85	0.244635
U	0.95	0.135378
U	1.05	0.0812873
U	1.15	0.0600692
U	1.25	0.0623699
U	1.35	0.0740033
U	1.45	0.0560428
U	1.55	0.038973
U	1.65	0.025809
U	1.75	0.0228428
U	1.85	0.0170208
U	1.95	0.00568287
U	2.05	0.00758726
U	2.15	0.00996333
U	2.25	0.0147288
U	2.35	0.0245095
U	2.45	0.0267437
U	2.55	0.0260239
U	2.65	0.0251627
U	2.75	0.030011
U	2.85	0.0456863
U	2.95	0.0435631
U	3.05	0.0345584
U	3.15	0.0295213
U	3.25	0.0287723
U	3.35	0.0325568
U	3.45	0.0240784
V	-3.45	0.03816
V	-3.35	0.0562156
V	-3.25	0.0618572
V	-3.15	0.0577033
V	-3.05	0.0565539
V	-2.95	0.0354019
V	-2.85	0.0459383
V	-2.75	0.0413926
V	-2.65	0.0323451
V	-2.55	0.0267238
V	-2.45	0.0123553
V	-2.35	0.0151344
V	-2.25	0.00843911
V	-2.15	0.00443864
V	-2.05	0.00456439
V	-1.95	0.000809663
V	-1.85	0.00578095
V	-1.75	0.0116716
V	-1.65	0.0137098
V	-1.55	0.011595
V	-1.45	0.00666437
V	-1.35	0.016028
V	-1.25	0.0331451
V	-1.15	0.0715245
V	-1.05	0.141286
V	-0.95	0.152881
V	-0.85	0.262079
V	-0.75	0.381379
V	-0.65	0.4178
V	-0.55	0.485301
V	-0.45	0.401647
V	-0.35	0.56082
V	-0.25	0.682161
V	-0.15	0.685082
V	-0.05	0.715044
V	0.05	0.51742
V	0.15	0.638257
V	0.25	0.679543
V	0.35	0.573292
V	0.45	0.512642
V	0.55	0.333069
V	0.65	0.365441
V	0.75	0.312618
V	0.85	0.193813
V	0.95	0.0973796
V	1.05	0.025972
V	1.15	0.0191765
V	1.25	0.0224193
V	1.35	0.017548
V	1.45	0.00926751
V	1.55	0.00237191
V	1.65	0.00391456
V	1.75	0.00405821
V	1.85	0.00312393
V	1.95	0.00284183
V	2.05	0.0026185
V	2.15	0.00741026
V	2.25	0.0137355
V	2.35	0.0134819
V	2.45	0.0121279
V	2.55	0.00687988
V	2.65	0.00747996
V	2.75	0.00701316
V	2.85	0.00647683
V	2.95	0.0050847
V	3.05	0.00235166
V	3.15	0.00577822
V	3.25	0.00835424
V	3.35	0.00782122
V	3.45	0.00558428
W	-3.45	0
W	-3.35	1.39075e-05
W	-3.25	1.65414e-05
W	-3.15	4.10902e-06
W	-3.05	2.52863e-06
W	-2.95	0
W	-2.85	0
W	-2.75	1.49611e-05
W	-2.65	1.80165e-05
W	-2.55	8.59734e-05
W	-2.45	1.39075e-05
W	-2.35	1.612e-05
W	-2.25	1.53825e-05
W	-2.15	0
W	-2.05	0
W	-1.95	0
W	-1.85	0
W	-1.75	0
W	-1.65	0.000508149
W	-1.55	0.00931631
W	-1.45	0.000784402
W	-1.35	0.00632758
W	-1.25	0.00492514
W	-1.15	0
W	-1.05	0.000517421
W	-0.95	0.0015806
W	-0.85	0.0579817
W	-0.75	0.113213
W	-0.65	0.172606
W	-0.55	0.774878
W	-0.45	0.0751176
W	-0.35	0.926259
W	-0.25	0.976431
W	-0.15	0.598201
W	-0.05	1.8795
W	0.05	0.125299
W	0.15	1.24155
W	0.25	1.09386
W	0.35	0.411325
W	0.45	0.903159
W	0.55	0.0355818
W	0.65	0.223773
W	0.75	0.154402
W	0.85	0.0443766
W	0.95	0.107901
W	1.05	0.00431584
W	1.15	0.022187
W	1.25	0.0118435
W	1.35	0
W	1.45	1.50664e-05
W	1.55	0
W	1.65	0.000607398
W	1.75	0.00273924
W	1.85	0.0014154
W	1.95	0.00589413
W	2.05	2.76042e-05
W	2.15	0.000157829
W	2.25	0.000108415
W	2.35	0.000128433
W	2.45	0.000903353
W	2.55	0.000328616
W	2.65	0.00144806
W	2.75	0.00367515
W	2.85	0.00158261
W	2.95	0.00176087
W	3.05	7.94411e-05
W	3.15	0.000299326
W	3.25	0.000137389
W	3.35	0.000327984
W	3.45	0.000444617
