plane	rms_sr_pitch	rms_sr_mm	rms_boxcar	sig_diff_pitch	rms_boxcar_diff	excess_over_boxcar_diff_pitch	excess_mm	t_mean_us	n_prof
U	0.35027	2.67957	0.288675	0.182668	0.341615	0.0773834	0.591983	1233.82	6976
V	0.350756	2.68328	0.288675	0.182694	0.341629	0.0794951	0.608137	1234.16	6971
W	0.391843	1.9984	0.288675	0.265784	0.392396	0	0	1160.91	7660
