label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	6.57064	2.42051	2.46562	0.0899847	6.07926	0.443736	2.58982	4	7.9135	0.259	6.57064e-07	2.46562
all	share	U	7.81154	1.4547	2.11343	0.0650957	4.46657	0.27515	3.44077	4	7.9135	0.259	7.81154e-07	2.11343
all	rms	V	1.59773	1.80483	2.54055	0.0791908	6.45437	0.402376	3.91627	4	7.9135	0.4316	1.59773e-07	2.54055
all	share	V	2.76888	1.31634	2.28624	0.0626137	5.22691	0.2863	2.84107	4	7.9135	0.4316	2.76888e-07	2.28624
all	rms	W	4.79689	0.997015	1.62117	0.0686039	2.6282	0.222437	1.16104	4	7.9135	0.0575	4.79689e-07	1.62117
all	share	W	5.14035	0.532536	1.06436	0.0483339	1.13286	0.102889	0.667787	4	7.9135	0.0575	5.14035e-07	1.06436
all	rms	U(joint)	4.33899	0.820977	2.53667	0.0503939	6.43471	0.255666	11.035	14	7.9135	0.259	4.33899e-07	2.53667
all	rms	V(joint)	4.33899	0.820977	2.43458	0.0529045	5.92719	0.2576	11.035	14	7.9135	0.4316	4.33899e-07	2.43458
all	rms	W(joint)	4.33899	0.820977	1.64833	0.0587009	2.71698	0.193517	11.035	14	7.9135	0.0575	4.33899e-07	1.64833
all	share	U(joint)	5.11711	0.467482	2.2132	0.0371226	4.89825	0.16432	13.5646	14	7.9135	0.259	5.11711e-07	2.2132
all	share	V(joint)	5.11711	0.467482	2.18768	0.0386349	4.78596	0.169042	13.5646	14	7.9135	0.4316	5.11711e-07	2.18768
all	share	W(joint)	5.11711	0.467482	1.06612	0.0442116	1.13662	0.0942701	13.5646	14	7.9135	0.0575	5.11711e-07	1.06612
