label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share
all	rms	U	0	187.284	12413	3.7371e+08	3.75989	1.05736	0.602905	8.12078	0.800701	13.3823	0.434755	0	0.742967
all	rms	U	1	486.241	11716	3.73835e+08	3.92595	1.73251	0.914688	9.68809	0.985347	13.2481	0.367693	0	0.721076
all	rms	U	2	759.022	11896	3.73776e+08	3.67195	2.15465	1.12623	7.79937	0.584374	10.1091	0.35	0	0.7342
all	rms	U	3	1033.86	11638	3.73722e+08	3.89415	2.35911	1.30513	9.7228	1.00485	11.3024	0.283746	0	0.72085
all	rms	U	4	1349.12	11972	3.73826e+08	3.94626	2.55593	1.48402	10.2824	1.01715	11.2425	0.23235	0	0.708493
all	rms	U	5	1830.89	12605	3.73795e+08	4.02997	2.8228	1.72187	10.7627	1.42585	11.2373	0.301911	0	0.701154
all	share	U	0	187.284	12413	3.7371e+08	3.75989	1.05736	0.602905	4.93567	0.336836	13.3823	0.434755	0	0.742967
all	share	U	1	486.241	11716	3.73835e+08	3.92595	1.73251	0.914688	6.26898	0.460399	13.2481	0.367693	0	0.721076
all	share	U	2	759.022	11896	3.73776e+08	3.67195	2.15465	1.12623	5.64322	0.367446	10.1091	0.35	0	0.7342
all	share	U	3	1033.86	11638	3.73722e+08	3.89415	2.35911	1.30513	6.47609	0.407243	11.3024	0.283746	0	0.72085
all	share	U	4	1349.12	11972	3.73826e+08	3.94626	2.55593	1.48402	7.24249	0.477224	11.2425	0.23235	0	0.708493
all	share	U	5	1830.89	12605	3.73795e+08	4.02997	2.8228	1.72187	7.50696	0.560329	11.2373	0.301911	0	0.701154
all	rms	V	0	194.424	11243	3.60389e+08	3.83677	1.2411	0.702846	8.92794	0.82983	13.6745	0.382499	0	0.729254
all	rms	V	1	503.433	11083	3.6037e+08	3.85705	1.89563	0.991494	9.28825	0.761984	12.2665	0.3285	0	0.72065
all	rms	V	2	782.937	10997	3.60253e+08	3.72681	2.36577	1.19391	7.9496	1.12528	9.7177	0.418797	0	0.724986
all	rms	V	3	1068.67	10929	3.60531e+08	3.72775	2.57708	1.37028	7.9681	0.780232	9.13248	0.416352	0	0.724265
all	rms	V	4	1379.44	11371	3.60406e+08	3.96799	2.75531	1.53932	9.77556	1.02755	10.5227	0.425796	0	0.708913
all	rms	V	5	1875.99	11740	3.60409e+08	3.80325	2.88163	1.77635	8.87787	0.708521	9.3163	0.327265	0	0.713409
all	share	V	0	194.424	11243	3.60389e+08	3.83677	1.2411	0.702846	5.78526	0.39186	13.6745	0.382499	0	0.729254
all	share	V	1	503.433	11083	3.6037e+08	3.85705	1.89563	0.991494	6.39466	0.411023	12.2665	0.3285	0	0.72065
all	share	V	2	782.937	10997	3.60253e+08	3.72681	2.36577	1.19391	5.885	0.469976	9.7177	0.418797	0	0.724986
all	share	V	3	1068.67	10929	3.60531e+08	3.72775	2.57708	1.37028	5.92996	0.38608	9.13248	0.416352	0	0.724265
all	share	V	4	1379.44	11371	3.60406e+08	3.96799	2.75531	1.53932	6.71695	0.48669	10.5227	0.425796	0	0.708913
all	share	V	5	1875.99	11740	3.60409e+08	3.80325	2.88163	1.77635	6.78244	0.414383	9.3163	0.327265	0	0.713409
