sel	plane	n	q_tot	tail_t2p	frac_zero_t2p	frac_over10pct_t2p	top1_t2p	top5_t2p	top10_t2p	tail_t3	frac_zero_t3	frac_over10pct_t3	top1_t3	top5_t3	top10_t3	top1_q	top5_q	top10_q	r1_t2p	r5_t2p	r1_t3	r5_t3	dec0_q	dec0_t2p	dec1_q	dec1_t2p	dec2_q	dec2_t2p	dec3_q	dec3_t2p	dec4_q	dec4_t2p	dec5_q	dec5_t2p	dec6_q	dec6_t2p	dec7_q	dec7_t2p	dec8_q	dec8_t2p	dec9_q	dec9_t2p	slope_t2p	dec_lo_t2p	dec_mid_t2p	dec_hi_t2p	tail_from_hidec_t2p	tail_from_lodec_t2p	dec0_t3	dec1_t3	dec2_t3	dec3_t3	dec4_t3	dec5_t3	dec6_t3	dec7_t3	dec8_t3	dec9_t3	slope_t3	dec_lo_t3	dec_mid_t3	dec_hi_t3	tail_from_hidec_t3	tail_from_lodec_t3
S0v3_splat	U	6976	1.14187e+08	0	1	0	nan	nan	nan	0	1	0	nan	nan	nan	0.010036	0.0500358	0.10007	nan	nan	nan	nan	16365.9	0	16367	0	16367.6	0	16368.1	0	16368.5	0	16368.9	0	16369.2	0	16369.6	0	16370	0	16370.6	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S0v3_splat	V	6971	1.14105e+08	0	1	0	nan	nan	nan	0	1	0	nan	nan	nan	0.0100432	0.0500717	0.0999986	nan	nan	nan	nan	16365.9	0	16367	0	16367.6	0	16368.1	0	16368.5	0	16368.9	0	16369.2	0	16369.6	0	16370	0	16370.6	0	nan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S0v3_splat	W	7660	1.25384e+08	3.54677e-05	0.813969	0	0.389611	0.892178	0.989821	0	1	0	nan	nan	nan	0.0100538	0.0500069	0.100013	38.7526	17.8411	nan	nan	16366	0.000105335	16367.1	6.80111e-05	16367.8	5.68026e-05	16368.2	4.4446e-05	16368.6	3.72348e-05	16369	2.11423e-05	16369.4	1.06609e-05	16369.7	5.73184e-06	16370.1	3.23729e-06	16370.7	2.10219e-06	-14727.5	0.000105335	2.91885e-05	2.10219e-06	0.00592782	0.296937	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S1_gauss	U	7152	1.29925e+08	0.00390291	0.692254	0.000139821	0.162189	0.508864	0.748581	7.95458e-05	0.995805	0	1	1	1	0.0122938	0.0573817	0.111702	13.1928	8.86805	81.342	17.4271	16458.5	0.00252739	17058	0.00343637	17434	0.00350536	17702	0.00329473	17980	0.00368778	18243	0.00402106	18523	0.00339111	18817	0.00415136	19232	0.00464135	20060	0.00589881	3.56192	0.00252739	0.00385442	0.00589881	0.168825	0.0584023	1.25452e-05	4.80869e-05	0	4.58808e-05	1.6022e-05	2.79842e-05	2.89212e-05	9.15987e-05	3.63394e-06	0.000467376	8.23042	1.25452e-05	2.20031e-05	0.000467376	0.656313	0.0142235
S1_gauss	V	7059	1.26751e+08	0.00375908	0.692166	0	0.159851	0.50756	0.753681	2.66664e-05	0.999433	0	1	1	1	0.0117976	0.0563555	0.110703	13.5495	9.0064	84.7629	17.7445	16220	0.0024122	16932	0.00301649	17315	0.00273376	17614	0.00332703	17860	0.00387896	18118	0.00376296	18387	0.00390035	18691	0.00416462	19057	0.00466726	19744	0.00523872	4.00535	0.0024122	0.00382096	0.00523872	0.154065	0.0561339	0	0	0	0	0	0	0	0	0	0.000241215	nan	0	0	0.000241215	1	0
S1_gauss	W	7774	1.30325e+08	0.00470423	0.450862	0	0.0842582	0.309566	0.501626	0	1	0	nan	nan	nan	0.0108251	0.0530355	0.104979	7.78363	5.83697	nan	nan	15993	0.00358831	16283	0.00390119	16450	0.00367959	16583	0.00402069	16702	0.00430519	16819	0.00461636	16940	0.0043796	17084	0.00525875	17244	0.00546823	17552	0.00755029	7.50607	0.00358831	0.00446077	0.00755029	0.168492	0.0725664	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S1n05_gauss	U	7568	1.42319e+08	0.0154841	0.597516	0.0453224	0.117006	0.442317	0.720028	0.00483413	0.901031	0.0137421	0.285221	0.901267	1	0.012674	0.0600157	0.116637	9.23204	7.37002	22.5045	15.0172	17125	0.00220291	17556	0.00251906	17831	0.00302043	18077	0.00295915	18312	0.00447241	18591	0.0051413	18942	0.00993245	19458	0.0180807	20266	0.0318105	21733	0.0621057	15.915	0.00220291	0.00480686	0.0621057	0.467237	0.0129234	0.000106823	0.000185159	0.000281267	0.000281743	0.000482808	0.000639795	0.0016867	0.00535957	0.0102848	0.0241266	25.0985	0.000106823	0.000561302	0.0241266	0.58139	0.00200731
S1n05_gauss	V	7489	1.38263e+08	0.00708321	0.640272	0.00827881	0.197713	0.564859	0.76495	0.00155415	0.952731	0.00146882	0.580414	1	1	0.0120178	0.0573914	0.112329	16.4516	9.84222	48.2961	17.4242	17073	0.0022557	17476	0.00244414	17748	0.00317849	17968	0.00298212	18188	0.00293578	18419	0.00397334	18691	0.00571784	19091	0.0080132	19637	0.0106494	20547.5	0.025185	13.4468	0.0022557	0.00345456	0.025185	0.39888	0.0287366	0.000148681	0.000117512	0.000238358	0.000302196	0.000299185	0.000490136	0.000551222	0.0015633	0.0026517	0.00801479	23.576	0.000148681	0.000394661	0.00801479	0.578534	0.00863269
S1n05_gauss	W	7761	1.29691e+08	0.00218751	0.510888	0	0.0921184	0.336817	0.541142	0	1	0	nan	nan	nan	0.0105937	0.051967	0.103236	8.69558	6.48136	nan	nan	16224	0.00206805	16406	0.00228086	16513.5	0.00219842	16598	0.00223511	16672	0.00193339	16742	0.00212384	16821	0.0018962	16905	0.00227479	17007	0.00230364	17207.5	0.00254609	2.09958	0.00206805	0.00202862	0.00254609	0.120159	0.0916814	0	0	0	0	0	0	0	0	0	0	nan	0	0	0	0	0
S1n2_gauss	U	6962	1.28675e+08	0.00849409	0.663172	0.00689457	0.150046	0.474089	0.713114	0.000124943	0.997271	0.000287274	1	1	1	0.012752	0.060226	0.117279	11.7665	7.87183	78.4192	16.6041	15650	0.00502165	16650	0.00610289	17289	0.00710409	17788	0.00694431	18228	0.00865297	18656	0.00743495	19128.5	0.00920927	19658	0.00862714	20314.5	0.0102069	21472	0.0136052	2.8321	0.00502165	0.00804396	0.0136052	0.187849	0.0493946	2.99511e-05	0	1.68702e-05	9.76e-05	5.58815e-05	0	8.18117e-05	0.000227634	0.000389003	0.000260092	9.2892	2.99511e-05	2.79408e-05	0.000260092	0.244138	0.0200286
