# doc pdvd/116 movers pdvd: A0=d115voff A1=d115vp3bwp05; truth sources [('pdvd_stm_michel_own103v2_verdicts.json', 24), ('pdvd_stm_michel_own103v_verdicts.json', 40), ('pdvd_stm_michel_p99rwon_carried_corrected_verdicts.json', 610), ('pdvd_stm_michel_smx11_verdicts.json', 204)]
population 550 (Michel population 550); candidates A0 563, A1 543, common 478, A0-only 85, A1-only 65; unlabelled candidates 25

== is_stm
      039349_38/68     truth STM_MICHEL/attached [new_agent]  A0 (1, 1)  A1 None
      039349_38/72     truth STM_MICHEL/both [record]  A0 (1, 1)  A1 None
      039349_41/58     truth STM_MICHEL/attached [record]  A0 (1, 1)  A1 (0, 0)
      039349_44/38     truth STM_MICHEL/attached [new_agent]  A0 (1, 1)  A1 (0, 0)
      039349_45/49     truth STM_MICHEL/both [new_agent]  A0 (1, 1)  A1 None
      039349_50/49     truth STM_MICHEL/attached [record]  A0 (1, 1)  A1 (1, 0)
      039349_52/33     truth STM_MICHEL/both [owner_review]  A0 (0, 1)  A1 (1, 0)
      039349_54/33     truth STM_MICHEL/attached [owner_review]  A0 (1, 1)  A1 (1, 0)
      039349_63/66     truth STM_MICHEL/attached [record]  A0 (1, 1)  A1 None
      039349_64/55     truth STM_MICHEL/attached [owner_review]  A0 (1, 1)  A1 (1, 0)
      039349_65/41     truth STM_MICHEL/both [new_agent]  A0 (1, 1)  A1 None
      039349_67/78     truth STM_MICHEL/both [record]  A0 (1, 1)  A1 (0, 0)
      039349_7/4       truth STM_MICHEL/attached [owner_review]  A0 (0, 1)  A1 (0, 0)
      039349_73/57     truth STM_MICHEL/both [record]  A0 (1, 1)  A1 None
  tp_new    25  candidate in: {'both': 15, 'A0 only': 0, 'A1 only': 10}  truth source: {'record': 18, 'owner_review': 5, 'new_agent': 2}
      039252_1/114     truth STM_MICHEL/both [record]  A0 (0, 0)  A1 (1, 1)
      039252_15/83     truth STM_MICHEL/attached [owner_review]  A0 None  A1 (1, 1)
      039252_16/44     truth STM_MICHEL/attached [owner_review]  A0 None  A1 (1, 1)
      039252_2/36      truth STM_MICHEL/both [record]  A0 (0, 0)  A1 (1, 1)
