metric	class	key	verdict	michel_kind	source	A0_is_stm	A0_michel	A1_is_stm	A1_michel
is_stm	tp_new	039252_1/114	STM_MICHEL	both	record	0	0	1	1
is_stm	tp_lost	039252_11/31	STM_MICHEL	attached	new_agent	1	0	-	-
is_stm	tp_lost	039252_13/70	STM_ONLY	detached dots	owner_review	1	0	-	-
is_stm	tp_new	039252_15/83	STM_MICHEL	attached	owner_review	-	-	1	1
is_stm	tp_new	039252_16/44	STM_MICHEL	attached	owner_review	-	-	1	1
is_stm	tp_lost	039252_17/40	STM_ONLY	detached dots	new_agent	1	0	-	-
is_stm	tp_lost	039252_17/94	STM_MICHEL	attached	record	1	1	-	-
is_stm	tp_new	039252_2/36	STM_MICHEL	both	record	0	0	1	1
is_stm	tp_lost	039252_6/40	STM_MICHEL	attached	record	1	1	0	0
is_stm	tp_lost	039252_7/91	STM_MICHEL	attached	record	1	0	0	1
is_stm	fp_new	039252_8/102	THRU	None	record	-	-	1	0
is_stm	tp_lost	039252_8/118	STM_ONLY	none	record	1	0	-	-
is_stm	tp_new	039252_8/43	STM_ONLY	none	new_agent	-	-	1	0
is_stm	tp_new	039252_8/96	STM_MICHEL	attached	record	0	0	1	1
is_stm	tp_new	039252_9/48	STM_ONLY	None	record	-	-	1	0
is_stm	tp_new	039252_9/95	STM_MICHEL	attached	record	0	1	1	1
is_stm	tp_new	039253_0/90	STM_ONLY	detached dots	new_agent	0	0	1	0
is_stm	tp_new	039253_10/93	STM_MICHEL	both	record	-	-	1	1
is_stm	tp_new	039253_12/77	STM_MICHEL	attached	new_agent	-	-	1	1
is_stm	tp_lost	039253_13/101	STM_ONLY	detached dots	record	1	0	0	0
is_stm	tp_new	039253_13/39	STM_MICHEL	attached	record	-	-	1	1
is_stm	tp_new	039253_13/75	STM_MICHEL	both	record	0	0	1	1
is_stm	tp_lost	039253_14/130	STM_MICHEL	attached	new_agent	1	1	0	0
is_stm	tp_new	039253_16/104	STM_MICHEL	attached	record	0	0	1	1
is_stm	tp_new	039253_17/107	STM_MICHEL	attached	record	0	0	1	1
is_stm	tp_new	039253_17/76	STM_MICHEL	attached	record	0	1	1	1
is_stm	tp_lost	039253_17/88	STM_MICHEL	both	record	1	1	0	1
is_stm	tp_new	039253_3/31	STM_MICHEL	both	record	-	-	1	1
is_stm	tp_new	039253_4/96	STM_ONLY	None	record	0	0	1	0
is_stm	tp_new	039253_5/113	STM_ONLY	None	record	0	0	1	0
is_stm	tp_new	039253_6/99	STM_MICHEL	attached	record	-	-	1	1
is_stm	tp_new	039253_7/89	STM_MICHEL	attached	record	0	0	1	1
is_stm	tp_lost	039253_8/27	STM_ONLY	detached dots	record	1	0	0	0
is_stm	tp_new	039253_8/65	STM_MICHEL	both	record	-	-	1	1
is_stm	fp_gone	039253_8/83	THRU	None	owner_review	1	0	0	0
is_stm	tp_new	039253_9/101	STM_ONLY	None	record	-	-	1	0
is_stm	tp_lost	039253_9/102	STM_ONLY	detached dots	record	1	0	0	1
is_stm	tp_new	039253_9/35	STM_MICHEL	attached	record	-	-	1	0
is_stm	tp_new	039253_9/72	STM_ONLY	none	record	-	-	1	0
is_stm	tp_new	039349_0/28	STM_MICHEL	attached	record	-	-	1	0
is_stm	tp_lost	039349_16/42	STM_MICHEL	attached	new_agent	1	1	-	-
is_stm	tp_lost	039349_18/10	STM_ONLY	None	record	1	0	-	-
is_stm	tp_new	039349_18/47	STM_MICHEL	attached	record	0	0	1	0
is_stm	tp_lost	039349_20/34	STM_MICHEL	attached	new_agent	1	1	-	-
is_stm	tp_lost	039349_20/78	STM_ONLY	none	record	1	0	0	0
is_stm	fp_gone	039349_20/81	THRU	none	record	1	0	0	0
is_stm	tp_new	039349_21/27	STM_MICHEL	attached	record	-	-	1	1
is_stm	fp_new	039349_24/24	THRU	None	record	-	-	1	0
is_stm	tp_lost	039349_24/88	STM_MICHEL	both	new_agent	1	1	0	0
is_stm	tp_new	039349_26/18	STM_ONLY	none	record	-	-	1	0
is_stm	tp_lost	039349_26/41	STM_MICHEL	attached	record	1	1	0	1
is_stm	tp_lost	039349_28/19	STM_ONLY	detached dots	owner_review	1	0	-	-
is_stm	tp_new	039349_3/50	STM_MICHEL	attached	record	0	0	1	0
is_stm	tp_new	039349_3/74	STM_MICHEL	both	smx116	-	-	1	1
is_stm	tp_lost	039349_30/54	STM_MICHEL	both	new_agent	1	1	0	1
is_stm	tp_lost	039349_33/54	STM_ONLY	None	owner_review	1	0	0	0
is_stm	tp_lost	039349_37/38	STM_MICHEL	both	record	1	1	0	1
is_stm	tp_lost	039349_38/35	STM_ONLY	detached dots	record	1	1	0	1
is_stm	tp_lost	039349_38/68	STM_MICHEL	attached	new_agent	1	1	-	-
is_stm	tp_new	039349_4/39	STM_MICHEL	both	record	-	-	1	1
is_stm	tp_lost	039349_41/58	STM_MICHEL	attached	record	1	1	0	0
