label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	share	W	1	605.206	1755	2.98116e+07	1.75331	1.71735	0.996366	0.910206	0.0455103	1.11756	0.197342	0	0.823677	1.80467
all	share	W	2	957.355	1764	2.98023e+07	1.92014	1.90133	1.25315	1.42136	0.0710681	1.64224	0.197342	0	0.786318	1.93825
all	share	W	3	1311.17	1773	2.9826e+07	2.06387	2.05317	1.46655	1.96543	0.0982716	2.19484	0.197342	0	0.753261	2.07094
all	share	W	4	1666.2	1777	2.98054e+07	2.18864	2.18987	1.65322	2.52778	0.126389	2.72772	0.197342	0	0.723673	2.19202
all	share	W	5	2022.06	1782	2.98279e+07	2.31451	2.3176	1.82122	3.10284	0.155142	3.30255	0.197342	0	0.696875	2.3175
all	truth	W	0	253.012	1741	2.98133e+07	1.54373	1.44252	0.644225	0.696836	0.0348418	0.717267	0.197342	0	0.865989	1.68316
all	truth	W	1	605.206	1755	2.98116e+07	1.75331	1.71735	0.996366	1.13358	0.056679	1.11756	0.197342	0	0.823677	1.80467
all	truth	W	2	957.355	1764	2.98023e+07	1.92014	1.90133	1.25315	1.65178	0.082589	1.64224	0.197342	0	0.786318	1.93825
all	truth	W	3	1311.17	1773	2.9826e+07	2.06387	2.05317	1.46655	2.20242	0.110121	2.19484	0.197342	0	0.753261	2.07094
all	truth	W	4	1666.2	1777	2.98054e+07	2.18864	2.18987	1.65322	2.73399	0.1367	2.72772	0.197342	0	0.723673	2.19202
all	truth	W	5	2022.06	1782	2.98279e+07	2.31451	2.3176	1.82122	3.31317	0.165658	3.30255	0.197342	0	0.696875	2.3175
