# doc pdvd/115 base-graph replay: det=pdvd arm=d115vbd events=10 levels=0:tree,0.25:tree,0.5:tree,1:tree,2:tree,0.5:tree+path,1:tree+path,2:tree+path
# CHECK alpha=0: clusters 200 (tree edge set exact on 1); dumped tree edges 921455, replayed 928295, common 881426 (95.66 % of dumped, 94.95 % of replayed); walks 207 (skipped 0), walk cost equal 12, differs 195, within 0.5 % 200 (96.6 %)

| level | walks | unreach | seed m | S1 > 1 cm off | rel | far > 5 cm | wig | cov | tree v / e / sbt | interiors nz0 / nz1 / nz2+ (off share) | GAP stretches changed | spots |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| 0:tree | 207 | 0 | 504.2 | 12.84 % | +0.0 % | 5.68 % | 8.99 % | 32.34 % | 629328 / 928295 / 730670 | 300507 (22 %) / 142531 (45 %) / 93049 (85 %) | - | v1 1.03, v2 0.98, v3 1.64 |
| 0.25:tree | 207 | 0 | 503.9 | 12.46 % | -3.0 % | 5.68 % | 8.80 % | 32.24 % | 619752 / 916852 / 730298 | 318560 (22 %) / 133275 (47 %) / 74676 (87 %) | 4 / 361 (1.1 %) | v1 1.03, v2 0.98, v3 1.92 |
| 0.5:tree | 207 | 0 | 504.5 | 12.43 % | -3.2 % | 5.67 % | 9.09 % | 32.23 % | 613840 / 909439 / 725574 | 324290 (22 %) / 127569 (47 %) / 68740 (87 %) | 5 / 361 (1.4 %) | v1 1.03, v2 0.98, v3 1.33 |
| 1:tree | 207 | 0 | 505.1 | 12.34 % | -3.9 % | 5.68 % | 8.92 % | 32.32 % | 607904 / 900958 / 719313 | 328800 (22 %) / 122184 (48 %) / 63679 (88 %) | 6 / 361 (1.7 %) | v1 1.03, v2 1.81, v3 1.33 |
| 2:tree | 207 | 0 | 505.9 | 12.20 % | -5.0 % | 5.64 % | 9.44 % | 32.44 % | 601768 / 890418 / 710883 | 330357 (23 %) / 117628 (49 %) / 60542 (88 %) | 6 / 361 (1.7 %) | v1 1.03, v2 1.13, v3 1.53 |
| 0.5:tree+path | 207 | 0 | 509.6 | 11.57 % | -9.9 % | 5.64 % | 10.05 % | 32.58 % | 613840 / 909439 / 725574 | 324290 (22 %) / 127569 (47 %) / 68740 (87 %) | 16 / 361 (4.4 %) | v1 1.03, v2 1.13, v3 1.33 |
| 1:tree+path | 207 | 0 | 514.5 | 11.43 % | -11.0 % | 5.60 % | 10.82 % | 32.74 % | 607904 / 900958 / 719313 | 328800 (22 %) / 122184 (48 %) / 63679 (88 %) | 14 / 361 (3.9 %) | v1 1.03, v2 1.13, v3 1.33 |
| 2:tree+path | 207 | 0 | 520.5 | 11.54 % | -10.1 % | 5.56 % | 11.60 % | 32.95 % | 601768 / 890418 / 710883 | 330357 (23 %) / 117628 (49 %) / 60542 (88 %) | 34 / 361 (9.4 %) | v1 1.03, v2 1.13, v3 1.15 |
