det	arm	tag	n_tracks	q_per_tick	q_ratio	dtick	vratio	DT_share	DTerr_share	DT_model	chi2_share	ndf_share	cU_share	cUerr_share	cU_share_pitch	cV_share	cVerr_share	cV_share_pitch	cW_share	cWerr_share	cW_share_pitch	DT_rms	DTerr_rms	chi2_rms	ndf_rms	cU_rms	cUerr_rms	cU_rms_pitch	cV_rms	cVerr_rms	cV_rms_pitch	cW_rms	cWerr_rms	cW_rms_pitch	DT_truth	DTerr_truth	chi2_truth	ndf_truth	cU_truth	cUerr_truth	cU_truth_pitch	cV_truth	cVerr_truth	cV_truth_pitch	cW_truth	cWerr_truth	cW_truth_pitch	ksr_U_pitch	ksr_excess_U_mm	ksr_V_pitch	ksr_excess_V_mm	ksr_W_pitch	ksr_excess_W_mm
pdhd	S0	splat	10	499.587	0.126799	11.4658	0.999897	7.88695	0.139358	8.2017	7.74532	14	0.339575	0.0288466	0.0727281	0.336228	0.0293403	0.0720113	0.352619	0.0262991	0.0735926	8.14908	0.141965	6.87459	14	0.369201	0.0263405	0.0790733	0.369816	0.0262946	0.079205	0.373888	0.0249378	0.0780315	7.52028	0.151261	40.0602	14	0.165556	0.0768239	0.0354578	0.155818	0.0807089	0.0333722	0.124858	0.0919493	0.0260582						
pdhd	S0n5	splat	10	500.135	0.126938	11.4596	0.999896	8.125	0.131523	8.2017	2.60428	14	0.416525	0.0179381	0.0892088	0.407105	0.0189535	0.0871913	0.420439	0.0174768	0.0877468	8.43264	0.134365	1.97629	14	0.446306	0.0163896	0.0955872	0.441126	0.0169468	0.0944777	0.442758	0.0165641	0.0924049	8.35908	0.135906	4.6457	14	0.408268	0.0194874	0.0874404	0.394777	0.0209722	0.084551	0.445563	0.0162562	0.0929903						
pdhd	S0n5v2	splat	10	4113.07	1.04393	11.4608	0.999896	8.12291	0.131601	8.2017	2.64623	14	0.417176	0.01794	0.0893483	0.407542	0.0189538	0.0872849	0.419242	0.0176561	0.087497	8.42659	0.134474	2.10703	14	0.445734	0.0164831	0.0954647	0.440703	0.0170172	0.0943871	0.440847	0.0167821	0.0920061	8.34522	0.136064	4.96939	14	0.407261	0.0196061	0.0872247	0.393502	0.0211029	0.0842779	0.439765	0.0167837	0.0917802						
pdhd	S0v2	splat	10	4113.07	1.04393	11.4609	0.999896	7.88704	0.139318	8.2017	7.08492	14	0.33922	0.0289083	0.0726521	0.336805	0.0292785	0.0721349	0.353069	0.026273	0.0736865	8.14692	0.141822	6.2819	14	0.369535	0.0263125	0.0791448	0.371086	0.0261506	0.079477	0.375157	0.0248148	0.0782964	7.529	0.150924	37.4236	14	0.159782	0.0793963	0.0342212	0.147665	0.0848361	0.031626	0.138842	0.0821308	0.0289767	0.416776	0.259023	0.416753	0.256813	0.412365	0.306241
pdhd	S1	gauss	10	4212.19	1.06908	13.1952	0.999955	6.77114	0.247463	8.2017	83.4647	14	2.68699	0.0342664	0.575483	2.78948	0.0352373	0.597434	0.385877	0.039375	0.0805337	6.98072	0.278963	95.452	14	2.68374	0.034892	0.574787	2.76026	0.0355886	0.591176	0.543504	0.0344758	0.113431	6.85713	0.293718	34.5774	14	2.91734	0.0361651	0.624818	2.95967	0.0365602	0.633884	0.628806	0.0342268	0.131234						
pdhd	S1	gauss_ph	10	4212.19	1.06908	13.1952	0.999955	6.78192	0.247602	8.2017	81.7666	14	2.68656	0.0342733	0.575391	2.79541	0.0354558	0.598704	0.384569	0.0395218	0.0802607	6.98072	0.278963	95.452	14	2.68374	0.034892	0.574787	2.76026	0.0355886	0.591176	0.543504	0.0344758	0.113431	6.85713	0.293718	34.5774	14	2.91734	0.0361651	0.624818	2.95967	0.0365602	0.633884	0.628806	0.0342268	0.131234						
pdhd	S1	raw	10	613.078	0.155604	15.4471	0.999969	8.61841	0.331954	8.2017	10.1204	14	3.10913	0.038949	0.665895	3.71382	0.0444217	0.795404	0.589669	0.0398597	0.123066	7.91071	0.812393	2.76469	14	5.02349	0.0571894	1.0759	5.73578	0.0634523	1.22846	1.82111	0.0487389	0.380071	6.68178	0.875043	7.94753	14	7.69614	0.0813847	1.64831	7.58765	0.0803637	1.62508	1.94444	0.0507028	0.40581						
pdhd	S1	rawdecon	10	18226.1	4.62591	2.69878	1.00018	9.45129	8.10599	8.2017	9.9574	14	7.47723	0.171491	1.60143	9.49291	0.138488	2.03313	8.73766	0.137021	1.82358	-1.01499	6.09748	5.21836	14	7.31254	0.124105	1.56616	8.47039	0.118917	1.81414	8.21007	0.118196	1.71347	1.51566	8.20723	0.523711	14	9.21492	0.139393	1.9736	9.30845	0.138432	1.99363	8.97423	0.138885	1.87295						
pdhd	S1	wiener	10	4245.75	1.0776	13.3904	1.00001	6.43902	0.204557	8.2017	80.1068	14	2.76561	0.0341785	0.592322	2.85549	0.0350776	0.611572	0.154245	0.0674707	0.0321914	7.23632	0.255853	97.3919	14	2.7551	0.0353155	0.590071	2.8163	0.0359323	0.603178	0.351145	0.0429903	0.073285	6.53376	0.287979	33.3484	14	3.01953	0.0366572	0.646705	3.04885	0.0369813	0.652985	0.634795	0.0338324	0.132484						
pdhd	S1n05	gauss	10	4194.5	1.06459	13.1738	0.999949	7.20827	0.241851	8.2017	2.12136	14	3.11381	0.0377182	0.666897	3.10318	0.0376377	0.664621	0.276022	0.0518378	0.0576066	7.2902	0.259607	2.87933	14	3.11846	0.0380141	0.667893	3.08744	0.0377289	0.661249	0.399588	0.0413043	0.0833952	7.0743	0.264951	3.32584	14	3.14964	0.0381534	0.674571	3.12164	0.0378955	0.668574	0.463941	0.038188	0.0968258						
