i	arc_cm	vid	off_cm	role	class	blank	qu	qv	qw	dead_uvw	q_dump	q_rms_ok	in_src	in_base	in_len	in_w	near_onridge_term_cm	stretch	cell_u	cell_v	cell_w	blank_dw	blank_dt	band_u	band_v	band_w
11	-4.62	189	0.80	terminal	3live	-	13980	2253	10299	000	10109	1	-	-	-	-	0.00		-1	-1	1/1					1
12	-4.06	236	0.95	interior	2blank+	VW	12954	0	0	000	0	1	path	closely_other	0.56	0.619	0.56		-1	-1	0/1					1
13	-2.97	283	1.33	interior	1blank	V	12303	0	1204	000	8741	1	connect	closely_other	1.09	1.204	1.61	S0	-1	-1	1/1					2
14	-2.39	342	1.67	terminal	1blank	V	16738	0	5190	000	12392	1	path	closely_other	0.58	0.582	2.11	S0	-1	-1	1/1					2
15	-1.80	371	1.43	interior	1blank	V	15373	0	179	000	10871	1	path	closely_other	0.59	0.580	2.32	S0	-1	-1	1/1					3
16	0.00	372	1.39	interior	1blank	V	8280	0	6258	000	7339	1	connect	closely_same	1.80	1.818	1.96	S0	-1	-1	1/1					3
17	19.30	428	0.77	interior	1blank	W	6682	4043	0	000	5522	1	connect	ctpc	19.30	22.167	1.01		-1	-1	0/0	-1.0	1.0			1
18	19.80	429	0.44	interior	3live	-	19900	4459	4093	000	12009	1	path	closely_same	0.50	0.507	0.74		-1	-1	0/0					0
19	20.54	431	0.23	terminal	1blank	W	14707	2702	0	000	10574	1	path	closely_other	0.74	0.733	0.00		-1	-1	0/1	-0.8	-0.0			1
20	21.39	441	0.90	interior	1blank	V	13768	0	1096	000	9766	1	path	closely_other	0.85	0.852	0.85		-1	-1	1/1					2
