# doc pdvd/103: tag moves on already-labelled items, d101hnew -> d102hcs (pdhd)
chain	move	key	label_source	confidence	arm_candidate	arm_tagger_status	arm_reject_bits_new
is_stm	LOST_TP	028084_10/108	owner	medium	no	3	
is_stm	LOST_TP	028084_10/46	agent	medium	no	3	
is_stm	LOST_TP	028084_12/36	owner	high	no	3	
is_stm	NEW_FP	028084_17/35	owner	medium	yes	0	
is_stm	NEW_FP	028084_18/122	agent	medium	yes	0	
is_stm	LOST_TP	028084_2/116	agent	low	yes	0	no_bragg
is_stm	LOST_TP	028084_2/49	agent	medium	yes	0	no_bragg
is_stm	LOST_TP	028084_21/26	agent	high	no	4	
is_stm	NEW_TP	028084_24/49	agent	high	yes	0	
is_stm	LOST_TP	028084_29/53	agent	medium	no	5	
is_stm	NEW_TP	028084_3/23	agent	low	yes	0	
is_stm	GONE_FP	028084_3/72	agent	medium	yes	0	no_bragg,plateau_off_mip,stop_near_boundary
is_stm	LOST_TP	028084_30/111	owner	high	no	5	
is_stm	LOST_TP	028084_30/26	agent	medium	yes	0	no_bragg
is_stm	NEW_TP	028084_30/33	agent	medium	yes	0	
is_stm	LOST_TP	028084_30/34	agent	medium	yes	0	no_bragg
is_stm	LOST_TP	028084_4/29	agent	medium	no	2	
is_stm	LOST_TP	028084_6/42	agent	high	no	7	
is_stm	LOST_TP	028084_8/110	agent	medium	yes	0	no_bragg
is_stm	NEW_TP	028084_8/120	agent	medium	yes	0	
is_stm	LOST_TP	028084_8/37	agent	high	yes	0	profile_sparse
is_stm	GONE_FP	029107_10/44	agent	high	yes	0	no_bragg,shape_flat,stop_near_boundary
is_stm	LOST_TP	029107_11/18	agent	medium	yes	0	not_muon_pid
is_stm	LOST_TP	029107_12/118	agent	medium	no	3	
is_stm	LOST_TP	029107_13/114	agent	high	yes	0	no_bragg
is_stm	NEW_FP	029107_16/46	agent	high	yes	0	
is_stm	LOST_TP	029107_18/44	agent	medium	yes	0	plateau_off_mip
is_stm	LOST_TP	029107_19/106	agent	medium	yes	0	continuation
is_stm	LOST_TP	029107_19/111	agent	high	yes	0	no_bragg,shape_flat
