det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdvd	039252_1	116	0	5411	5414	4	2.52	3.11	-185.7	287.5	182.9	1.71	1.35	2	GAP-short	0	0.83	0.00	0.83	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:t	0			
pdvd	039252_1	119	0	5634	5636	3	1.53	1.82	146.2	334.3	286.4	0.83	1.12	2	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:t/3live:t/3live:t	0			
pdvd	039252_1	119	0	5865	5866	2	12.08	12.69	-1.2	317.1	276.3	1.35	1.20	3	GAP-live	0	0.20	0.00	0.20	0.00	0.00	0.00	0.00	0.50	3live:i/3live:i/3live:i/1blank:t	0			
pdvd	039252_10	32	0	483	484	2	1.12	1.65	-249.0	-0.9	238.2	0.41	1.17	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:t/3live:i/3live:t/3live:i	0			
pdvd	039252_10	90	0	3694	3695	2	1.07	1.61	-118.4	332.5	162.9	0.47	1.06	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:t	0			
pdvd	039252_10	90	0	3967	3970	4	8.97	9.47	-1.9	215.8	211.7	2.36	1.08	3	GAP-live	0	0.32	0.00	0.32	0.00	0.00	0.00	0.00	0.00	3live:t/3live:t/1blank:t/1blank:i	0			
pdvd	039252_10	95	0	4463	4466	4	10.62	11.20	-2.0	103.9	199.2	1.47	1.28	3	GAP-live	0	0.18	0.00	0.18	0.00	0.00	0.00	0.00	0.00	2blank+:i/3live:i/3live:t/3live:t	0			
pdvd	039252_10	95	0	4482	4487	6	3.34	3.62	-12.3	102.9	191.4	2.23	2.53	3	GAP-live	0	0.43	0.00	0.43	0.00	0.00	0.00	0.00	0.33	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:t	0			
pdvd	039252_10	95	0	4592	4593	2	1.07	1.39	-63.9	96.5	151.6	1.31	0.82	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:t/3live:t	0			
pdvd	039252_10	97	0	4611	4612	2	17.95	18.55	55.1	52.1	15.0	1.36	1.48	3	GAP-live	0	0.08	0.00	0.08	0.00	0.00	0.00	0.00	0.00	3live:t/3live:i/1blank:i/3live:i	0			
pdvd	039252_10	98	0	5393	5394	2	9.86	10.38	-1.2	189.8	151.9	0.87	2.83	3	GAP-live	0	0.29	0.00	0.29	0.00	0.00	0.00	0.00	0.50	3live:t/3live:i/1blank:i/1blank:t	0			
pdvd	039252_10	101	0	5892	5893	2	1.39	1.86	22.1	201.3	282.7	1.28	1.19	1	GAP-short	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_11	27	0	385	387	3	1.78	2.47	-149.1	-302.5	288.7	1.73	0.65	1	GAP-short	0	0.60	0.00	0.60	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_11	27	0	446	453	8	5.12	5.14	-188.2	-299.2	280.8	2.68	4.04	3	GAP-live	0	0.40	0.00	0.40	0.38	0.00	0.00	0.00	0.25	3live:i/3live:t	0			
pdvd	039252_11	27	0	565	582	18	20.00	20.30	-259.0	-293.4	262.1	10.49	1.55	3	GAP-live	0	0.07	0.00	0.07	0.00	0.00	0.06	0.00	0.06	1dead:i/3live:i/1dead:t/1dead:i	0			
pdvd	039252_11	85	0	2740	2744	5	4.44	5.11	321.4	-35.7	231.5	2.01	2.13	3	GAP-short	0	0.60	0.00	0.60	0.20	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_11	85	0	2746	2747	2	1.37	3.51	315.7	-35.8	231.5	1.81	2.22	1	GAP-dead	0	0.43	0.00	0.43	1.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_11	85	0	2750	2751	2	1.10	1.65	314.5	-34.3	231.5	1.78	1.50	1	GAP-dead	0	0.33	0.00	0.33	1.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/1dead:i	0			
pdvd	039252_11	85	0	2756	2758	3	1.63	2.18	312.9	-31.9	233.3	1.58	1.74	1	GAP-dead	0	0.75	0.00	0.75	1.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_11	85	0	2764	2769	6	3.50	3.55	310.2	-30.0	236.4	2.67	2.58	2	GAP-dead	0	0.29	0.00	0.29	1.00	0.00	0.00	0.00	0.00	1dead:t/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/1dead:i/1dead:e	0			
pdvd	039252_11	85	0	2772	2775	4	2.48	2.95	306.5	-31.2	236.2	1.33	1.65	2	GAP-dead	0	0.83	0.00	0.83	1.00	0.00	0.00	0.00	0.00	2blank+:i/1dead:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_11	106	0	3351	3353	3	8.51	9.11	1.2	-221.6	38.8	1.56	1.14	3	GAP-live	0	0.28	0.00	0.28	0.00	0.00	0.00	0.00	0.00	3live:i/2blank+:i/1dead:t/1dead:i	0			
pdvd	039252_12	31	0	307	308	2	1.16	0.73	-303.7	-107.9	95.6	1.49	2.48	1	D-crawl	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1dead:i/1dead:i	0	1.47		
pdvd	039252_12	36	0	684	686	3	2.16	2.61	-25.5	-6.2	256.7	1.22	1.80	1	GAP-short	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i/1blank:t	0			
pdvd	039252_12	36	0	714	715	2	1.66	2.22	-39.8	-11.7	247.5	2.21	2.19	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/1blank:i/1blank:i	0			
pdvd	039252_12	96	0	2464	2466	3	1.75	2.31	182.1	-310.0	170.8	1.36	0.41	1	GAP-dead	0	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.33	1dead:t/1dead:i/2blank+:i/1dead:i/1dead:t	0			
pdvd	039252_12	113	0	2765	2772	8	4.91	5.11	202.7	48.9	3.7	4.97	0.67	3	GAP-live	0	0.20	0.00	0.20	0.00	0.00	0.00	0.00	0.12	3live:i/3live:t	0			
pdvd	039252_12	113	0	2775	2814	40	24.01	20.99	193.2	54.0	8.7	12.58	1.95	3	GAP-live	0	0.02	0.00	0.02	0.00	0.00	0.05	0.53	0.00	3live:i/3live:t/1dead:i/1dead:t	0			
pdvd	039252_12	113	0	2826	2830	5	2.88	3.14	183.1	66.2	14.1	1.70	1.36	3	GAP-short	0	0.83	0.00	0.83	0.00	0.00	0.00	0.00	0.40	3live:t/3live:i/3live:i	0			
pdvd	039252_12	113	0	2833	2975	143	87.25	79.92	189.9	87.3	50.1	19.25	2.11	3	GAP-live	0	0.01	0.00	0.01	0.00	0.00	0.02	0.50	0.00	1blank:i/1blank:t/3live:i/3live:i	0			
