plane	rms_sr_pitch	rms_sr_mm	rms_boxcar	sig_diff_pitch	rms_boxcar_diff	excess_over_boxcar_diff_pitch	excess_mm	t_mean_us	n_prof
U	0.459368	2.14484	0.288675	0.278109	0.400846	0.224369	1.0476	1027.92	8913
V	0.476093	2.22292	0.288675	0.258221	0.387313	0.276863	1.2927	886.167	6320
W	0.421089	2.01765	0.288675	0.284884	0.405576	0.113243	0.542603	1135.91	10592
