label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
phase:q2	rms	V	8.16616	0.88354	1.33892	0.0402125	1.7927	0.107682	0.648507	4	8.8	0	8.16616e-07	1.33892
phase:q2	share	V	8.05762	0.757729	1.10604	0.044188	1.22332	0.0977471	1.56194	4	8.8	0	8.05762e-07	1.10604
phase:q2	truth	V	8.16676	0.935915	1.41651	0.0413708	2.0065	0.117204	0.293829	4	8.8	0	8.16676e-07	1.41651
phase:q2	rms	W	10.5104	0.467013	-0.264861	0.10248	-0.0701513	0.0542861	1.44715	4	8.8	0	1.05104e-06	0.264861
phase:q2	share	W	8.26532	0.336697	-0.421535	0.0456404	-0.177692	0.0384781	2.76638	4	8.8	0	8.26532e-07	0.421535
phase:q2	truth	W	10.5119	0.564321	-0.255379	0.144224	-0.0652184	0.0736637	1.81587	4	8.8	0	1.05119e-06	0.255379
phase:q2	rms	U(joint)	9.66093	0.375076	1.34196	0.0266086	1.80085	0.0714153	15.2063	14	8.8	0	9.66093e-07	1.34196
phase:q2	rms	V(joint)	9.66093	0.375076	1.27945	0.0266531	1.637	0.0682027	15.2063	14	8.8	0	9.66093e-07	1.27945
phase:q2	rms	W(joint)	9.66093	0.375076	0.120773	0.193148	0.0145861	0.0466541	15.2063	14	8.8	0	9.66093e-07	0.120773
phase:q2	share	U(joint)	8.32052	0.279249	1.0821	0.0229727	1.17095	0.0497178	6.78971	14	8.8	0	8.32052e-07	1.0821
phase:q2	share	V(joint)	8.32052	0.279249	1.09252	0.0259496	1.1936	0.056701	6.78971	14	8.8	0	8.32052e-07	1.09252
phase:q2	share	W(joint)	8.32052	0.279249	-0.427776	0.0397115	-0.182992	0.0339752	6.78971	14	8.8	0	8.32052e-07	0.427776
phase:q2	truth	U(joint)	9.53566	0.427965	1.37511	0.0276529	1.89094	0.0760518	13.0388	14	8.8	0	9.53566e-07	1.37511
phase:q2	truth	V(joint)	9.53566	0.427965	1.36361	0.0277829	1.85943	0.0757702	13.0388	14	8.8	0	9.53566e-07	1.36361
phase:q2	truth	W(joint)	9.53566	0.427965	0.222828	0.13375	0.0496525	0.0596065	13.0388	14	8.8	0	9.53566e-07	0.222828
phase:q3	rms	U	8.3058	0.916207	1.42106	0.0404682	2.01943	0.115016	3.41251	4	8.8	0	8.3058e-07	1.42106
phase:q3	share	U	8.7293	0.616889	1.00103	0.0346733	1.00207	0.0694181	2.85791	4	8.8	0	8.7293e-07	1.00103
phase:q3	truth	U	8.48088	0.939366	1.44045	0.0409659	2.07488	0.118018	3.53837	4	8.8	0	8.48088e-07	1.44045
phase:q3	rms	V	8.10252	0.890503	1.39162	0.0404552	1.93661	0.112597	2.32105	4	8.8	0	8.10252e-07	1.39162
