plane	u_centre	S
U	-3.45	0
U	-3.35	0
U	-3.25	0
U	-3.15	0
U	-3.05	0
U	-2.95	0
U	-2.85	0
U	-2.75	0
U	-2.65	0
U	-2.55	0
U	-2.45	0
U	-2.35	0
U	-2.25	0
U	-2.15	0
U	-2.05	0
U	-1.95	2.42198e-08
U	-1.85	2.38863e-06
U	-1.75	3.46508e-05
U	-1.65	0.000205426
U	-1.55	0.000679397
U	-1.45	0.00180687
U	-1.35	0.00392316
U	-1.25	0.00833983
U	-1.15	0.0164802
U	-1.05	0.0304285
U	-0.95	0.0546661
U	-0.85	0.0936629
U	-0.75	0.154329
U	-0.65	0.244792
U	-0.55	0.373572
U	-0.45	0.539706
U	-0.35	0.692103
U	-0.25	0.806766
U	-0.15	0.859949
U	-0.05	0.86378
U	0.05	0.851286
U	0.15	0.854649
U	0.25	0.835716
U	0.35	0.773205
U	0.45	0.642263
U	0.55	0.483265
U	0.65	0.320848
U	0.75	0.20685
U	0.85	0.126355
U	0.95	0.0739323
U	1.05	0.0419763
U	1.15	0.0227132
U	1.25	0.011748
U	1.35	0.00576353
U	1.45	0.00264066
U	1.55	0.00111145
U	1.65	0.000358063
U	1.75	8.41939e-05
U	1.85	8.44787e-06
U	1.95	2.39946e-07
U	2.05	0
U	2.15	0
U	2.25	0
U	2.35	0
U	2.45	0
U	2.55	0
U	2.65	0
U	2.75	0
U	2.85	0
U	2.95	0
U	3.05	0
U	3.15	0
U	3.25	0
U	3.35	0
U	3.45	0
V	-3.45	0
V	-3.35	0
V	-3.25	0
V	-3.15	0
V	-3.05	0
V	-2.95	0
V	-2.85	0
V	-2.75	0
V	-2.65	0
V	-2.55	0
V	-2.45	0
V	-2.35	0
V	-2.25	0
V	-2.15	0
V	-2.05	0
V	-1.95	3.84704e-08
V	-1.85	1.77374e-06
V	-1.75	3.9096e-05
V	-1.65	0.00020207
V	-1.55	0.000687449
V	-1.45	0.00185069
V	-1.35	0.00382146
V	-1.25	0.00850174
V	-1.15	0.016295
V	-1.05	0.0304485
V	-0.95	0.0548306
V	-0.85	0.092799
V	-0.75	0.157098
V	-0.65	0.244192
V	-0.55	0.374696
V	-0.45	0.542341
V	-0.35	0.687085
V	-0.25	0.808303
V	-0.15	0.855833
V	-0.05	0.864877
V	0.05	0.859356
V	0.15	0.851321
V	0.25	0.832965
V	0.35	0.77819
V	0.45	0.636657
V	0.55	0.485792
V	0.65	0.318667
V	0.75	0.207463
V	0.85	0.125264
V	0.95	0.0741523
V	1.05	0.0418117
V	1.15	0.0224717
V	1.25	0.0121094
V	1.35	0.00563241
V	1.45	0.00268822
V	1.55	0.00111459
V	1.65	0.000345434
V	1.75	8.79497e-05
V	1.85	7.16668e-06
V	1.95	2.99165e-07
V	2.05	0
V	2.15	0
V	2.25	0
V	2.35	0
V	2.45	0
V	2.55	0
V	2.65	0
V	2.75	0
V	2.85	0
V	2.95	0
V	3.05	0
V	3.15	0
V	3.25	0
V	3.35	0
V	3.45	0
W	-3.45	0
W	-3.35	0
W	-3.25	0
W	-3.15	0
W	-3.05	0
W	-2.95	0
W	-2.85	0
W	-2.75	0
W	-2.65	0
W	-2.55	0
W	-2.45	0
W	-2.35	0
W	-2.25	0
W	-2.15	0
W	-2.05	1.06189e-10
W	-1.95	2.15224e-07
W	-1.85	4.93649e-06
W	-1.75	4.8211e-05
W	-1.65	0.000233471
W	-1.55	0.000745875
W	-1.45	0.00193484
W	-1.35	0.00426375
W	-1.25	0.00926057
W	-1.15	0.0177748
W	-1.05	0.0344659
W	-0.95	0.0609104
W	-0.85	0.106705
W	-0.75	0.174988
W	-0.65	0.281234
W	-0.55	0.424254
W	-0.45	0.589724
W	-0.35	0.732981
W	-0.25	0.827863
W	-0.15	0.865125
W	-0.05	0.864256
W	0.05	0.859524
W	0.15	0.87028
W	0.25	0.836149
W	0.35	0.734352
W	0.45	0.589502
W	0.55	0.424942
W	0.65	0.277022
W	0.75	0.176349
W	0.85	0.104729
W	0.95	0.0620527
W	1.05	0.0336302
W	1.15	0.0183088
W	1.25	0.00904983
W	1.35	0.00441292
W	1.45	0.00189831
W	1.55	0.000756822
W	1.65	0.000215464
W	1.75	5.01413e-05
W	1.85	4.05482e-06
W	1.95	2.03079e-07
W	2.05	0
W	2.15	0
W	2.25	0
W	2.35	0
W	2.45	0
W	2.55	0
W	2.65	0
W	2.75	0
W	2.85	0
W	2.95	0
W	3.05	0
W	3.15	0
W	3.25	0
W	3.35	0
W	3.45	0
