case	det	event	cluster	click	R	class	nrows	length_cm	max_d_ridge	max_d_img	seed_vertices
pdhd_D-3live_1	pdhd	029107_4	37	-14.8,195.5,140.5	12.0	D-3live	7	4.18	1.68	1.34	3live:i/3live:i/3live:i/3live:i/3live:i
pdhd_D-3live_2	pdhd	028084_27	57	-329.5,516.3,157.2	12.0	D-3live	6	3.91	1.32	1.29	3live:i/3live:t
pdhd_D-3live_3	pdhd	028084_11	34	-150.8,453.1,46.3	12.0	D-3live	7	4.53	2.25	0.69	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i
pdhd_D-3live_4	pdhd	029107_2	64	-115.2,595.2,217.9	12.0	D-3live	4	2.69	1.32	1.16	3live:t/3live:i/3live:t/3live:i
pdhd_FIT_1	pdhd	028084_10	52	-46.3,579.7,399.1	12.0	FIT	7	4.52	1.87	1.81	3live:i/1blank:t/3live:t/3live:i
pdhd_FIT_2	pdhd	029107_24	22	-207.6,573.1,284.8	12.0	FIT	6	4.75	1.46	0.95	3live:t/3live:i/3live:i/3live:i/3live:i/3live:t
pdhd_FIT_3	pdhd	028084_8	120	-89.6,388.1,281.5	12.0	FIT	7	4.22	1.49	1.06	3live:i/3live:t
pdhd_FIT_4	pdhd	029107_20	31	-246.7,305.2,40.8	12.0	FIT	7	4.05	1.74	0.99	3live:t/3live:t/3live:i/3live:i/3live:i/3live:t
pdvd_D-3live_1	pdvd	039253_5	94	110.5,126.4,26.0	12.0	D-3live	7	4.49	1.58	1.29	3live:t/3live:i/3live:t/3live:i
pdvd_D-3live_2	pdvd	039349_28	47	293.8,-93.0,235.4	12.0	D-3live	4	2.50	1.11	1.21	3live:i/3live:i/3live:i/3live:i
pdvd_D-3live_3	pdvd	039253_16	108	295.8,-248.0,154.3	12.0	D-3live	3	1.99	2.42	1.03	3live:i/3live:i/3live:i/3live:i
pdvd_D-3live_4	pdvd	039349_37	38	268.8,-149.5,84.2	12.0	D-3live	3	1.83	1.20	1.11	1dead:i/1dead:i
pdvd_FIT_1	pdvd	039349_61	67	62.5,144.6,19.1	12.8	FIT	68	179.11	3.87	17.78	3live:t/3live:i/3live:t/3live:t/3live:i/3live:t/3live:t/3live:i/3live:i/3live:t/3live:t/3live:t/3live:i/3live:t/3live:i/3live:t/3live:t/3live:t
pdvd_FIT_2	pdvd	039252_8	92	194.2,-169.3,259.7	12.0	FIT	4	2.42	2.17	1.39	3live:i/3live:e
pdvd_FIT_3	pdvd	039349_29	53	215.7,215.6,107.7	12.0	FIT	3	2.02	1.69	1.18	3live:i/3live:t/3live:i
pdvd_FIT_4	pdvd	039252_6	92	275.5,116.6,56.3	12.0	FIT	3	1.90	1.42	1.12	3live:i/3live:i
h1	pdhd	029107_16	108	75.3,438.3,450.1	12.0	spot	-	-	-	-	-
v3	pdvd	039349_20	25	-270.2,-243.7,36.0	12.0	spot	-	-	-	-	-
