det	event	block	status	plane	rr_bin	N	abs	sum_y	sum_yhat	uncov_y
sbnd	nusel_evt277958	130	0	V	10-20	83	123860	804294	746956	0
sbnd	nusel_evt277958	130	0	V	20-40	110	163527	844798	750765	0
sbnd	nusel_evt277958	130	0	W	0-2	4	40667	80061	39394	0
sbnd	nusel_evt277958	130	0	W	2-5	28	85964	271465	203289	0
sbnd	nusel_evt277958	130	0	W	5-10	47	96183	568223	516364	0
sbnd	nusel_evt277958	130	0	W	10-20	89	79101	767851	745686	0
sbnd	nusel_evt277958	130	0	W	20-40	105	114674	785333	760571	0
sbnd	nusel_evt278662	10	0	U	0-2	23	66420	201379	174575	0
sbnd	nusel_evt278662	10	0	U	2-5	28	17180	185085	178309	0
sbnd	nusel_evt278662	10	0	U	5-10	44	39225	294992	272815	0
sbnd	nusel_evt278662	10	0	U	10-20	91	140613	615333	593824	0
sbnd	nusel_evt278662	10	0	U	20-40	174	227434	1172708	1081406	0
sbnd	nusel_evt278662	10	0	U	40+	1790	2703559	12275194	10737121	0
sbnd	nusel_evt278662	10	0	V	0-2	6	39178	230059	222603	0
sbnd	nusel_evt278662	10	0	V	5-10	10	222352	485719	486721	0
sbnd	nusel_evt278662	10	0	V	10-20	8	118275	458454	484541	0
sbnd	nusel_evt278662	10	0	V	20-40	24	470375	1238389	1221136	0
sbnd	nusel_evt278662	10	0	V	40+	264	4606188	11792897	11066471	0
sbnd	nusel_evt278662	10	0	W	0-2	24	57160	206540	177996	0
sbnd	nusel_evt278662	10	0	W	2-5	26	19617	162720	167079	0
sbnd	nusel_evt278662	10	0	W	5-10	43	63738	305352	273612	0
sbnd	nusel_evt278662	10	0	W	10-20	91	119754	634600	584526	0
sbnd	nusel_evt278662	10	0	W	20-40	167	204863	1109917	1055710	0
sbnd	nusel_evt278662	10	0	W	40+	1830	2066387	11162137	10669010	0
sbnd	nusel_evt278794	70	7	U	0-2	14	43998	291747	280573	0
sbnd	nusel_evt278794	70	7	U	2-5	23	49329	388631	376228	0
sbnd	nusel_evt278794	70	7	U	5-10	38	67960	439538	400532	0
sbnd	nusel_evt278794	70	7	U	10-20	79	127236	799177	732241	0
sbnd	nusel_evt278794	70	7	U	20-40	148	222812	1346177	1200101	0
sbnd	nusel_evt278794	70	7	U	40+	798	2415555	7936626	6591131	70084
sbnd	nusel_evt278794	70	7	V	0-2	18	29950	279102	267026	0
sbnd	nusel_evt278794	70	7	V	2-5	34	56183	381050	356375	0
sbnd	nusel_evt278794	70	7	V	5-10	48	76720	418584	388414	0
sbnd	nusel_evt278794	70	7	V	10-20	98	107751	688325	675082	0
sbnd	nusel_evt278794	70	7	V	20-40	188	214177	1186808	1147317	0
sbnd	nusel_evt278794	70	7	V	40+	1039	2387690	7678554	6275404	0
sbnd	nusel_evt278794	70	7	W	0-2	18	34715	293848	284163	0
sbnd	nusel_evt278794	70	7	W	2-5	25	20070	353198	350576	0
sbnd	nusel_evt278794	70	7	W	5-10	43	58057	421553	408500	0
sbnd	nusel_evt278794	70	7	W	10-20	81	66563	701807	686832	0
sbnd	nusel_evt278794	70	7	W	20-40	155	134755	1204856	1170647	0
sbnd	nusel_evt278794	70	7	W	40+	866	1728258	7455555	6485493	67512
sbnd	nusel_evt280092	60	0	U	0-2	20	61839	172912	145713	0
sbnd	nusel_evt280092	60	0	U	2-5	24	32522	183854	162364	0
sbnd	nusel_evt280092	60	0	U	5-10	33	79005	262522	254219	0
sbnd	nusel_evt280092	60	0	U	10-20	51	312931	466739	499368	0
sbnd	nusel_evt280092	60	0	U	20-40	172	143998	1482915	1426865	0
sbnd	nusel_evt280092	60	0	U	40+	59	41612	356440	351080	0
sbnd	nusel_evt280092	60	0	V	0-2	12	29190	117581	113951	0
sbnd	nusel_evt280092	60	0	V	2-5	22	60685	170524	161175	0
sbnd	nusel_evt280092	60	0	V	5-10	33	74692	317948	262488	0
sbnd	nusel_evt280092	60	0	V	10-20	84	152313	551760	531231	0
sbnd	nusel_evt280092	60	0	V	20-40	84	427659	1507812	1409165	0
sbnd	nusel_evt280092	60	0	V	40+	32	91280	381519	364035	0
sbnd	nusel_evt280092	60	0	W	0-2	21	44829	144382	120851	0
sbnd	nusel_evt280092	60	0	W	2-5	30	21311	159997	158358	0
sbnd	nusel_evt280092	60	0	W	5-10	38	87645	314470	266899	0
sbnd	nusel_evt280092	60	0	W	10-20	93	179080	670916	557992	0
sbnd	nusel_evt280092	60	0	W	20-40	173	268463	1546909	1412734	0
sbnd	nusel_evt280092	60	0	W	40+	50	49205	375914	357463	0
sbnd	nusel_evt281632	80	0	U	0-2	19	196556	433648	385574	0
sbnd	nusel_evt281632	80	0	U	2-5	22	78212	379634	314222	0
sbnd	nusel_evt281632	80	0	U	5-10	41	59017	643509	606566	0
sbnd	nusel_evt281632	80	0	U	10-20	90	112578	1191346	1105816	0
sbnd	nusel_evt281632	80	0	U	20-40	171	166871	1693050	1606087	0
sbnd	nusel_evt281632	80	0	U	40+	83	84896	330754	277138	0
sbnd	nusel_evt281632	80	0	V	0-2	7	159387	277451	227740	0
sbnd	nusel_evt281632	80	0	V	2-5	12	176650	462049	344827	0
sbnd	nusel_evt281632	80	0	V	5-10	22	64048	638714	687770	0
sbnd	nusel_evt281632	80	0	V	10-20	39	255720	1266908	1165356	0
sbnd	nusel_evt281632	80	0	V	20-40	61	450704	1798727	1685293	0
sbnd	nusel_evt281632	80	0	V	40+	17	185912	346539	292523	0
sbnd	nusel_evt281632	80	0	W	0-2	19	185282	405059	356627	0
sbnd	nusel_evt281632	80	0	W	2-5	24	145473	430347	323196	0
sbnd	nusel_evt281632	80	0	W	5-10	47	37133	608374	598463	0
sbnd	nusel_evt281632	80	0	W	10-20	99	83897	1076076	1075551	0
sbnd	nusel_evt281632	80	0	W	20-40	191	190826	1642735	1611697	0
sbnd	nusel_evt281632	80	0	W	40+	70	87453	285018	276445	0
sbnd	nusel_evt282217	90	2	U	0-2	24	119498	555717	525755	0
sbnd	nusel_evt282217	90	2	U	2-5	19	40191	399310	375455	0
sbnd	nusel_evt282217	90	2	U	5-10	49	119895	883548	809365	0
sbnd	nusel_evt282217	90	2	U	10-20	83	214517	1365471	1208444	0
sbnd	nusel_evt282217	90	2	U	20-40	161	322701	1802200	1655069	0
sbnd	nusel_evt282217	90	2	U	40+	2820	4590741	23513787	21658000	13910
sbnd	nusel_evt282217	90	2	V	0-2	25	97815	546525	515468	0
sbnd	nusel_evt282217	90	2	V	2-5	23	42623	404624	378527	0
sbnd	nusel_evt282217	90	2	V	5-10	50	76996	844577	795613	0
sbnd	nusel_evt282217	90	2	V	10-20	90	146783	1245228	1189279	0
sbnd	nusel_evt282217	90	2	V	20-40	154	297795	1730132	1611781	0
sbnd	nusel_evt282217	90	2	V	40+	2351	5160193	22734922	21352797	0
sbnd	nusel_evt282217	90	2	W	0-2	25	90930	504024	505266	0
sbnd	nusel_evt282217	90	2	W	2-5	24	12855	383306	385541	0
sbnd	nusel_evt282217	90	2	W	5-10	53	32328	788069	788125	0
sbnd	nusel_evt282217	90	2	W	10-20	97	60904	1181713	1179251	0
sbnd	nusel_evt282217	90	2	W	20-40	198	191064	1630514	1583538	0
sbnd	nusel_evt282217	90	2	W	40+	3921	3972950	21237193	20240299	13213
sbnd	nusel_evt282715	140	0	U	0-2	19	119344	218168	150002	0
sbnd	nusel_evt282715	140	0	U	2-5	2	24369	53395	77764	0
sbnd	nusel_evt282715	140	0	U	5-10	16	174409	466573	393976	0
sbnd	nusel_evt282715	140	0	U	10-20	18	199046	586885	570097	0
sbnd	nusel_evt282715	140	0	U	20-40	66	562529	1298420	1179891	0
sbnd	nusel_evt282715	140	0	U	40+	1232	9115873	28630539	25434410	0
sbnd	nusel_evt282715	140	0	V	0-2	22	227220	320843	103257	0
sbnd	nusel_evt282715	140	0	V	2-5	28	28126	160934	142608	0
sbnd	nusel_evt282715	140	0	V	5-10	42	56999	310385	291404	0
sbnd	nusel_evt282715	140	0	V	10-20	90	152156	684464	629560	0
sbnd	nusel_evt282715	140	0	V	20-40	180	224268	1080846	1040752	0
sbnd	nusel_evt282715	140	0	V	40+	4235	6083479	25663003	23690088	0
sbnd	nusel_evt282715	140	0	W	0-2	20	82454	158540	110528	0
sbnd	nusel_evt282715	140	0	W	2-5	26	16452	139573	142969	0
sbnd	nusel_evt282715	140	0	W	5-10	41	38182	297325	297173	0
sbnd	nusel_evt282715	140	0	W	10-20	91	118698	665379	634507	0
sbnd	nusel_evt282715	140	0	W	20-40	182	169930	1084445	1041569	0
sbnd	nusel_evt282715	140	0	W	40+	4164	4883357	25603626	23855593	0
sbnd	nusel_evt283229	60	3	U	0-2	23	352842	513541	203919	0
sbnd	nusel_evt283229	60	3	U	2-5	21	82237	112201	76326	0
sbnd	nusel_evt283229	60	3	U	5-10	46	153723	379256	228813	0
sbnd	nusel_evt283229	60	3	U	10-20	99	74313	549866	525411	0
sbnd	nusel_evt283229	60	3	U	20-40	191	416869	1316865	1049792	0
sbnd	nusel_evt283229	60	3	U	40+	1248	1430857	7937260	7673371	0
sbnd	nusel_evt283229	60	3	V	0-2	12	186865	283108	213191	0
sbnd	nusel_evt283229	60	3	V	2-5	16	118903	167450	70999	0
