det	est	plane	window	inversion	tbin	t_us	extent	sig_true_mm	sig_old_mm	sig_corr_mm	c_pred_mm	DT_pred_cm2s	c_input_mm	DT_input_cm2s	sig_true_lo_pitch	sig_true_hi_pitch
pdvd	share	U	full	bin	0	187.284	0.434755	2.33963	2.34072	2.33963	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	bin	1	486.241	0.367693	2.40108	2.38657	2.40108	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	bin	2	759.022	0.35	2.4558	2.43828	2.4558	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	bin	3	1033.86	0.283746	2.50973	2.47321	2.50973	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	bin	4	1349.12	0.23235	2.57021	2.52383	2.57021	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	bin	5	1830.89	0.301911	2.65996	2.62655	2.65996	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	old	-1	nan	nan	nan	nan	nan	2.30335	4.12782	2.3003	4.87198	0.305834	0.347707
pdvd	share	U	full	corrected	-1	nan	nan	nan	nan	nan	2.3003	4.87198	2.3003	4.87198	0.305834	0.347707
pdvd	share	U	q1	bin	0	187.284	0.434755	2.33963	3.37194	2.33963	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	bin	1	486.241	0.367693	2.40108	3.40323	2.40108	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	bin	2	759.022	0.35	2.4558	3.43807	2.4558	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	bin	3	1033.86	0.283746	2.50973	3.46257	2.50973	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	bin	4	1349.12	0.23235	2.57021	3.49777	2.57021	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	bin	5	1830.89	0.301911	2.65996	3.56556	2.65996	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	old	-1	nan	nan	nan	nan	nan	3.34793	3.94067	2.3003	4.87198	0.305834	0.347707
pdvd	share	U	q1	corrected	-1	nan	nan	nan	nan	nan	2.3003	4.87198	2.3003	4.87198	0.305834	0.347707
