det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdhd	028084_1	53	0	2797	2799	3	1.84	2.35	-95.1	61.3	214.2	2.31	2.62	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	3live:t/3live:i/3live:i	0			
pdhd	028084_1	156	0	5997	6000	4	2.23	2.72	0.7	162.7	127.8	1.36	1.69	3	GAP-short	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.25	3live:i/3live:t/1blank:i	0			
pdhd	028084_1	156	0	6039	6059	21	13.41	14.34	-22.9	181.6	127.4	7.22	3.27	1	GAP-live	0	0.14	0.00	0.14	0.00	0.00	0.05	0.00	0.00	3live:t/3live:i/1blank:t/1blank:i	0			
pdhd	028084_1	156	0	6071	6081	11	7.37	7.86	-36.7	192.1	126.5	3.69	3.38	1	GAP-live	0	0.31	0.00	0.31	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_1	156	0	6093	6138	46	29.64	30.06	-57.1	207.2	125.1	14.74	3.59	2	GAP-live	0	0.08	0.00	0.08	0.00	0.00	0.00	0.00	0.04	3live:t/3live:i/3live:i/3live:i	0			
pdhd	028084_1	156	0	6159	6170	12	8.19	8.76	-81.8	225.8	122.4	4.10	3.20	1	GAP-live	0	0.33	0.00	0.33	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_1	156	0	6190	6204	15	9.94	10.20	-98.7	238.9	120.0	4.52	3.59	1	GAP-live	0	0.30	0.00	0.30	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:t	0			
pdhd	028084_1	156	0	6239	6250	12	7.13	7.79	-119.9	255.3	117.0	4.34	3.13	1	GAP-live	0	0.19	0.00	0.19	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_1	156	0	6259	6304	46	29.55	29.29	-137.5	268.4	114.1	14.57	3.07	2	GAP-live	0	0.07	0.00	0.07	0.00	0.00	0.02	0.46	0.02	3live:i/3live:t/1blank:i/1blank:i/1blank:t/3live:i	0			
pdhd	028084_1	156	0	6322	6328	7	4.86	5.13	-159.0	284.2	110.2	2.62	3.55	2	GAP-short	0	0.50	0.00	0.50	0.00	0.00	0.00	0.00	0.14	3live:t/3live:i/3live:t/1blank:i/1blank:t/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_1	156	0	6365	6366	2	1.49	1.12	-178.8	298.7	107.0	0.97	1.30	2	D-blank-int	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i	0	2.42	5.02	2.061
pdhd	028084_1	156	0	6369	6370	2	1.43	1.95	-179.7	299.7	106.9	1.28	1.27	2	GAP-short	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/3live:i	0			
pdhd	028084_1	156	0	6388	6389	2	1.19	1.89	-188.5	306.1	105.4	1.09	0.25	1	D-blank-int	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i	0	2.75	2.75	1.000
pdhd	028084_1	156	0	6433	6438	6	3.44	4.01	-211.2	322.5	101.9	1.97	2.48	3	GAP-short	0	0.75	0.00	0.75	0.00	0.00	0.17	0.00	0.50	3live:i/3live:t/3live:i/3live:t	0			
pdhd	028084_1	156	0	6464	6467	4	2.45	2.90	-224.4	332.2	99.6	1.65	1.91	2	GAP-short	0	0.83	0.00	0.83	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_1	156	0	6496	6507	12	9.25	10.02	-241.9	344.9	97.1	4.51	4.40	3	GAP-live	0	0.30	0.00	0.30	0.00	0.00	0.00	0.00	0.00	3live:t/1blank:t/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/2blank+:i/2blank+:i/2blank+:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i/1blank:i	0			
pdhd	028084_1	156	0	6518	6522	5	2.93	3.39	-251.7	352.0	95.6	2.28	0.63	2	GAP-live	0	0.43	0.00	0.43	0.00	0.00	0.00	0.00	0.00	1blank:i/1blank:i/1blank:i/1blank:i/1blank:t/3live:i	0			
pdhd	028084_10	31	0	63	66	4	2.23	2.22	-104.4	196.2	28.0	1.49	2.17	3	D-crawl	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1blank:i/3live:t/3live:t/3live:i	0	3.92		
pdhd	028084_10	31	0	111	113	3	2.19	3.06	-108.6	173.3	41.0	0.81	1.53	2	D-3live	1	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.33	3live:i/3live:t/3live:i	0	3.31		
pdhd	028084_10	31	0	131	133	3	1.90	2.45	-110.6	163.1	46.3	0.61	1.31	3	XID	1	0.20	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i	0			
pdhd	028084_10	31	0	146	160	15	9.37	9.22	-112.1	155.2	51.3	0.79	1.95	3	XID	1	0.39	1.00	1.00	0.00	0.00	0.00	0.00	0.13	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	35	0	1235	1248	14	8.29	7.84	-60.3	598.8	123.9	2.87	3.61	3	GAP-short	0	0.56	0.00	0.56	0.00	0.00	0.00	0.00	0.43	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:t/3live:i	0			
pdhd	028084_10	46	0	3038	3043	6	2.91	3.33	-264.3	467.4	291.4	2.17	3.46	3	FIT	0	0.71	0.00	0.71	0.00	0.00	0.00	1.00	1.00	3live:i/3live:e	1			
pdhd	028084_10	52	0	4469	4479	11	7.35	6.43	-51.2	591.9	405.8	3.29	1.99	3	GAP-live	0	0.38	0.00	0.38	0.00	0.00	0.00	0.00	0.00	1blank:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4497	4503	7	4.69	4.33	-46.3	579.6	399.1	1.98	2.08	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.14	0.86	3live:i/1blank:t/3live:t/3live:i	0			
pdhd	028084_10	52	0	4508	4514	7	4.61	4.63	-44.0	575.4	395.6	1.60	1.83	3	FIT	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.86	3live:i/3live:t/3live:i/3live:t/3live:i/3live:i	0			
pdhd	028084_10	52	0	4528	4529	2	1.30	1.53	-40.3	569.4	389.1	1.24	0.62	3	GAP-short	0	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:t/3live:i/3live:i	0			
pdhd	028084_10	52	0	4542	4559	18	11.75	11.71	-35.3	560.5	382.2	5.27	2.21	3	GAP-live	0	0.26	0.00	0.26	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:i/3live:t	0			
pdhd	028084_10	52	0	4568	4572	5	2.88	3.67	-30.6	552.3	374.9	1.86	2.26	3	GAP-short	0	0.71	0.00	0.71	0.00	0.00	0.00	0.00	0.20	3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4597	4602	6	3.47	3.25	-24.8	541.2	366.3	0.60	3.25	3	D-3live	1	0.50	1.00	1.00	0.00	0.00	0.00	0.00	0.33	3live:t/3live:i/3live:i/3live:i/3live:i	0	4.09		
pdhd	028084_10	52	0	4608	4612	5	2.77	3.26	-22.3	541.6	361.5	0.75	2.24	3	XID	1	0.14	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4617	4620	4	2.54	3.00	-20.5	543.8	358.5	0.58	3.92	1	XID	1	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4622	4626	5	3.21	3.34	-19.2	546.1	356.3	0.61	2.43	2	D-3live	1	0.57	1.00	1.00	0.00	0.00	0.00	0.00	0.20	3live:i/3live:t/3live:i/3live:i/3live:i	0	6.41		
pdhd	028084_10	52	0	4630	4633	4	2.34	2.76	-17.8	547.9	353.9	0.63	3.03	3	XID	1	0.33	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4635	4638	4	2.56	2.84	-17.1	549.5	352.2	0.55	3.03	2	XID	1	0.33	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i/3live:i/3live:i	0			
pdhd	028084_10	52	0	4640	4641	2	1.45	2.03	-16.8	550.9	350.1	0.92	1.26	2	D-blank-int	1	0.75	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/2blank+:i/3live:i	0	3.84		
pdhd	028084_10	52	0	4645	4651	7	3.88	3.39	-14.3	551.6	348.3	0.63	3.38	3	XID	1	0.43	1.00	1.00	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/3live:i	0			
pdhd	028084_10	52	0	4659	4660	2	1.47	1.96	-11.1	555.2	343.5	0.41	4.02	3	XID	1	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	3live:i/3live:i/3live:i	0			
