plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1	truth_centre	truth_pm1	truth_pm2	truth_beyond
U	0.241317	0.221747	0.176625	0.0614913	0.809712	0.186385	0.00382336	7.95458e-05	0.794501	0.205496	2.36472e-06	4.40565e-18	0.863448	0.136552	0	0	0.809517	0.190482	4.01271e-07	0	0.0382234	0.00819556	0.10747	0.00390055	0.0189811	0.809054	0.187008	0.00383422	0.000103236
V	0.23857	0.220484	0.177536	0.0614913	0.810806	0.185435	0.00373241	2.66664e-05	0.796608	0.20339	1.88824e-06	8.81129e-19	0.863081	0.136919	0	0	0.810487	0.189513	3.52501e-07	0	0.0359103	0.00815516	0.10455	0.00375719	0.0184728	0.80982	0.186399	0.0037543	2.66664e-05
W	0.275013	0.254054	0.263731	0.184474	0.788235	0.207061	0.00470423	0	0.767345	0.232626	2.91754e-05	4.45152e-14	0.778606	0.221394	0	0	0.783242	0.216749	8.51179e-06	5.2392e-16	0.0511307	0.0193776	0.0286673	0.00467506	0.0200969	0.788076	0.207153	0.00477163	0
