tag	est	plane	window	n_bins	sig_mean_mm	sig_err_mm	q_frac	c_fit_mm	DT_fit_cm2s	chi2_ndf	sig_artefact_old_mm	sig_artefact_true_mm
pdhd data	share	U	full	6	3.81048	0.0670786	1	3.56656	8.76001	1.02254	3.4077	3.39628
pdhd data	share	U	q1	6	3.58957	0.0767834	0.246053	3.48782	1.9067	1.20862	3.63499	3.39628
pdhd data	share	U	q2	6	4.01766	0.0791583	0.242355	3.71976	11.4063	0.833629	3.19222	3.39628
pdhd data	share	U	q3	6	3.91804	0.0851869	0.24628	3.58945	11.1942	0.735657	3.19222	3.39628
pdhd data	share	U	q4	6	3.65309	0.0747136	0.265313	3.48364	5.32568	1.18718	3.63499	3.39628
pdhd data	share	U	centre	6	3.9662	0.0718924	0.488635	3.66702	11.3177	0.878064	3.19222	3.39628
pdhd data	share	U	edge	6	3.62033	0.0744807	0.511366	3.53036	2.90099	0.996171	3.63499	3.39628
pdhd data	share	V	full	6	3.35623	0.0793748	1	3.04724	8.76001	1.02254	2.96861	2.95356
pdhd data	share	V	q1	6	2.9961	0.0741531	0.229807	2.94436	1.9067	1.20862	3.23635	2.95356
pdhd data	share	V	q2	6	3.59663	0.0821276	0.279916	3.21884	11.4063	0.833629	2.7157	2.95356
pdhd data	share	V	q3	6	3.55226	0.0986361	0.259517	3.1262	11.1942	0.735657	2.7157	2.95356
pdhd data	share	V	q4	6	3.14109	0.101545	0.23076	2.90276	5.32568	1.18718	3.23635	2.95356
pdhd data	share	V	centre	6	3.57257	0.0794787	0.539433	3.19165	11.3177	0.878064	2.7157	2.95356
pdhd data	share	V	edge	6	3.07975	0.0751158	0.460567	2.97417	2.90099	0.996171	3.23635	2.95356
pdhd data	share	W	full	6	2.3322	0.135823	1	1.43495	8.76001	1.02254	1.83248	1.8364
pdhd data	share	W	q1	6	2.99512	0.151458	0.191694	2.54361	1.9067	1.20862	2.35754	1.8364
pdhd data	share	W	q2	6	2.22818	0.113592	0.302756	1.3488	11.4063	0.833629	1.31926	1.8364
pdhd data	share	W	q3	6	2.29401	0.135023	0.323934	1.34247	11.1942	0.735657	1.31926	1.8364
pdhd data	share	W	q4	6	2.83942	0.14568	0.181616	2.26749	5.32568	1.18718	2.35754	1.8364
pdhd data	share	W	centre	6	2.26134	0.111921	0.62669	1.32981	11.3177	0.878064	1.31926	1.8364
pdhd data	share	W	edge	6	2.9299	0.134922	0.374322	2.47499	2.90099	0.996171	2.35754	1.8364
