i	arc_cm	vid	off_cm	role	class	blank	qu	qv	qw	dead_uvw	q_dump	q_rms_ok	in_src	in_base	in_len	in_w	near_onridge_term_cm	stretch	cell_u	cell_v	cell_w	blank_dw	blank_dt	band_u	band_v	band_w
132	-17.50	597	0.35	interior	1blank	U	0	15803	16009	000	15906	1	-	-	-	-	0.57		0/1	1/1	1/1	-1.2	-0.0	1	2	5
133	-16.92	599	0.07	terminal	3live	-	3846	19003	6476	000	11802	1	path	closely_other	0.57	0.692	0.00		0/1	1/1	1/1			1	2	3
134	-16.33	605	0.32	terminal	3live	-	4192	18655	17247	000	14867	1	connect	closely_other	0.59	0.576	0.00		0/1	1/1	1/1			2	2	5
135	-16.02	607	0.40	interior	3live	-	4765	14129	16386	000	12791	1	path	closely_other	0.31	0.303	0.31		0/1	1/1	1/1			1	2	3
136	-15.42	609	0.66	terminal	3live	-	2611	3611	3767	000	3369	1	connect	closely_other	0.60	0.623	0.00		0/1	1/1	1/1			1	3	4
137	-15.12	610	0.77	interior	3live	-	1754	609	232	000	1080	1	path	closely_other	0.30	0.335	0.30		0/1	1/1	1/1			2	3	4
138	-14.06	614	1.12	interior	2blank+	UV	0	0	7371	000	0	1	path	closely_other	1.06	1.883	1.25	S0	1/1	0/1	1/1			2	2	4
139	-13.76	615	1.22	interior	2blank+	UV	0	0	2619	000	0	1	path	closely_other	0.30	0.711	1.48	S0	1/1	0/1	1/1			2	2	4
140	-12.60	620	0.86	interior	3live	-	5285	237	703	000	3081	1	connect	closely_other	1.16	2.002	1.10		1/1	1/1	1/1			2	3	3
141	-11.54	622	0.31	interior	3live	-	5285	24812	12666	000	16371	1	path	closely_same	1.06	1.092	0.30		1/1	1/1	1/1			2	3	3
142	-11.25	623	0.39	terminal	3live	-	6476	24368	19700	000	18474	1	path	closely_other	0.30	0.280	0.00		1/1	1/1	1/1			2	2	5
143	-10.95	628	0.43	interior	3live	-	4600	18119	20304	000	15934	1	path	closely_other	0.30	0.281	0.30		1/1	1/1	1/1			2	4	5
144	-9.97	632	0.18	terminal	3live	-	1327	19014	12434	000	13139	1	connect	closely_other	0.98	0.943	0.00		0/1	1/1	1/1			1	3	5
145	-9.06	637	0.55	terminal	1blank	U	0	6317	14592	000	11243	1	connect	closely_other	0.91	1.114	0.00		0/0	1/1	1/1	-1.6	0.0	1	2	5
146	-8.71	642	0.57	interior	1blank	U	0	11793	9919	000	10896	1	path	closely_other	0.35	0.526	0.35		0/0	1/1	1/1	-0.6	1.0	1	2	3
147	-7.78	645	0.17	terminal	3live	-	1914	18934	503	000	10991	1	connect	closely_other	0.93	1.154	0.00		1/1	1/1	1/1			2	2	4
148	-6.89	648	0.75	interior	3live	-	1462	61	2824	000	1836	1	path	closely_other	0.89	0.946	0.89		0/1	1/1	1/1			2	3	5
