# doc pdvd/113 v3 step: pdvd 039349_20 cl25, frame from the production image within 12 cm of the click
| s slab (cm) | image n | image e2 min / max | image e2 centroid (q-weighted) | image e2 share > +1 cm | production seed e2 / ridge off | production fit e2 | none seed e2 / ridge off | none fit e2 |
|---|---|---|---|---|---|---|---|---|
| [-8, -7) | 8 | -1.06 / -0.29 | -0.39 | 0 % | -1.68 / 1.50 | -0.63 | -0.31 / 0.46 | -0.53 |
| [-7, -6) | 7 | -1.22 / -0.25 | -0.60 | 0 % | -1.57 / 1.39 | -0.56 | -0.25 / 0.58 | -0.56 |
| [-6, -5) | 7 | -1.22 / -0.21 | -0.64 | 0 % | -1.75 / 1.51 | -0.48 | -0.30 / 0.36 | -0.48 |
| [-5, -4) | 10 | -1.02 / +0.89 | +0.14 | 0 % | -1.09 / 1.53 | -0.47 | -0.88 / 0.71 | -0.60 |
| [-4, -3) | 6 | -0.93 / +1.42 | -0.22 | 17 % | -0.14 / 0.28 | -0.47 | +0.38 / 1.24 | -0.00 |
| [-3, -2) | 6 | -0.94 / +2.19 | +0.47 | 50 % | +0.07 / 0.74 | -0.51 | +1.41 / 1.10 | +0.98 |
| [-2, -1) | 17 | -1.84 / +2.24 | +0.66 | 47 % | +0.29 / 0.49 | -0.02 | +1.47 / 0.88 | +1.18 |
| [-1, +0) | 14 | -1.60 / +2.60 | +0.50 | 43 % | +0.61 / 1.23 | +0.35 | +1.34 / 0.89 | +1.09 |
| [+0, +1) | 13 | -0.98 / +1.87 | +0.32 | 15 % | +0.92 / 1.45 | +0.35 | +0.76 / 0.50 | +0.94 |
| [+1, +2) | 11 | -0.98 / +1.13 | +0.46 | 27 % | +0.77 / 1.44 | +0.23 | +0.57 / 0.38 | +0.44 |
| [+2, +3) | 14 | -0.98 / +1.13 | +0.29 | 21 % | +0.04 / 0.56 | +0.02 | +0.14 / 0.52 | -0.06 |
