i	arc_cm	vid	off_cm	role	class	blank	qu	qv	qw	dead_uvw	q_dump	q_rms_ok	in_src	in_base	in_len	in_w	near_onridge_term_cm	stretch	cell_u	cell_v	cell_w	blank_dw	blank_dt	band_u	band_v	band_w
11	-18.43	2642	0.80	interior	3live	-	19977	14328	41243	000	27721	1	-	-	-	-	0.93		-1	-1	1/1					2
12	-17.55	2643	0.39	interior	3live	-	28931	47502	41243	000	39977	1	path	closely_same	0.88	0.789	0.30		-1	-1	1/1					2
13	-17.25	2639	0.32	terminal	3live	-	30908	50030	40449	000	41208	1	path	closely_other	0.30	0.260	0.00		-1	-1	1/1					2
14	-16.66	2636	0.29	terminal	3live	-	30788	56269	33033	000	41654	1	connect	closely_other	0.59	0.520	0.00		-1	-1	1/1					2
15	-16.36	2635	0.30	interior	3live	-	34793	59518	32299	000	43955	1	path	closely_other	0.30	0.259	0.30		-1	-1	1/1					2
16	-16.07	2634	0.31	terminal	3live	-	36041	61539	31292	000	44964	1	connect	closely_other	0.30	0.259	0.00		-1	-1	1/1					2
17	-15.77	2633	0.36	interior	3live	-	34081	58917	28686	000	42644	1	path	closely_other	0.30	0.259	0.30		-1	-1	1/1					2
18	-15.18	2632	0.38	terminal	3live	-	41238	54315	29174	000	42824	1	connect	closely_other	0.59	0.519	0.00		-1	-1	1/1					1
19	-14.59	2631	0.57	terminal	3live	-	34584	32862	20693	000	30023	1	connect	closely_other	0.59	0.526	0.00		-1	-1	1/1					2
20	-14.00	2630	0.57	terminal	3live	-	33045	13029	16712	000	22664	1	connect	closely_other	0.59	0.540	0.00		-1	-1	1/1					2
21	-13.70	2629	0.57	interior	3live	-	32533	2348	16066	000	20992	1	path	closely_other	0.30	0.275	0.30		-1	-1	1/1					3
22	-12.64	2628	0.37	terminal	3live	-	19611	24856	10564	000	19270	1	connect	closely_other	1.06	0.986	0.00		-1	-1	1/1					2
23	-12.05	2626	0.36	terminal	3live	-	41195	28054	6741	000	29037	1	connect	closely_other	0.59	0.545	0.00		-1	-1	1/1					2
