spot	arm	label	seed_max_off_cm	fit_max_off_cm	terminals	term_1blank	term_1blank_off
h1	d115hoff	production	1.970	1.769	18	5	4
h1	d115hp3	prefer3	0.679	0.473	13	0	0
h1	d115hbwp1	alpha1+path	0.679	0.478	18	5	4
h1	d115hp3bw2	prefer3+alpha2	0.679	0.475	13	0	0
h1	d115hp3bwp025	prefer3+alpha0.25+path	0.679	0.474	13	0	0
h1	d115hp3bwp05	prefer3+alpha0.5+path	0.679	0.474	13	0	0
h1	d115hp3bwp1	prefer3+alpha1+path	0.679	0.474	13	0	0
h2	d115hoff	production	0.835	2.545	92	21	14
h2	d115hp3	prefer3	0.835	2.112	81	4	3
h2	d115hbwp1	alpha1+path	0.835	0.691	92	21	14
h2	d115hp3bw2	prefer3+alpha2	0.965	0.699	81	4	3
h2	d115hp3bwp025	prefer3+alpha0.25+path	0.835	0.691	81	4	3
h2	d115hp3bwp05	prefer3+alpha0.5+path	0.835	0.691	81	4	3
h2	d115hp3bwp1	prefer3+alpha1+path	0.835	0.679	81	4	3
v1	d115voff	production	1.030	0.533	37	14	3
v1	d115vp3	prefer3	1.030	0.545	39	13	3
v1	d115vbwp1	alpha1+path	1.030	0.379	37	14	3
v1	d115vp3bw2	prefer3+alpha2	1.030	0.401	39	13	3
v1	d115vp3bwp025	prefer3+alpha0.25+path	1.030	0.516	39	13	3
v1	d115vp3bwp05	prefer3+alpha0.5+path	1.030	0.516	39	13	3
v1	d115vp3bwp1	prefer3+alpha1+path	1.030	0.516	39	13	3
v2	d115voff	production	0.985	1.274	47	10	6
v2	d115vp3	prefer3	0.985	1.148	47	4	3
v2	d115vbwp1	alpha1+path	1.126	1.425	47	10	6
v2	d115vp3bw2	prefer3+alpha2	1.126	1.422	47	4	3
v2	d115vp3bwp025	prefer3+alpha0.25+path	0.985	1.425	47	4	3
v2	d115vp3bwp05	prefer3+alpha0.5+path	1.126	1.425	47	4	3
v2	d115vp3bwp1	prefer3+alpha1+path	1.126	1.130	47	4	3
v3	d115voff	production	1.635	0.912	41	14	3
v3	d115vp3	prefer3	1.635	1.136	37	6	1
v3	d115vbwp1	alpha1+path	1.324	0.544	41	14	3
v3	d115vp3bw2	prefer3+alpha2	1.532	1.066	37	6	1
v3	d115vp3bwp025	prefer3+alpha0.25+path	1.151	1.075	37	6	1
v3	d115vp3bwp05	prefer3+alpha0.5+path	1.324	1.074	37	6	1
v3	d115vp3bwp1	prefer3+alpha1+path	1.324	1.136	37	6	1
