plane	n	rms_off_wire	med_abs_off	frac_centre	peakedness	n_ph0	q_ph0	n_ph1	q_ph1	n_ph2	q_ph2	n_ph3	q_ph3	n_ph4	q_ph4	n_ph5	q_ph5	n_ph6	q_ph6	n_ph7	q_ph7	n_ph8	q_ph8	n_ph9	q_ph9
U	9575	0.275133	0.11998	0.620574	1.54204	0.063812	0.0641034	0.0837598	0.0839774	0.0896084	0.0896124	0.104334	0.105396	0.145901	0.147292	0.162507	0.158495	0.113525	0.115604	0.0900261	0.0906061	0.0763446	0.0733697	0.0701828	0.0715438
V	8229	0.280303	0.121099	0.513307	1.07668	0.0871309	0.0893045	0.105238	0.105081	0.103293	0.103584	0.0968526	0.100456	0.107911	0.107296	0.107425	0.110729	0.100984	0.104484	0.100134	0.0989823	0.09904	0.0962431	0.0919917	0.0838403
W	8000	0.201807	0.0590343	0.729125	2.48125	0.0495	0.0538732	0.055625	0.0553889	0.06225	0.0643145	0.08425	0.089597	0.23975	0.232814	0.2565	0.240227	0.083375	0.0884884	0.06475	0.0668749	0.053375	0.0563761	0.050625	0.052046
