i	arc_cm	vid	off_cm	role	class	blank	qu	qv	qw	dead_uvw	q_dump	q_rms_ok	in_src	in_base	in_len	in_w	near_onridge_term_cm	stretch	cell_u	cell_v	cell_w	blank_dw	blank_dt	band_u	band_v	band_w
142	-14.10	710	0.43	interior	3live	-	13327	8695	30543	000	19884	1	-	-	-	-	0.32		1/1	1/1	1/1			13	19	6
143	-13.79	711	0.35	terminal	3live	-	32171	15107	41524	000	31556	1	path	closely_other	0.32	0.288	0.00		1/1	1/1	1/1			10	22	8
144	-11.99	713	0.38	interior	3live	-	26659	12397	33471	000	25721	1	connect	closely_same	1.80	1.626	0.86		1/1	1/1	1/1			10	22	8
145	-11.19	715	0.66	interior	3live	-	12887	8157	33471	000	21236	1	path	closely_same	0.80	0.736	0.32		1/1	1/1	1/1			10	22	8
146	-10.87	718	0.53	terminal	3live	-	41484	15572	35459	000	32766	1	path	closely_other	0.32	0.287	0.00		1/1	1/1	1/1			10	24	9
147	-10.56	721	0.58	interior	3live	-	56455	5497	9715	000	33225	1	path	closely_other	0.32	0.283	0.32		1/1	1/1	1/1			7	24	9
148	-9.08	722	0.28	interior	3live	-	56455	10829	26929	000	36650	1	connect	closely_same	1.48	1.314	0.99		1/1	1/1	1/1			7	24	9
149	-8.09	723	0.15	terminal	3live	-	56455	16731	28885	000	37866	1	path	closely_same	0.99	0.872	0.00		1/1	1/1	1/1			7	24	9
150	-6.39	724	0.34	interior	3live	-	50994	11164	21802	000	32662	1	connect	closely_same	1.70	1.511	1.50		1/1	1/1	1/1			7	24	9
151	-5.41	725	0.52	interior	3live	-	50994	6940	14693	000	30900	1	path	closely_same	0.99	0.883	0.58		1/1	1/1	1/1			7	24	9
152	-4.83	727	0.32	terminal	3live	-	74328	15857	31266	000	47447	1	path	closely_other	0.58	0.510	0.00		1/1	1/1	1/1			6	24	9
153	-3.03	730	0.60	interior	3live	-	26761	8335	30009	000	23708	1	connect	closely_same	1.80	1.608	0.80		1/1	1/1	1/1			6	24	9
154	-2.23	742	0.45	terminal	3live	-	62701	44615	66908	000	58874	1	path	closely_other	0.80	0.713	0.00		1/1	1/1	1/1			10	21	6
155	-0.63	744	0.45	interior	3live	-	2274	34059	66908	000	43366	1	connect	closely_same	1.60	1.386	0.63		1/1	1/1	1/1			10	21	6
156	0.00	760	0.46	terminal	3live	-	16289	41921	29414	000	31026	1	path	closely_other	0.63	0.559	0.00		1/1	1/1	1/1			12	19	6
157	0.80	761	0.65	interior	3live	-	13175	39367	29414	000	29374	1	path	closely_same	0.80	0.720	0.80		1/1	1/1	1/1			12	19	6
158	1.84	770	0.62	interior	3live	-	4170	21390	2350	000	12655	1	path	closely_other	1.04	0.972	1.67		1/1	1/1	1/1			18	21	6
159	5.71	772	0.50	terminal	3live	-	24996	30982	79540	000	51353	1	connect	closely_same	3.88	3.570	0.00		1/1	1/1	1/1			18	21	6
160	6.51	773	0.53	interior	3live	-	17541	25363	79540	000	49253	1	path	closely_same	0.80	0.693	0.66		1/1	1/1	1/1			18	21	6
161	8.91	776	0.59	interior	3live	-	4143	3474	79540	000	46028	1	connect	closely_same	2.40	2.087	1.02		1/1	1/1	1/1			18	21	6
162	9.93	786	0.34	terminal	3live	-	41602	37024	162833	000	99358	1	path	closely_other	1.02	0.870	0.00		1/1	1/1	1/1			19	17	4
163	10.98	788	0.25	interior	3live	-	39286	23517	97119	000	61991	1	path	closely_same	1.05	0.888	0.86		1/1	1/1	1/1			19	17	4
