sel	plane	n	q_frac	c_eff_mm	DT_eff	sig_mm	extent	t_us	meas_pm2	meas_beyond	gaus_pm2	gaus_beyond	exc_pm2	exc_beyond	exc_tail	sig_excess_mm
base	U	410	1	1.2262	8.77935	1.56858	0.373481	544.952	0.0167811	0.00930939	0.0129886	2.40485e-05	0.00379257	0.00928535	0.0130779	0.94268
base	V	397	1	1.24811	8.48867	1.58775	0.207813	567.322	0.0173807	0.0037274	0.0129773	2.38157e-05	0.00440346	0.00370358	0.00810705	0.677137
base	W	237	1	0.76825	3.12505	0.951326	0.340866	503.694	0.0147254	0.0132311	0.000262216	7.84566e-11	0.0144631	0.0132311	0.0276943	1.2619
foff<0.15	U	410	1	1.21701	8.93447	1.56681	0.373481	544.952	0.0167811	0.00930939	0.0129084	2.36179e-05	0.00387268	0.00928578	0.0131585	0.944227
foff<0.15	V	397	1	1.24465	8.65002	1.59079	0.207813	567.322	0.0173807	0.0037274	0.0131178	2.45752e-05	0.00426298	0.00370282	0.00796581	0.673347
foff<0.15	W	232	0.974523	0.646917	4.84877	0.958338	0.310891	515.504	0.014498	0.013577	0.000264918	8.74948e-11	0.0142331	0.013577	0.0278101	1.2697
oth2<0.05	U	218	0.317551	1.29708	3.43167	1.36668	0.201016	270.129	0.00715061	0.00571132	0.00508905	1.44453e-06	0.00206156	0.00570987	0.00777144	0.732609
oth2<0.05	V	233	0.416079	1.38499	4.96378	1.55881	0.0740334	515.449	0.0126689	0.00333896	0.0114367	1.62042e-05	0.00123216	0.00332276	0.00455492	0.559912
oth2<0.05	W	176	0.608498	0.670267	3.66631	0.910247	0.0377974	517.265	0.00189875	0.000816483	9.48754e-05	2.65193e-12	0.00180387	0.000816483	0.00262036	0.362042
oth4<0.05	U	284	0.535111	1.26002	6.5758	1.44066	0.177533	370.964	0.00759565	0.00690901	0.00714775	4.04404e-06	0.000447895	0.00690497	0.00735287	0.758569
oth4<0.05	V	345	0.820265	1.15717	10.1536	1.5984	0.0868479	598.717	0.015887	0.00285173	0.0132468	2.49682e-05	0.00264015	0.00282676	0.00546691	0.569221
oth4<0.05	W	219	0.804611	0.689396	3.90844	0.939534	0.132874	521.254	0.00398784	0.000617476	0.000149287	1.36101e-11	0.00383856	0.000617476	0.00445603	0.433824
adv<0.10	U	139	0.304695	1.24103	9.1194	1.57059	0.313674	508.045	0.0178029	0.00772816	0.0126911	2.24829e-05	0.00511182	0.00770567	0.0128175	0.898991
adv<0.10	V	128	0.254434	1.27215	6.48659	1.51928	1.45519e-11	531.747	0.0232688	0.00538782	0.00994146	1.06154e-05	0.0133273	0.0053772	0.0187045	0.956732
adv<0.10	W	74	0.29988	0.439873	1.99496	0.635085	1.45519e-11	525.935	0.018368	0.0167547	1.57054e-07	0	0.0183679	0.0167547	0.0351226	1.42069
rr>30cm	U	231	0.597628	1.07062	10.3132	1.61016	0.198561	701.228	0.0111771	0.00616064	0.0140555	3.00034e-05	-0.00287843	0.00613064	0.00325221	0.704685
rr>30cm	V	135	0.382508	1.19298	6.84279	1.45957	0.373956	516.711	0.0181635	0.00662647	0.0086015	7.10829e-06	0.00956205	0.00661936	0.0161814	0.938297
rr>30cm	W	86	0.335316	0.770012	3.0356	0.966865	0.152732	563.164	0.001697	0	0.000212503	4.60759e-11	0.00148449	-4.60759e-11	0.00148449	0.231175
iso+straight+rr	U	54	0.0676271	1.12055	12.6979	1.44155	0.0809211	323.847	0	0.0051554	0.00706502	3.84437e-06	-0.00706502	0.00515156	-0.00191346	0.645969
iso+straight+rr	V	29	0.0678148	0.930081	8.29239	1.42891	1.45519e-11	709.531	0.0146596	0.0101086	0.00675953	3.32246e-06	0.0079001	0.0101052	0.0180053	1.0502
iso+straight+rr	W	22	0.0815371	1.18195	-11.1399	0.671123	1.45519e-11	424.869	0	0	5.60293e-07	0	-5.60293e-07	0	-5.60293e-07	0
