plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1	truth_centre	truth_pm1	truth_pm2	truth_beyond
U	0.586672	0.565533	0.358968	0.125041	0.564294	0.409965	0.0255709	0.000170471	0.548914	0.428937	0.0220413	0.000108494	0.705454	0.294546	0	0	0.561717	0.419919	0.0182993	6.38367e-05	0.0379438	0.0199095	0.282321	0.00359157	0.00837319	0.565626	0.405328	0.0287095	0.000336701
V	0.565916	0.559136	0.359366	0.125041	0.567476	0.41057	0.0216882	0.000265568	0.561482	0.420089	0.0183637	6.44824e-05	0.705162	0.294838	0	0	0.565668	0.417037	0.0172404	5.37968e-05	0.0190383	0.0129343	0.275373	0.00352558	0.00839245	0.566084	0.406294	0.027185	0.000437478
W	0.402408	0.393824	0.360198	0.250078	0.685095	0.31025	0.00465445	0	0.670885	0.327061	0.00205466	8.48701e-08	0.702689	0.297225	8.51026e-05	0	0.67716	0.321119	0.00172109	4.80919e-08	0.0336208	0.0217373	0.0351883	0.00259971	0.0079487	0.685478	0.309395	0.00512679	0
